"","regime","tree","data","model","n","alpha0","alpha1","sigma0","sigma1","theta0","theta1","aicw"
"1","Americas","set_trees","empirical","OUM",16,2.16690735029323,2.16690735029323,0.070216948089258,0.070216948089258,0.849760353974394,0.986483876405009,0.75584109223992
"2","Americas","set_trees","empirical","OUMA",1,2.34645951344645e-06,0.239862817279175,0.00642080206712712,0.00642080206712712,0.856472705346379,0.905492688625339,1
"3","Americas","set_trees","empirical","OUMV",45,0.578365864247113,0.578365864247113,0.0195434761847037,0.029173565366571,0.852286734378015,0.987532247124526,0.900887127489674
"4","Americas","set_trees","empirical","OUMVA",38,0.121235764917162,0.117967580710395,0.00355715274445624,0.0039391674357086,0.858054078191003,0.984958666093277,0.910056727966166
"5","Asia","set_trees","empirical","OUM",6,1.75229076887522,1.75229076887522,0.0667132979289114,0.0667132979289114,0.938883385048554,0.849431913379148,0.823193166155814
"6","Asia","set_trees","empirical","OUMA",5,0.0963266703753907,0.103053065151017,0.00307224549412597,0.00307224549412597,0.958939061853138,0.8476326413058,0.917164817973329
"7","Asia","set_trees","empirical","OUMV",38,0.911596141858961,0.911596141858961,0.0451425940729777,0.0319807376795632,0.943979107738395,0.850092104873007,0.943942461031192
"8","Asia","set_trees","empirical","OUMVA",51,0.111595057235858,0.107072915487989,0.00416005710710288,0.00200188583947778,0.950284796725052,558.100911185924,0.972169555720295
