"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	-3210.31307811239	6424.62615622478	6424.63205592979	6435.86462305723	2	1000	0	0	0	0	0.236037811794757	0	1.28599691912559	1.95706943027734	0	0	6424.63205592979	632.461688020619	3.05042657331843e-138
1	"BMS"	-3197.94351373933	6401.88702747867	6401.89883269264	6418.74472772735	3	540	490	0	0	0	0.270617828769149	0.198114116988398	1.24958794477969	2.08141526646443	0	0	6401.89883269264	609.728464783468	2.63522243647466e-133
1	"OU1"	-2902.38749155523	5810.77498311047	5810.78678832444	5827.63268335915	3	1400	250	0	0.0953863430384711	0	0.339414778610201	0	1.7502613196375	0.066504118299969	0	0	5810.78678832444	18.6164204152647	6.01404685433763e-05
1	"OUM"	-2899.79073439528	5807.58146879056	5807.60115382993	5830.05840245547	4	1400	260	0	0.095580513842264	0.095580513842264	0.338926890300796	0.338926890300796	1.87528360161105	0.0858526882139097	1.57484745678095	0.101767036371033	5807.60115382993	15.4307859207602	0.00029574577459118
1	"OUMV"	-2891.07041290584	5792.14082581168	5792.17036790917	5820.23699289282	5	930	500	190	0.0924405561815572	0.0924405561815572	0.3753318250283	0.286807881134049	1.86910662053151	0.0932056208494173	1.5515282793956	0.0980005959821435	5792.17036790917	0	0.663240650920378
1	"OUMVA"	-2890.74332097462	5793.48664194924	5793.52802125958	5827.2020424466	6	930	500	190	0.0887198755367233	0.0907813350191275	0.370263226796968	0.224840625667232	1.84797880602215	0.0966064612592566	1.48365137474957	0.097267770444341	5793.52802125958	1.35765335041106	0.336403462836487
10	"BM1"	-3465.07359156452	6934.14718312903	6934.15308283405	6945.38564996149	2	1000	0	0	0	0	0.287075567486545	0	1.29682840264298	2.23183072831449	0	0	6934.15308283405	822.089626761661	3.05802542114376e-179
10	"BMS"	-3437.91219222228	6881.82438444456	6881.83618965853	6898.68208469324	3	540	490	0	0	0	0.348887445121959	0.219615139594114	1.31181993683905	2.42558545692073	0	0	6881.83618965853	769.77273358614	7.01310109831404e-168
10	"OU1"	-3077.71421519302	6161.42843038605	6161.44023560002	6178.28613063473	3	1500	250	0	0.115134359102819	0	0.431599588674815	0	1.82406340370138	0.0586957231257821	0	0	6161.44023560002	49.376779527629	1.89628633781644e-11
10	"OUM"	-3077.50054890842	6163.00109781684	6163.02078285621	6185.47803148175	4	1500	250	0	0.115041925332823	0.115041925332823	0.431259153434733	0.431259153434733	1.85511830436872	0.075695295746418	1.7764863809857	0.0932774104070349	6163.02078285621	50.9573267838232	8.6038422727171e-12
10	"OUMV"	-3059.829490265	6129.65898053	6129.68852262749	6157.75514761113	5	1000	500	180	0.108646767109511	0.108646767109511	0.493583075390607	0.334786630561208	1.84735310347239	0.0857062921823749	1.7406311768422	0.0888898276007598	6129.68852262749	17.6250665550988	0.000148833530408391
10	"OUMVA"	-3050.01103838102	6112.02207676204	6112.06345607239	6145.7374772594	6	1000	500	180	0.101736908382882	0.106675785643765	0.495948682487396	0.199969673138999	1.86682337196539	0.0896773741007615	1.66806361071874	0.0886691936149287	6112.06345607239	0	0.999851166442025
100	"BM1"	-5173.5842980204	10351.1685960408	10351.1744957458	10362.4070628732	2	1000	0	0	0	0	1.37243060312967	0	1.30130791908281	4.97694053899889	0	0	10351.1744957458	3311.57825948085	0
100	"BMS"	-4480.55581260176	8967.11162520352	8967.12343041749	8983.9693254522	3	550	480	0	0	0	2.42670894013522	0.171625220703026	1.01111059363831	6.21855567226096	0	0	8967.12343041749	1927.52719415253	0
100	"OU1"	-3516.79221552549	7039.58443105099	7039.59623626496	7056.44213129967	3	6.2e+09	9.4e+08	0	3.33643010035396	0	12.5256816018228	0	2.07780094973739	0.0307133417555491	0	0	7039.59623626496	0	0.588511804191701
100	"OUM"	-3516.14609226345	7040.2921845269	7040.31186956627	7062.76911819181	4	6.2e+09	9.3e+08	0	3.33643135960001	3.33643135960001	12.5207588098605	12.5207588098605	2.0446517400217	0.0423452942612087	2.11471286988372	0.044688746459001	7040.31186956627	0.715633301313574	0.411488195808299
11	"BM1"	-4024.15142606794	8052.30285213588	8052.3087518409	8063.54131896833	2	1000	0	0	0	0	0.476028850436534	0	1.22972645042298	2.90476025453015	0	0	8052.3087518409	1234.47509930188	7.80126649256564e-269
11	"BMS"	-4000.32656292455	8006.6531258491	8006.66493106307	8023.51082609778	3	510	380	0	0	0	0.588262371485369	0.359220179015793	1.17127536338759	3.19270177847898	0	0	8006.66493106307	1188.83127852406	6.36201754005902e-259
11	"OU1"	-3413.3375429161	6832.67508583219	6832.68689104616	6849.53278608087	3	1700	110	0	0.219160888539787	0	0.921433988922893	0	1.92976911992084	0.0437093441333099	0	0	6832.68689104616	14.8532385071503	0.000536645126360366
11	"OUM"	-3413.15862507763	6834.31725015526	6834.33693519463	6856.79418382017	4	1700	110	0	0.218484487306205	0.218484487306205	0.919006311188343	0.919006311188343	1.95275232541239	0.0586291263349856	1.89921099733093	0.0666707866648221	6834.33693519463	16.503282655618	0.000235171481619309
11	"OUMV"	-3406.125367503	6822.250735006	6822.28027710349	6850.34690208714	5	1200	450	89	0.206638882365478	0.206638882365478	0.988861550408589	0.764217637764526	1.95003088481372	0.063811769508144	1.88757253356097	0.0641049346762342	6822.28027710349	4.44662456447622	0.0976010960760198
11	"OUMVA"	-3402.89613661433	6817.79227322867	6817.83365253901	6851.50767372603	6	1200	450	89	0.192713012126632	0.189307959768239	0.924162989980076	1.03899113324867	1.94837959461778	0.0660148391403593	2.00152034949949	0.0673642876966384	6817.83365253901	0	0.901627087316
12	"BM1"	-3283.60828724334	6571.21657448667	6571.22247419169	6582.45504131913	2	1000	0	0	0	0	0.237151645837793	0	1.13928496493631	1.9598619946603	0	0	6571.22247419169	711.003072690762	4.0517669450209e-155
12	"BMS"	-3283.46937126053	6572.93874252106	6572.95054773503	6589.79644276974	3	530	490	0	0	0	0.240929310773765	0.233118403820258	1.13936679986726	1.97249855548127	0	0	6572.95054773503	712.731146234103	1.7076468249527e-155
12	"OU1"	-2959.72597528006	5925.45195056011	5925.46375577408	5942.30965080879	3	1400	240	0	0.0915015367842152	0	0.341499087300567	0	1.76511992530288	0.0655822034504357	0	0	5925.46375577408	65.2443542731571	6.7978015492768e-15
12	"OUM"	-2955.60011561437	5919.20023122875	5919.21991626812	5941.67716489365	4	1400	250	0	0.0919621431279187	0.0919621431279187	0.341009332964768	0.341009332964768	1.93697440500909	0.0879071827459384	1.56275554817195	0.0964157784724829	5919.21991626812	59.0005147671927	1.54241415999394e-13
12	"OUMV"	-2955.40012629048	5920.80025258097	5920.82979467846	5948.8964196621	5	930	500	180	0.0914744156663989	0.0914744156663989	0.346737155801221	0.332791272406475	1.93521108737639	0.0891109078669461	1.55731698116259	0.0959447926965643	5920.82979467846	60.6103931775315	6.89636673757829e-14
12	"OUMVA"	-2924.08901109529	5860.17802219058	5860.21940150093	5893.89342268794	6	930	500	180	0.0939655297109762	0.0864526158845161	0.313688167274078	0.656154896540993	1.92803926984297	0.0857144772008313	1.75151060440821	0.104533528776179	5860.21940150093	0	0.99999999999977
13	"BM1"	-3436.85528342158	6877.71056684316	6877.71646654818	6888.94903367562	2	1000	0	0	0	0	0.283821940883683	0	1.21552897089673	2.1974795517386	0	0	6877.71646654818	766.586863659953	1.65492504866373e-167
13	"BMS"	-3436.68506387991	6879.37012775982	6879.38193297379	6896.2278280085	3	530	490	0	0	0	0.278834916315616	0.28917122895612	1.2158156406646	2.18411048200923	0	0	6879.38193297379	768.252330085562	7.19659214065961e-168
13	"OU1"	-3052.55889883713	6111.11779767426	6111.12960288823	6127.97549792294	3	1500	270	0	0.110791493855004	0	0.422288120421121	0	1.80693930786927	0.0600390982154025	0	0	6111.12960288823	0	0.479734247212574
13	"OUM"	-3051.78622085276	6111.57244170552	6111.59212674489	6134.04937537043	4	1500	270	0	0.110676979237589	0.110676979237589	0.421747808016326	0.421747808016326	1.87090220297632	0.0792138849388611	1.72081109464929	0.0915294646603608	6111.59212674489	0.462523856663211	0.380684280163117
13	"OUMV"	-3051.78461423038	6113.56922846076	6113.59877055825	6141.66539554189	5	1000	500	190	0.110690528967697	0.110690528967697	0.421076982461448	0.422568556976289	1.87083163259782	0.0791445358587765	1.72086760682292	0.0916033765692418	6113.59877055825	2.4691676700204	0.139581472624309
14	"BM1"	-3234.84271468279	6473.68542936558	6473.69132907059	6484.92389619803	2	1000	0	0	0	0	0.242848398049548	0	1.33723519204861	2.00893021879658	0	0	6473.69132907059	672.585985892563	7.77885256138512e-147
14	"BMS"	-3200.58942523391	6407.17885046781	6407.19065568178	6424.03655071649	3	530	490	0	0	0	0.30159742784017	0.179277877848819	1.35082509897074	2.18033894339184	0	0	6407.19065568178	606.085312503755	2.14463449899881e-132
14	"OU1"	-2917.52192942437	5841.04385884873	5841.0556640627	5857.90155909741	3	1400	260	0	0.0974151330395494	0	0.348259005175625	0	1.88522915975195	0.0661762836318368	0	0	5841.0556640627	39.9503208846727	1.84503548874022e-09
14	"OUM"	-2916.20977611421	5840.41955222843	5840.4392372678	5862.89648589334	4	1400	270	0	0.0973053359963015	0.0973053359963015	0.347687777706447	0.347687777706447	1.97321806625957	0.0857900560782515	1.7585617525034	0.102235443478731	5840.4392372678	39.3338940897729	2.51107741449844e-09
14	"OUMV"	-2897.46732618411	5804.93465236821	5804.9641944657	5833.03081944935	5	930	510	190	0.0913431663387574	0.0913431663387574	0.399643091923637	0.268522689614376	1.95963913761598	0.0976243182448565	1.71801516835631	0.0975399497825433	5804.9641944657	3.85885128767404	0.126814165737013
14	"OUMVA"	-2894.53198193384	5801.06396386768	5801.10534317803	5834.77936436504	6	930	510	190	0.0879871869600212	0.0905149861214248	0.407487220202313	0.214636063208058	1.97574597767567	0.0999408877564453	1.68112999744813	0.097841931839421	5801.10534317803	0	0.873185829906874
15	"BM1"	-3384.40119579095	6772.8023915819	6772.80829128691	6784.04085841435	2	1000	0	0	0	0	0.245563780185908	0	1.20829587231371	1.99083245739435	0	0	6772.80829128691	767.711204185379	1.96621119039471e-167
