"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
"ouwie_Afr_BM_1"	"BM1"	-1489.45052103328	2982.90104206656	2982.9075994436	2993.92846056223	2	920	0	0	0	0	0.0473704380379644	0.0473704380379644	1.06184122287038	0.877246088738445	1.06184122287038	0.877246088738445	2982.9075994436	462.96918246295	2.07759521994197e-101
"ouwie_Afr_BM_1"	"BMS"	-1488.66695754036	2983.33391508072	2983.34703700527	2999.87504282424	3	880	29	0	0	0	0.0477268790757809	0.0373926052258554	1.05904804744066	0.877372659051579	1.05904804744066	0.877372659051579	2983.34703700527	463.40862002462	1.66777816380153e-101
"ouwie_Afr_BM_1"	"OU1"	-1478.09055214312	2962.18110428624	2962.19422621079	2978.72223202976	3	930	24	0	0.0135886027016835	0.0135886027016835	0.0530012010429461	0.0530012010429461	1.02739559584822	0.31779380865656	1.02739559584822	0.31779380865656	2962.19422621079	442.25580923014	6.53751631527909e-97
"ouwie_Afr_BM_1"	"OUM"	-1477.9079715333	2963.81594306659	2963.83782490467	2985.87078005795	4	930	24	0	0.0136712267361098	0.0136712267361098	0.0530347581650695	0.0530347581650695	1.07871268089543	0.327272662422495	0.595116838633837	0.780849688619939	2963.83782490467	443.89940792402	2.87415287337896e-97
"ouwie_Afr_BM_1"	"OUMV"	-1477.78496999275	2965.56993998549	2965.60278070799	2993.13848622469	5	890	36	19	0.0134510845463965	0.0134510845463965	0.0530948492881297	0.0482860658884912	1.08125411849336	0.332436316396277	0.588711290291032	0.772903973260701	2965.60278070799	445.66436372734	1.18919912509535e-97
"ouwie_Afr_BM_1"	"OUMVA"	-1477.60677583969	2967.21355167938	2967.25955386996	3000.29580716642	6	890	36	19	0.0136739933019334	0.0115934245411478	0.0532196517602241	0.0586773836790938	1.07804589926471	0.32791129432479	0.504305196013089	0.984141844464527	2967.25955386996	447.32113688931	5.19386742588758e-98
"ouwie_Afr_BM_10"	"BM1"	-1427.15784351048	2858.31568702096	2858.32224439801	2869.34310551664	2	920	0	0	0	0	0.0431911854572968	0.0431911854572968	1.49269037984415	0.866111547033767	1.49269037984415	0.866111547033767	2858.32224439801	338.38382741736	2.34923816986202e-74
"ouwie_Afr_BM_10"	"BMS"	-1425.14065304773	2856.28130609546	2856.29442802001	2872.82243383898	3	880	30	0	0	0	0.0436950092752574	0.0293746466230129	1.4860202235988	0.843780237543346	1.4860202235988	0.843780237543346	2856.29442802001	336.35601103936	6.47532812229713e-74
"ouwie_Afr_BM_10"	"OU1"	-1412.06625320746	2830.13250641492	2830.14562833947	2846.67363415844	3	930	31	0	0.0150754353778597	0.0150754353778597	0.0488455071860388	0.0488455071860388	1.45653689027589	0.281687159888314	1.45653689027589	0.281687159888314	2830.14562833947	310.20721135882	3.08603953168057e-68
"ouwie_Afr_BM_10"	"OUM"	-1412.0621189456	2832.12423789121	2832.14611972928	2854.17907488256	4	930	31	0	0.0150757170264655	0.0150757170264655	0.048842281093532	0.048842281093532	1.46750473600501	0.306439607316981	1.40972167442218	0.587089024234767	2832.14611972928	312.20770274863	1.13501159752008e-68
"ouwie_Afr_BM_10"	"OUMV"	-1411.81922689153	2833.63845378305	2833.67129450555	2861.20700002225	5	900	42	19	0.0145775427578302	0.0145775427578302	0.0488477019355983	0.0425939367291344	1.46883870790081	0.314974774020282	1.40665170061413	0.583088296116592	2833.67129450555	313.7328775249	5.29435190395308e-69
"ouwie_Afr_BM_10"	"OUMVA"	-1410.65544842916	2833.31089685833	2833.35689904891	2866.39315234536	6	900	42	19	0.0142393160188232	0.0164460049649566	0.0496920117177784	0.0369887823428431	1.46741858552452	0.322726467371459	1.40837785773648	0.486980810652458	2833.35689904891	313.41848206826	6.19559342924928e-69
"ouwie_Afr_BM_100"	"BM1"	-1430.6327286064	2865.2654572128	2865.27201458985	2876.29287570848	2	920	0	0	0	0	0.0386006909556024	0.0386006909556024	1.71088881325777	0.835800913896881	1.71088881325777	0.835800913896881	2865.27201458985	345.3335976092	7.27450800526112e-76
"ouwie_Afr_BM_100"	"BMS"	-1430.40524476654	2866.81048953307	2866.82361145762	2883.35161727659	3	880	31	0	0	0	0.03843136612533	0.0433805712180303	1.7111987510467	0.835343277141958	1.7111987510467	0.835343277141958	2866.82361145762	346.88519447697	3.34871854489154e-76
"ouwie_Afr_BM_100"	"OU1"	-1413.74183829229	2833.48367658457	2833.49679850912	2850.02480432809	3	940	35	0	0.0157299522540484	0.0157299522540484	0.0444914039982791	0.0444914039982791	1.77053149636692	0.260266983572251	1.77053149636692	0.260266983572251	2833.49679850912	313.55838152847	5.77702342714365e-69
"ouwie_Afr_BM_100"	"OUM"	-1413.39964311961	2834.79928623921	2834.82116807729	2856.85412323057	4	940	34	0	0.0155478274385692	0.0155478274385692	0.0443939823912215	0.0443939823912215	1.71249045025921	0.272296745562622	2.22176029792431	0.604527903980614	2834.82116807729	314.88275109664	2.97934592433963e-69
"ouwie_Afr_BM_100"	"OUMV"	-1412.25959132166	2834.51918264332	2834.55202336581	2862.08772888251	5	900	46	25	0.016223135498155	0.016223135498155	0.0442142002370305	0.0577056833978113	1.73366071154325	0.259842380944767	2.18943885441126	0.625680554730084	2834.55202336581	314.61360638516	3.40851306095052e-69
