"","id","model","loglik","AIC","AICc","BIC","param.count","eigval1","eigval2","eigval3","X0_alpha","X1_alpha","sigma0","X1_sigma.sq","theta0","theta_se0","theta_1","theta_se_1","fit","delta","w","data","regime","tree"
"1","ouwie_Afr_avgl_1","OUMV",-1589.67943616848,3189.35887233697,3189.39171305946,3216.92741857616,5,1400,190,26,0.160856714111453,0.160856714111453,0.147439732057028,0.108672573563832,0.591194445168142,0.0264704116742176,1.18328498957242,0.0838356410838275,3189.39171305946,0,0.569449572078355,"empirical","Megafauna","set_trees"
"2","ouwie_Afr_avgl_10","OUMV",-1521.82106021455,3053.6421204291,3053.6749611516,3081.2106666683,5,1200,240,26,0.1076500530027,0.1076500530027,0.104961270851448,0.0753379358813815,0.644351227778351,0.0336859234063188,1.23605650924634,0.0866875635206477,3053.6749611516,0,0.622812194441745,"empirical","Megafauna","set_trees"
"3","ouwie_Afr_avgl_100","OUM",-1599.51598115521,3207.03196231041,3207.05384414849,3229.08679930177,4,1400,160,0,0.139878052887787,0.139878052887787,0.126559424938408,0.126559424938408,0.565391374484746,0.0258556616807027,1.16252034986707,0.0924413323366982,3207.05384414849,0,0.572204578273538,"empirical","Megafauna","set_trees"
"4","ouwie_Afr_avgl_101","OUM",-1788.85277279401,3585.70554558801,3585.72739157381,3607.76692387274,4,1800,3.3,0,2.9836127793208,2.9836127793208,2.48825130263374,2.48825130263374,0.507487080141437,0.0155799297719941,1.16319306772857,0.073667876750809,3585.72739157381,0,0.988148970242406,"empirical","Megafauna","MCC"
"5","ouwie_Afr_avgl_101","OUM",-1788.85277279401,3585.70554558801,3585.72739157381,3607.76692387274,4,1800,3.3,0,2.9836127793208,2.9836127793208,2.48825130263374,2.48825130263374,0.507487080141437,0.0155799297719941,1.16319306772857,0.073667876750809,3585.72739157381,0,0.988148970242406,"empirical","Megafauna","set_trees"
"6","ouwie_Afr_avgl_11","OUM",-1767.05535088612,3542.11070177224,3542.13258361032,3564.1655387636,4,5.9e+09,920,0,3.33191918221132,3.33191918221132,2.72188967948441,2.72188967948441,0.499008311885144,0.0153914234048037,1.17012211721208,0.0792272688620289,3542.13258361032,0,0.635990787936315,"empirical","Megafauna","set_trees"
"7","ouwie_Afr_avgl_12","OUM",-1489.82952053133,2987.65904106267,2987.68092290074,3009.71387805403,4,1400,180,0,0.135281705789099,0.135281705789099,0.116337251080184,0.116337251080184,0.578355609207917,0.0264226280306896,1.07481734897666,0.0978812010697627,2987.68092290074,0,0.601985281020559,"empirical","Megafauna","set_trees"
"8","ouwie_Afr_avgl_13","OUM",-1690.55616545061,3389.11233090122,3389.13421273929,3411.16716789257,4,1500,110,0,0.235346877323076,0.235346877323076,0.217394674018905,0.217394674018905,0.556966993137618,0.0216874230928586,1.18401956491308,0.0911765249790317,3389.13421273929,0,0.711875596697813,"empirical","Megafauna","set_trees"
"9","ouwie_Afr_avgl_14","OUM",-1457.48729670861,2922.97459341722,2922.9964752553,2945.02943040858,4,1300,170,0,0.130969578778836,0.130969578778836,0.11068474112067,0.11068474112067,0.620495321614002,0.028690681378092,1.22001766980721,0.0944494366185785,2922.9964752553,0,0.475992035752506,"empirical","Megafauna","set_trees"
"10","ouwie_Afr_avgl_15","OUM",-1726.45800087451,3460.91600174902,3460.9378835871,3482.97083874038,4,1600,85,0,0.232933681092827,0.232933681092827,0.217177125358558,0.217177125358558,0.543123386879792,0.0212343318894023,1.26851752267064,0.0900552796705568,3460.9378835871,0,0.718611821371599,"empirical","Megafauna","set_trees"
