"id" "model" "loglik" "AIC" "AICc" "BIC" "param.count" "eigval1" "eigval2" "eigval3" "X0_alpha" "X1_alpha" "sigma0" "X1_sigma.sq" "theta0" "theta_se0" "theta_1" "theta_se_1"
"1" "ouwie_Afr_avgl_1" "BM1" -1995.96466565771 3995.92933131541 3995.93588869246 4006.95674981109 2 920 0 0 0 0 0.0831882179604596 0.0831882179604596 1.00050592712345 1.16348271463111 1.00050592712345 1.16348271463111
"2" "ouwie_Afr_avgl_1" "BMS" -1962.62390533054 3931.24781066109 3931.26093258564 3947.78893840461 3 890 28 0 0 0 0.0854540027830475 0.0113896141682408 0.949546712761738 1.14998010002799 0.949546712761738 1.14998010002799
"3" "ouwie_Afr_avgl_1" "OU1" -1607.53522217284 3221.07044434568 3221.08356627023 3237.6115720892 3 1400 170 0 0.14950537618417 0.14950537618417 0.141599952847936 0.141599952847936 0.646058842994206 0.0269611734518754 0.646058842994206 0.0269611734518754
"4" "ouwie_Afr_avgl_1" "OUM" -1590.96452156055 3189.92904312109 3189.95092495916 3211.98388011245 4 1400 160 0 0.164443578925185 0.164443578925185 0.148191552953444 0.148191552953444 0.587621183974801 0.0259299268713305 1.18561366835842 0.0961798719275273
"5" "ouwie_Afr_avgl_1" "OUMV" -1589.67943616848 3189.35887233697 3189.39171305946 3216.92741857616 5 1400 190 26 0.160856714111453 0.160856714111453 0.147439732057028 0.108672573563832 0.591194445168142 0.0264704116742176 1.18328498957242 0.0838356410838275
"6" "ouwie_Afr_avgl_1" "OUMVA" 22936.777184452 -45861.5543689039 -45861.5083667134 -45828.4721134169 6 1400 190 26 3.40612505025752 1.30726546154481 1.00005868580852e-09 56.1574212319218 1.94591014905531 60765.1960298252 1.42492401094664e-97 4.44962923364229e-93
"7" "ouwie_Afr_avgl_1" "OUMA" 257587.52666819 -515165.053336379 -515165.020495657 -515137.48479014 5 4.2e+13 -1.6e+08 -9.2e+12 1.73611772149166 1.93127238324201 1e-09 1e-09 3599043.98650419 0 29.2386863289201 0
"8" "ouwie_Afr_avgl_10" "BM1" -1846.64334758282 3697.28669516564 3697.29325254269 3708.31411366132 2 920 0 0 0 0 0.0677018916499405 0.0677018916499405 1.06148842936922 1.08484964775145 1.06148842936922 1.08484964775145
"9" "ouwie_Afr_avgl_10" "BMS" -1821.66778471807 3649.33556943614 3649.34869136069 3665.87669717966 3 890 31 0 0 0 0.0696717730515944 0.014208924055817 1.25470878027048 0.875329613675792 1.25470878027048 0.875329613675792
"10" "ouwie_Afr_avgl_10" "OUMVA" -1564.75289106677 3141.50578213354 3141.55178432412 3174.58803762058 6 1200 240 26 0.0578638137163204 0.0588073166950312 0.083814407559052 0.035443231982768 0.754531397088001 0.0646829470335487 1.30474623859909 0.102371538187843
