Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
41;Livistona_rigida;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_spicata;Arecoideae;Aiphanes;Cocoseae
42;Livistona_mariae;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_stergiosii;Arecoideae;Aiphanes;Cocoseae
43;Livistona_speciosa;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_tricuspidata;Arecoideae;Aiphanes;Cocoseae
44;Livistona_drudei;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_ulei;Arecoideae;Aiphanes;Cocoseae
45;Livistona_eastonii;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_verrucosa;Arecoideae;Aiphanes;Cocoseae
46;Livistona_victoriae;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aiphanes_weberbaueri;Arecoideae;Aiphanes;Cocoseae
47;Livistona_nasmophila;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Allagoptera_arenaria;Arecoideae;Allagoptera;Cocoseae
48;Livistona_decora;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Allagoptera_brevicalyx;Arecoideae;Allagoptera;Cocoseae
49;Livistona_nitida;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Allagoptera_campestris;Arecoideae;Allagoptera;Cocoseae
50;Livistona_fulva;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Allagoptera_caudescens;Arecoideae;Allagoptera;Cocoseae
51;Livistona_australis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Allagoptera_leucocalyx;Arecoideae;Allagoptera;Cocoseae
52;Livistona_concinna;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Ammandra_decasperma;Ceroxyloideae;Ammandra;Phytelepheae
53;Livistona_muelleri;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Aphandra_natalia;Ceroxyloideae;Aphandra;Phytelepheae
54;Livistona_humilis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_alexandrae;Arecoideae;Archontophoenix;Areceae
55;Livistona_inermis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_cunninghamiana;Arecoideae;Archontophoenix;Areceae
56;Livistona_benthamii;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_maxima;Arecoideae;Archontophoenix;Areceae
57;Livistona_endauensis;Coryphoideae;Livistona;Trachycarpeae;;;;;;;;;;Archontophoenix_myolensis;Arecoideae;Archontophoenix;Areceae
