"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"1179","Calamus_manan","SUM","Calamus","Calameae","Calamoideae",2.8,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",0.668688871245392,0.830675114210621
"1180","Calamus_manan","BOR","Calamus","Calameae","Calamoideae",2.8,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.668688871245392,0.830675114210621
"1181","Calamus_manillensis","PHI","Calamus","Calameae","Calamoideae",1.9,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",1.12420117070869,0.82974477679931
"1182","Calamus_marginatus","BOR","Calamus","Calameae","Calamoideae",1.6,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",-0.950910415735216,0.860911080078219
"1183","Calamus_marginatus","PHI","Calamus","Calameae","Calamoideae",1.6,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",-0.950910415735216,0.860911080078219
"1184","Calamus_marginatus","SUM","Calamus","Calameae","Calamoideae",1.6,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",-0.950910415735216,0.860911080078219
"1185","Calamus_mattanensis","BOR","Calamus","Calameae","Calamoideae",1.5,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.57971347017198,0.786018918467706
"1186","Calamus_maturbongsii","NWG","Calamus","Calameae","Calamoideae",1.5,"0","0","1","0","0","0","Asia","New Guinea","Papuasia","ASIA-TROPICAL",1.98461329191714,0.780902062705497
"1187","Calamus_megaphyllus","PHI","Calamus","Calameae","Calamoideae",1.15,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",2.49073806909858,0.757178458717073
"1188","Calamus_meghalayensis","ASS","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Assam","Indian Subcontinent","ASIA-TROPICAL",0.51685143809096,0.931616723337834
"1189","Calamus_melanochrous","CHS","Calamus","Calameae","Calamoideae",2.4,"0","0","1","0","0","0","Asia","China Southeast","China","ASIA-TEMPERATE",0.871138782117968,0.779971725294186
"1190","Calamus_melanorhynchus","PHI","Calamus","Calameae","Calamoideae",1.3,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",-0.49539811627192,0.911614468994654
"1191","Calamus_merrillii","PHI","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",1.42787603701755,0.919522336990795
"1192","Calamus_merrillii","BOR","Calamus","Calameae","Calamoideae",1,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.42787603701755,0.919522336990795
"1193","Calamus_mesilauensis","BOR","Calamus","Calameae","Calamoideae",2,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.618076393527248,0.813463872101372
"1194","Calamus_metzianus","SRL","Calamus","Calameae","Calamoideae",1.7,"0","0","1","0","0","0","Asia","Sri Lanka","Indian Subcontinent","ASIA-TROPICAL",0.921751259836112,0.95813133956019
"1195","Calamus_metzianus","IND","Calamus","Calameae","Calamoideae",1.7,"0","0","1","0","0","0","Asia","India","Indian Subcontinent","ASIA-TROPICAL",0.921751259836112,0.95813133956019
"1196","Calamus_micranthus","SUM","Calamus","Calameae","Calamoideae",0.9,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",1.8327758587627,0.799973979637367
"1197","Calamus_microcarpus","PHI","Calamus","Calameae","Calamoideae",0.72,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",0.972363737554256,0.79764813610909
"1198","Calamus_microsphaerion","PHI","Calamus","Calameae","Calamoideae",0.6,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",0.921751259836112,0.850677368553801
"1199","Calamus_microsphaerion","BOR","Calamus","Calameae","Calamoideae",0.6,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",0.921751259836112,0.850677368553801
"1200","Calamus_minahassae","SUL","Calamus","Calameae","Calamoideae",1.24,"0","0","1","0","0","0","Asia","Sulawesi","Malesia","ASIA-TROPICAL",-0.0398858168086242,0.770203182475424
"1201","Calamus_mindorensis","PHI","Calamus","Calameae","Calamoideae",0.77,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",0.668688871245392,0.867423441957394
"1202","Calamus_mindorensis","SUL","Calamus","Calameae","Calamoideae",0.77,"0","0","1","0","0","0","Asia","Sulawesi","Malesia","ASIA-TROPICAL",0.668688871245392,0.867423441957394
"1203","Calamus_minutus","MLY","Calamus","Calameae","Calamoideae",0.8,"0","0","1","0","0","0","Asia","Malaya","Malesia","ASIA-TROPICAL",0.76991382668168,0.779041387882875
"1204","Calamus_mitis","PHI","Calamus","Calameae","Calamoideae",1.5,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",2.7438004576893,0.811138028573096
"1205","Calamus_modestus","VIE","Calamus","Calameae","Calamoideae",1.5,"0","0","1","0","0","0","Asia","Vietnam","Indo-China","ASIA-TROPICAL",2.79441293540744,0.687403152868769
"1206","Calamus_mogeae","SUM","Calamus","Calameae","Calamoideae",1.4,"0","0","1","0","0","0","Asia","Sumatera","Malesia","ASIA-TROPICAL",0.618076393527248,0.776250375648943
"1207","Calamus_moti","QLD","Calamus","Calameae","Calamoideae",1.3,"0","0","0","0","0","1","Pacific","Queensland","Australia","AUSTRALASIA",0.466238960372816,0.798578473520401
"1208","Calamus_muelleri","QLD","Calamus","Calameae","Calamoideae",1.3,"0","0","0","0","0","1","Pacific","Queensland","Australia","AUSTRALASIA",0.162564094063952,0.857654899138632
"1209","Calamus_muelleri","NSW","Calamus","Calameae","Calamoideae",1.3,"0","0","0","0","0","1","Pacific","New South Wales","Australia","AUSTRALASIA",0.162564094063952,0.857654899138632
