"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FW_angios","curr_max95BodySize","mean_abs_BSchange","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","accRealm"
"67","MLI",17.35036933,-3.524336718,"1",155.570593400497,191812.070895295,204802.049264069,55.25,288.745646049441,4744.27650295199,133.103222793088,310.327877317456,2.83576,"Africa"
"68","MLW",-13.21510424,34.30698504,"1",100.495073711949,86600.3999999999,18364.9905014465,17.22,215.465178529129,2257.28599775341,102.499907424227,1109.12143810126,17.6757,"Africa"
"69","MLY",4.028255407,102.1784344,"0",67.7317826022456,58459.8697152486,43896.8074853801,43.66,258.664968339659,587.996085468191,36.4057527960273,2531.35050250442,25.4881,"Asia"
"70","MOL",-1.420611904,127.990452,"0",69.7881926663756,5980.95640275233,83.0833487511568,2.02,250.490376395676,411.171683193676,28.5134523331142,2384.66037735849,23.4708,"Asia"
"71","MOZ",-17.26019707,35.55225318,"1",78.1175787026144,85972.5890372094,18442.2067208904,17.92,235.332848031401,2330.35013921843,94.8149447608494,1019.63658917721,14.2031,"Africa"
"72","MXC",19.13109566,-98.58581279,"0",67.6174048079801,5636.35231300245,353346.418212766,98.58,173.113508114143,1812.84606840347,87.8572895061686,964.901574130567,21.1099,"Americas"
"73","MXE",25.85227543,-103.0607542,"0",61.6215489536743,6974.84972106915,317389.645419809,98.23,187.507777354559,4580.86302519893,80.5937933804489,527.381987407077,22.3813,"Americas"
"74","MXG",19.37738436,-96.405429,"0",60.9461490027403,7309.63762104665,333061.10275,98.44,240.550287534029,2320.31629542697,72.8889956299249,1735.51133661733,25.8423,"Americas"
"75","MXN",28.4912303,-111.3789827,"0",68.8430265738934,5014.48527530503,357971.556135383,99.37,216.371091931566,5189.98149136266,92.1094883290518,361.357799778674,20.7135,"Americas"
"76","MXS",18.84795312,-100.7023886,"0",78.4659739796866,6011.17663461712,253216.439620704,98.48,211.869483912706,1674.08964422978,103.81403145266,1131.95890191635,20.8141,"Americas"
"77","MXT",18.50798756,-90.55872649,"0",70.1499464922446,7191.38451115513,245778.247370995,98.02,248.972770171131,1688.94247164828,65.7223510009081,1531.89728995426,16.8255,"Americas"
"78","MYA",21.14042303,96.50882808,"0",55,54451.1956375861,221752.508312448,83.76,232.974652159594,2893.9492736733,93.7208284026903,2177.43721943909,27.0695,"Asia"
"79","NAT",-28.7085677,30.72508497,"1",69.4713000370053,95781.5604186219,18965.1437821612,13.42,175.858946921053,3223.57857552005,60.8022221447798,864.020134827085,17.8326,"Africa"
"80","NCB",7.507217236,93.60165739,"0",96.8965790892927,446.800770713255,0,0,272.357400375123,456.927844063799,46.635571696327,3003.77020340847,14.2754,"Asia"
"81","NEP",28.25300785,83.93851707,"0",49.759130426893,255551.960480392,86135.7292410714,43.14,126.02343700505,5826.20951412789,103.030442475783,1657.8968080522,33.7709,"Asia"
"82","NGA",9.593635674,8.105324864,"1",120,71114.4502934975,79418.4724599542,55.63,265.48513406189,2083.16746785447,102.400383636373,1161.50708344038,13.0367,"Africa"
"83","NGR",17.42632282,9.397657535,"1",210,77059.7277596018,273036.907568438,57.48,274.744693540598,5175.95532167127,173.873056001853,134.442175800472,2.12057,"Africa"
"84","NIC",12.83970931,-85.03469962,"0",62.2608013195846,7161.33917104621,256524.760238095,98.07,253.561282360387,673.011725701824,66.7255194197,2220.5697899491,19.8538,"Americas"
"85","NSW",-32.18030973,147.0187766,"0",46.0448244110924,3235.80736169448,127553.898106061,99.53,175.795278407168,5452.04576200936,21.226480809975,534.004281202058,22.8827,"Pacific"
"86","NTA",-19.41428342,133.3652138,"0",49.697875873869,1762.39865186041,-28.4746031746031,-8.72,253.693472209698,4530.53954791363,88.7792007243827,566.317170113189,17.4433,"Pacific"
"87","NWC",-21.29461419,165.6718498,"0",63.4195736331104,304.571117957602,0,0,222.446179203112,2056.61032332774,46.5886290229637,1682.05562406974,22.3575,"Pacific"
"88","NWG",-5.345954432,140.8323421,"0",55,8666.7,1787.1459567705,52.4,233.052607736673,419.942123676812,26.8683085565275,3193.16233227453,22.0357,"Asia"
"89","PAK",29.35662305,68.78919169,"0",102.256518256357,96677.9725926017,188624.779251701,92.61,229.350620704193,7176.29514789662,96.4306676447625,285.382628986697,33.9932,"Asia"
"90","PAN",8.50544318,-80.10906884,"0",68.3846660808608,8983.51405872151,183612.494352047,97.47,245.811732887662,418.425974605051,54.7313731394526,2626.43406870037,15.6068,"Americas"
"91","PAR",-23.23612887,-58.39095178,"0",69.3540043583624,23159.0747016241,404704.428454481,98.34,236.623347919395,3324.68701067381,44.3258440956846,1192.26286691466,6.93726,"Americas"
"92","PER",-9.163771326,-74.37540668,"0",75,9727.13180788254,146567.942321429,97.28,185.715991727816,757.599140001391,58.8024752499109,1619.38585388049,18.7303,"Americas"
"93","PHI",11.74740203,122.8736074,"0",67.9815504634378,28850.1938301473,0,0,256.402123161991,785.55423539704,51.8218333422403,2397.03574914907,24.1241,"Asia"
"94","PUE",18.22093074,-66.46612748,"0",100,45.5766653849576,3408.79285714286,99.1,255.450478530011,1096.44959982315,36.2901511167535,1612.83034594013,17.6349,"Americas"
"95","QLD",-22.57373668,144.5481795,"0",71.2390342438751,5325.03035981058,91968.8708059211,98.78,234.895256805734,4521.380570397,73.9636573051293,625.035250884799,16.8357,"Pacific"
"96","RWA",-1.997967978,29.91720553,"1",78.6151831478983,85302.9561888859,3561.1328793158,4.57,190.515821360984,715.76285481009,50.0812993829335,1184.9953445698,16.9865,"Africa"
"97","SAM",-13.79663559,-172.031904,"0",56,282.186781486304,115.15,39.19,248.794965051658,381.381046768915,42.4186659399069,3553.29315685722,NA,"Pacific"
"98","SAU",24.0233803,44.58510578,"0",76.1846981028737,48389.5130954071,195705.490882353,95.27,260.290969553523,7059.66470252904,108.319510922141,86.0963531717423,NA,"Asia"
"99","SCA",33.91755375,-80.90042082,"0",38.424586853391,17001.2131375937,774854.548571429,98.97,173.205576830722,6837.85112665404,21.2029480290382,1232.24811950231,20.2366,"Americas"
"100","SCZ",-10.99211357,166.2240525,"0",95.4169278160384,242.694846862469,31.5833333333333,18.33,262.452370880656,384.296630197867,12.2798838980625,5007.14161849711,NA,"Pacific"
"101","SEN",14.36697954,-14.46817708,"1",165.821540084422,81440.894312427,19795.3438160677,13.32,284.9850555849,2156.99324703465,138.025996212084,654.659119268073,4.93134,"Africa"
"102","SEY",-4.702082011,55.52213886,"1",109.596214885214,457,0,0,261.961548916129,684.235848765833,43.2705842331794,2457.99667774086,NA,"Africa"
"103","SIE",8.560340924,-11.7921029,"1",115.490478554379,71364.4375952385,1080.54490683231,1.43,254.384977902579,1320.78020337273,81.9630288684841,2688.35151628298,15.3288,"Africa"
"104","SOL",-8.147972776,158.3400507,"0",58.6748880277435,713.298969414375,39.7381428571429,10.91,256.160468810087,378.391053585047,21.5273280049412,3377.60069650091,21.9363,"Asia"
"105","SOM",6.063713497,45.86255927,"1",121.478627400445,86739.9462500459,185231.258681319,57.25,266.043699709343,1536.02497657359,104.217218201891,289.925328203472,14.3646,"Africa"
"106","SRL",7.612362427,80.70426262,"0",62.7369508344166,329625.605986224,-2318.39160919542,-1.62,266.779135036025,975.937489718838,63.1968610834732,1675.03927313851,14.7007,"Asia"
"107","SUD",13.83173564,30.05016106,"1",107.337342784797,91197.7972783135,107028.136525408,54.01,268.578210132555,3567.29650222322,149.223464220963,405.722378909461,3.60079,"Africa"
"108","SUL",-2.104047614,121.2948397,"0",65.483101711545,34061.4413460288,2446.74752252252,29.07,238.176978493013,351.370822187696,35.1826200855067,2379.17841369714,25.8299,"Asia"
"109","SUM",-0.47758812,101.6400768,"0",70,55345.6286464324,39049.3047042735,46.56,249.649951474425,344.389770173868,29.394294062303,2722.05011221189,16.6652,"Asia"
"110","SUR",4.12671321,-55.91158124,"0",77.5,8400.79704829687,160719.681870968,97.43,255.354709405784,685.662688980419,48.9087696562307,2227.48736640369,21.2492,"Americas"
"111","TAI",23.74831791,120.9593907,"0",67.268372230118,24572.644610446,0,0,192.347666436121,4132.25323436788,65.5422205445987,2338.98049397801,27.7962,"Asia"
"112","TAN",-6.270199047,34.82340201,"1",91.617197853759,70498.5269356034,12747.3318445564,19.76,221.85599944799,1349.68220232587,85.6396579789859,1004.85228214944,19.3467,"Africa"
"113","TCI",21.80869292,-71.88207917,"0",50.8148725982654,35.8,0,0,264.803502142429,1502.54038286209,37.846987016499,699.5390625,11.6179,"Americas"
"114","THA",15.11989876,101.0149078,"0",60.4450243066639,46500,32768.9818181818,39.72,261.870312056109,1725.34067233026,79.9374899804478,1559.10535533763,22.7186,"Asia"
"115","TOG",8.534910374,0.975845964,"1",124.490765174731,70493.3065078794,10985.1318209316,11.42,265.532397488304,1563.47674118266,75.2919664676605,1194.76844877847,8.32626,"Africa"
"116","TRT",10.46836429,-61.25263722,"0",98.258847875441,4050.97472125068,0,0,263.026985808839,555.503641196236,46.7337241728633,1935.06442388562,13.1546,"Americas"
"117","TVL",-25.26571446,28.07825549,"1",116.477720303764,128365.208487347,18800.6409803922,14.74,186.653649778246,4118.21232754113,78.2098432115537,594.179527591761,10.0002,"Africa"
"118","UGA",1.280084629,32.38622999,"1",115,71741.0672172266,18365.2251767574,25.26,222.12042790636,793.405182174877,45.1686943900489,1216.282343225,9.69847,"Africa"
"119","URU",-32.79956992,-56.01217362,"0",34.9748287651018,24427.2593436179,717223.546153846,99.02,175.139435028138,4483.23974518745,15.143729923218,1197.52819283959,NA,"Americas"
"120","VAN",-16.20215409,167.7055728,"0",56.614801216298,381.929586784862,0,0,242.679874147576,1077.17828444064,34.0592380763572,2709.01735015773,39.5401,"Pacific"
"121","VEN",7.118821943,-66.16904042,"0",77.5,10606.5427920694,105844.093448511,96.21,249.509431986242,686.522194703304,59.8562921086902,1935.40648225012,17.1371,"Americas"
"122","VIE",16.65160342,106.3040353,"0",61.9007831397182,50889.3535842406,68565.2753818251,51.9,236.88633087244,2756.00618204029,78.3989227683661,1923.58321330991,23.6497,"Asia"
"123","VNA",NA,NA,"0",80.427577525967,98522.6431891089,683529.592592593,95.89,268.924920614786,703.873945055114,51.6706481350336,524.488902589396,NA,"Americas"
"124","WAU",-25.46606876,122.1782045,"0",40,1777.16854006395,126147.213596491,99.59,230.009074667085,5079.52143284063,64.4242081699754,357.24148950621,11.3343,"Pacific"
"125","WHM",33.32159715,76.67319106,"0",39.5868695349018,175820.881917544,120139.92565095,51.08,19.7208797051139,7458.29189295637,66.6648143411374,847.957978702637,36.1903,"Asia"
"126","WIN",14.09525608,-60.99587035,"0",100.247231239545,59.1418716099164,5.8875,15.25,257.676033288287,808.561639219756,40.4507033891667,2176.45778275476,10.7318,"Americas"
"127","YEM",15.83691546,47.56879416,"0",101.407431783879,22773.5873893421,73378.8515151515,91.32,255.744150116863,4093.09328732671,95.4652516542767,119.418191767496,1.37013,"Asia"
"128","ZAI",-2.876225764,23.65445822,"1",115,71114.4502934975,13388.6438460281,24.54,229.284129245656,775.979618472594,52.0239648559464,1620.25235716949,16.6613,"Africa"
"129","ZAM",-13.45307543,27.79788004,"1",105.491473635014,83102.4525376083,16120.3427300151,18.52,214.283017659887,2445.04233209106,109.933631735003,1015.57997509935,8.9469,"Africa"
"130","ZIM",-19.00000577,29.87175983,"1",84.8528137423857,121495.106917141,19771.7042684813,15.89,208.358455884197,3141.88073534867,103.467393881246,680.780190474609,8.0813,"Africa"
