"id" "model" "loglik" "AIC" "AICc" "BIC" "param.count" "eigval1" "eigval2" "eigval3" "X0_alpha" "X1_alpha" "sigma0" "X1_sigma.sq" "theta0" "theta_se0" "theta_1" "theta_se_1" "fit" "delta" "w"
"1" "ouwie_Afr_avgl" "BM1" -2604.3523387453 5212.7046774906 5212.7105685068 5223.94608766427 2 1000 0 0 0 0 0.115797976975137 0.115797976975137 1.18830226690275 1.32722341485333 1.18830226690275 1.32722341485333 5212.7105685068 1243.13945606789 8.32056954770576e-271
"2" "ouwie_Afr_avgl" "BMS" -2565.85292136775 5137.7058427355 5137.71763055475 5154.56795799601 3 990 32 0 0 0 0.119029553071048 0.0155832488270209 1.21628765982916 1.32829486312768 1.21628765982916 1.32829486312768 5137.71763055475 1168.14651811584 1.60200040726576e-254
"3" "ouwie_Afr_avgl" "OU1" -2010.60464131997 4027.20928263993 4027.22107045918 4044.07139790045 3 1700 86 0 0.234434148792337 0.234434148792337 0.242639123473007 0.242639123473007 0.591778081390975 0.0210668274883194 0.591778081390975 0.0210668274883194 4027.22107045918 57.6499580202744 2.21782223477438e-13
"4" "ouwie_Afr_avgl" "OUM" -1980.77572820963 3969.55145641925 3969.57111243891 3992.03427676661 4 1700 38 0 0.289631007328039 0.289631007328039 0.27936221210204 0.27936221210204 0.537506031251696 0.0195344044377793 1.2493507161898 0.0856906090002089 3969.57111243891 0 0.731907265370012
"5" "ouwie_Afr_avgl" "OUMV" -1980.77512783081 3971.55025566161 3971.57975418668 3999.6537810958 5 1700 89 16 0.287930278803873 0.287930278803873 0.277873066032156 0.280750103139542 0.537872086104415 0.0195731940772286 1.24941688211533 0.0862071012590846 3971.57975418668 2.00864174777371 0.268092734629766
"6" "ouwie_Afr_BM" "BM1" -1574.29527262124 3152.59054524248 3152.59643625868 3163.83195541616 2 1000 0 0 0 0 0.0421819327767205 0.0421819327767205 1.17112150382092 0.801044764739678 1.17112150382092 0.801044764739678 3152.59643625868 14.6414985338088 0.000275256590592604
"7" "ouwie_Afr_BM" "BMS" -1573.09454856675 3152.18909713349 3152.20088495275 3169.05121239401 3 980 32 0 0 0 0.0417407762196652 0.0547101141780207 1.1652962064416 0.798669545886027 1.1652962064416 0.798669545886027 3152.20088495275 14.2459472278715 0.000335452166443685
"8" "ouwie_Afr_BM" "OU1" -1566.35770843016 3138.71541686032 3138.72720467957 3155.57753212084 3 1000 17 0 0.00943282823006864 0.00943282823006864 0.0458632980041635 0.0458632980041635 1.27014331061793 0.389251288200525 1.27014331061793 0.389251288200525 3138.72720467957 0.772266954699262 0.282750315242821
"9" "ouwie_Afr_BM" "OUM" -1566.04338895588 3140.08677791177 3140.10643393143 3162.56959825912 4 1000 17 0 0.00953465623723956 0.00953465623723956 0.0458994639164564 0.0458994639164564 1.3342994856424 0.394434641078846 0.493420135688896 1.05261920535877 3140.10643393143 2.15149620655029 0.141875456235487
"10" "ouwie_Afr_BM" "OUMV" -1563.9627195999 3137.9254391998 3137.95493772488 3166.02896463399 5 990 34 18 0.0101454850836924 0.0101454850836924 0.04550345890024 0.064952180070891 1.32990667210541 0.375666693424332 0.486740962966552 1.08939374142126 3137.95493772488 0 0.416005177984689
"11" "ouwie_Afr_BM" "OUMVA" -1563.92012426222 3139.84024852443 3139.88156677332 3173.56447904546 6 990 34 18 0.0101126475725842 0.0112866865296759 0.0454721668619948 0.0574293345594144 1.33119774341458 0.37628924839627 0.63138085592924 0.928971880417079 3139.88156677332 1.92662904844929 0.158758341779967
"12" "ouwie_md_avgl" "BM1" -2604.3523387453 5212.7046774906 5212.7105685068 5223.94608766427 2 1000 0 0 0 0 0.115797976975137 0.115797976975137 1.18830226690275 1.32722341485333 1.18830226690275 1.32722341485333 5212.7105685068 1204.06108694767 2.58151767516936e-262
"13" "ouwie_md_avgl" "BMS" -2507.66953479146 5021.33906958293 5021.35085740218 5038.20118484344 3 890 130 0 0 0 0.129597554973467 0.0279624961862767 1.03959100038812 1.22015709669266 1.03959100038812 1.22015709669266 5021.35085740218 1012.70137584305 9.22801726944735e-221
"14" "ouwie_md_avgl" "OU1" -2010.60464131997 4027.20928263993 4027.22107045918 4044.07139790045 3 1700 86 0 0.234434148792337 0.234434148792337 0.242639123473007 0.242639123473007 0.591778081390975 0.0210668274883194 0.591778081390975 0.0210668274883194 4027.22107045918 18.5715889000526 6.88095600502771e-05
"15" "ouwie_md_avgl" "OUM" -2001.3716956222 4010.74339124439 4010.76304726405 4033.22621159175 4 1700 51 0 0.266364840170527 0.266364840170527 0.266373003750668 0.266373003750668 0.541930915211994 0.0215605442942542 0.805433888105385 0.0535549449434781 4010.76304726405 2.1135657049158 0.25790698794782
"16" "ouwie_md_avgl" "OUMV" -1999.30999151703 4008.61998303406 4008.64948155913 4036.72350846825 5 1500 260 28 0.236283541492341 0.236283541492341 0.249150371464733 0.19615826726378 0.555024567232053 0.0230598673559054 0.798887005103491 0.0504706769692977 4008.64948155913 0 0.74202420249213
"17" "ouwie_md_BM" "BM1" -1574.29527262124 3152.59054524248 3152.59643625868 3163.83195541616 2 1000 0 0 0 0 0.0421819327767205 0.0421819327767205 1.17112150382092 0.801044764739678 1.17112150382092 0.801044764739678 3152.59643625868 13.8692315791095 0.000586571250566752
"18" "ouwie_md_BM" "BMS" -1574.19090552092 3154.38181104184 3154.39359886109 3171.24392630235 3 860 130 0 0 0 0.0419230996817496 0.0437462118480276 1.16772530218633 0.802685798038341 1.16772530218633 0.802685798038341 3154.39359886109 15.6663941815159 0.000238820648098358
"19" "ouwie_md_BM" "OU1" -1566.35770843016 3138.71541686032 3138.72720467957 3155.57753212084 3 1000 17 0 0.00943282823006864 0.00943282823006864 0.0458632980041635 0.0458632980041635 1.27014331061793 0.389251288200525 1.27014331061793 0.389251288200525 3138.72720467957 0 0.602540362986612
"20" "ouwie_md_BM" "OUM" -1566.35657258416 3140.71314516832 3140.73280118797 3163.19596551567 4 1000 17 0 0.00943076711838793 0.00943076711838793 0.0458671409559591 0.0458671409559591 1.27858809578423 0.428279728343342 1.23929037946284 0.757600683383746 3140.73280118797 2.0055965083975 0.221042811827031
"21" "ouwie_md_BM" "OUMVA" -1565.90006626951 3143.80013253902 3143.84145078792 3177.52436306005 6 860 130 17 0.00938843289627353 0.00933940472887828 0.0450840994697899 0.0495396971759225 1.26902519624754 0.430583263277284 1.2335936071426 0.784906015576563 3143.84145078792 5.11424610834138 0.0467134252271851
"22" "ouwie_md_BM" "OUMV" -1565.8911414499 3141.7822828998 3141.81178142487 3169.88580833399 5 860 130 17 0.00974215757990876 0.00974215757990876 0.0453863348359161 0.0497419117334091 1.2734090634455 0.420930148723568 1.23691364466405 0.74988132904956 3141.81178142487 3.08457674529882 0.128878008060507
