"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
"ouwie_Afr_avgl_1"	"BM1"	-2407.21607695668	4818.43215391336	4818.43805361838	4829.67062074582	2	1000	0	0	0	0	0.107286420202289	0.107286420202289	1.00010001809394	1.31943445433291	1.00010001809394	1.31943445433291	4818.43805361838	1087.3540996068	5.50203633389714e-237
"ouwie_Afr_avgl_1"	"BMS"	-2391.60551954165	4789.2110390833	4789.22284429727	4806.06873933198	3	990	34	0	0	0	0.109670805803795	0.0351639193488144	1.02918516331981	1.3195060112393	1.02918516331981	1.3195060112393	4789.22284429727	1058.13889028569	1.21485809512663e-230
"ouwie_Afr_avgl_1"	"OU1"	-1885.26412348485	3776.52824696969	3776.54005218366	3793.38594721837	3	1600	130	0	0.214649961291519	0.214649961291519	0.207408057927025	0.207408057927025	0.601259943891051	0.0220312378425158	0.601259943891051	0.0220312378425158	3776.54005218366	45.4560981720774	9.67831646199134e-11
"ouwie_Afr_avgl_1"	"OUM"	-1861.53213448611	3731.06426897221	3731.08395401158	3753.54120263712	4	1700	120	0	0.236612366308099	0.236612366308099	0.217820852794291	0.217820852794291	0.553845211655333	0.0213064425385365	1.19473404941256	0.0879436533645604	3731.08395401158	0	0.71856510157418
"ouwie_Afr_avgl_1"	"OUMV"	-1861.46456111228	3732.92912222457	3732.95866432206	3761.0252893057	5	1600	150	29	0.235561479103479	0.235561479103479	0.217586883080197	0.20418863483675	0.554244490475761	0.0213799409807213	1.19451175248668	0.0854048433526913	3732.95866432206	1.87471031047426	0.281434898329037
"ouwie_Afr_avgl_10"	"BM1"	-2008.54552810952	4021.09105621903	4021.09695592405	4032.32952305149	2	1000	0	0	0	0	0.068690829255415	0.068690829255415	1.06623492342891	1.09172314191451	1.06623492342891	1.09172314191451	4021.09695592405	696.192509974835	4.63450412833261e-152
"ouwie_Afr_avgl_10"	"BMS"	-1980.18414614489	3966.36829228979	3966.38009750376	3983.22599253847	3	990	32	0	0	0	0.070558342142889	0.0131498704406038	1.2157857245201	1.07869382217552	1.2157857245201	1.07869382217552	3966.38009750376	641.475651554545	3.52872742576564e-140
"ouwie_Afr_avgl_10"	"OU1"	-1676.99170047414	3359.98340094827	3359.99520616224	3376.84110119695	3	1400	240	0	0.104196225330713	0.104196225330713	0.103104453988957	0.103104453988957	0.713848931700327	0.0321837214950484	0.713848931700327	0.0321837214950484	3359.99520616224	35.0907602130255	1.66887658902034e-08
"ouwie_Afr_avgl_10"	"OUM"	-1659.26825613118	3326.53651226236	3326.55619730173	3349.01344592727	4	1400	230	0	0.111501029584712	0.111501029584712	0.10525077491573	0.10525077491573	0.639472223137383	0.0316735465438518	1.2750293178188	0.0987350260369247	3326.55619730173	1.65175135251684	0.304517837222708
"ouwie_Afr_avgl_10"	"OUMV"	-1657.43745192586	3324.87490385173	3324.90444594921	3352.97107093286	5	1400	270	28	0.108500967548785	0.108500967548785	0.104811116846554	0.0733875691185219	0.644506686806326	0.0326407534006799	1.27787845231784	0.0846370832582205	3324.90444594921	0	0.695482146088526
