"","area","meanFW_angios","medianFW_angios","max95FW_angios","X","LAT","LONG","accAfrica","max95FL_palms","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean","LEVEL_3_CO","sqrt_change"
"43","Florida",2.40831428571429,1.14,7.89740194333928,43,28.65142195,-82.48405094,0,2.02484567313166,29321.6017127407,998.821460769231,8138668.30203883,98.89,214.867061188943,4544.03109851937,44.0860547713205,1372.25299098719,20.1819,0.117579076,"Americas",1.463,1.1215,"FLA",31.6041367667151
"44","French Guiana",2.75873615635179,1.7,7.75,44,3.924388201,-53.24126696,0,5.78892549780383,11264.2823565827,168.848017129463,714830.080711886,97.43,255.29744129911,772.158441912077,46.4555291247702,2672.84311120722,22.8616,0.954636045,"Americas",1.303,1.2385,"FRG",12.9941531901645
"45","Gabon",4.03468181818182,3,10,45,-0.590677968,11.79715762,1,7.68672940155047,51888.7631273592,8.27147471306923,70865.3386891365,10.86,237.483831177709,726.273413640247,62.915111990259,1840.32471650119,20.7917,0.904296881,"Africa",1.3115,1.05625,"GAB",2.87601716146987
"46","Gambia",4.07476666666667,2.1975,14.4872166527903,46,13.4529444,-15.3856196,1,10.5428691051437,75854.2213014612,129.406520588235,172612.874952643,80.47,280.928066598117,1611.90013075357,136.581123119626,801.647349048477,4.01763,0.121901368,"Africa",1.28465,1.1353,"GAM",11.3756986857175
"47","Gulf of Guinea Is.",3.90860784313726,2.5,11.3493411222345,47,2.369331633,7.97621565,1,10.8505733773608,13263.779943905,0,13263.779943905,0,231.558580698745,997.399013332965,62.4093101248677,2360.31505284205,20.1848,0.511858599,"Africa",1.27595,1.05395,"GGI",0
"48","Ghana",3.90108333333333,2.795,11.2121409017539,48,7.959643822,-1.207046189,1,9.53301456943931,70246.370749979,8.60533797468354,73443.1368969794,11.58,269.188236628003,1496.61547472063,69.3386836203293,1241.7872724372,15.0986,0.232468628,"Africa",1.288,1.1332,"GHA",2.93348563567022
"49","Guinea-Bissau",3.64989256198347,2.76,8.9,49,12.0161983,-14.98748401,1,13.7191515578198,81968.7366059476,3.20003286875726,82500,2.38,276.252854832792,1362.3575436286,127.455073141467,1566.74389850287,12.481,0.096737983,"Africa",1.2632,1.1152,"GNB",1.78886356907319
"50","Guatemala",2.05657207207207,1.085,7.47523853957965,50,15.7023026,-90.3569493,0,3.5,7275,265.356867560664,192025.097099282,98.07,221.977211023323,1311.26410550376,66.0884741906413,2108.33394032354,21.3674,0.609468784,"Americas",1.287,1.1227,"GUA",16.2897780083298
"51","Guinea",3.54049206349206,2.145,10,51,10.43854094,-10.94182542,1,10.3923048454133,72970.1956827038,0.519085000000006,72970.1956827038,0.69,257.741597330213,1868.45164397251,96.5330703091948,1748.28767730192,14.8833,0.063093167,"Africa",1.294,1.135,"GUI",0.720475537405682
"52","Guyana",2.65010355987055,1.67,7.5,52,4.792378272,-58.97416349,0,6.83646770156013,7954.88961769081,148.789805617368,407915.935162133,97.46,248.295926342666,558.626118178049,51.3794202106922,2181.33011137983,19.6961,0.895810055,"Americas",1.2901,1.2395,"GUY",12.197942679705
"53","Haiti",2.80315492957746,1.2185,9.99371258630402,53,18.93894782,-72.68381472,0,3.67571625187518,761.312147110936,12.3281883116883,50703.2509226259,96.88,246.526038830316,1286.44975664774,41.3088638342373,1359.87893368399,23.2712,0.064332411,"Americas",1.4311,1.2122,"HAI",3.51115199210862
"54","Hawaii",2.28012820512821,1.0925,5.540111682292,54,20.27437592,-156.3821794,0,4.75,47.3,0,47.3,0,192.340470370153,1293.87406429816,29.01544027066,1671.37575111456,NA,NA,"Pacific",1.3888,1.0825,"HAW",0
"55","Honduras",2.25544032921811,1.113,8.24357754779241,55,14.81591848,-86.62017081,0,4.31963486151409,7275,265.352326223925,192025.097099282,98.04,230.848913593501,1101.61464134825,61.8338906617466,1809.55435957418,25.696,0.603868726,"Americas",1.3755,1.1539,"HON",16.2896386155103
"56","India",2.19552734375,1.2,6.26020805218433,56,21.72683329,78.38336127,0,4.11350371403892,172376.706790868,75.6754657254902,708441.841208677,47.17,260.235104891146,4221.21646813485,121.495346697093,1043.45520155645,18.7864,0.040476591,"Asia",1.3009,1.18945,"IND",8.6991646567639
"57","Ivory Coast",3.73180168776371,2.683,10.1738492818697,57,7.631725302,-5.555499924,1,12.8308151998943,70000.3,8.19062289156626,72246.3338092311,11.37,258.954131223115,1318.17756474348,65.9795347904534,1279.42971053867,13.5669,0.372295536,"Africa",1.29,1.1338,"IVO",2.86192643014566
"58","Jamaica",2.92647058823529,1.212,10,58,18.15133064,-77.31975081,0,2.65983672482157,513.875150081201,0.521865714285714,3119.84236545334,68.98,252.523925030855,1008.4478648966,43.2624758138657,1725.23086079905,NA,NA,"Americas",1.467,1.18435,"JAM",0.722402736903532
"59","Jawa",2.10332247557003,1.3,5.78002878076106,59,-7.288626257,110.0767173,0,4.83556469320594,65939.3297710421,60.7170564943253,1276172.77576851,38,253.498946243917,408.91872367847,54.4772824133506,2596.89206500209,17.2098,0.461398351,"Asia",1.262,1.06,"JAW",7.79211502060418
"60","Kenya",2.24851546391753,1.3,6.42456224189633,60,0.529780176,37.85786442,1,10.8206300721613,71596.5394678466,21.6238422868093,87467.4936303788,26.39,245.23561479766,992.675247649849,80.2867973719744,631.524143367345,14.1131,0.028665851,"Africa",1.2174,1.1083,"KEN",4.65014432967508
"61","Laos",2.0923285198556,1.19,6.31038131832265,61,18.50245057,103.7634056,0,7.32106285001026,32950.7229879636,64.8948121071159,609655.478060085,59.59,226.778056196832,2567.34975491431,87.071759066669,1866.81329160816,26.0867,0.85863257,"Asia",1.30625,1.1397,"LAO",8.05573163077792
"62","Liberia",3.83176785714286,2.775,10.5761407933174,62,6.448118463,-9.307846564,1,8.83670003111144,70741.1103144473,9.06428933333333,75365.7537734392,11.57,249.489122999319,845.851426968197,59.9833353879857,2558.73724955269,18.8533,0.972675344,"Africa",1.291,1.07365,"LBR",3.01069582212042
"63","Leeward Is.",2.90975,1.414,9.90610274727716,63,16.92097024,-62.28981026,0,5.13757537062896,45.1657882817615,10.4308166666667,9514.64293354081,99.72,261.330923132609,1052.15456344476,35.8308447193353,1426.42317255097,9.92969,0.020722033,"Americas",1.39645,1.08425,"LEE",3.2296774864786
"64","Lesser Sunda Is.",2.20254935622318,1.25,5.97829242188584,64,-8.633678479,123.0810076,0,13.1950791077289,8345.01132633461,32.5893005942275,22594.6041514218,93.24,252.935075807882,702.898830832238,72.7312632035494,1683.48967093311,19.5388,0.298834389,"Asia",1.2664,1.1704,"LSI",5.70870393296302
"65","Mauritius",2.90250602409639,1.085,9.8553245229307,65,-20.19561777,57.55522668,1,5.91815895190149,456.3,0,430.303207822507,0,234.403915335627,1818.73624242252,50.8196589078151,1798.58838174274,NA,NA,"Africa",1.2394,1.0793,"MAU",0
"66","Madagascar",1.55816632124352,1.171,3.768889358214,66,-19.37352133,46.70599248,0,4.88591184330391,5297.97808526158,7.92606108474576,46199.351580301,83.62,225.047347497499,2012.11100387695,94.3765860173139,1485.68737534821,17.111,0.208859859,"Madagascar",1.34185,0.96055,"MDG",2.81532610628782
"67","Mali",2.96115730337079,1.635,8.39910353589148,67,17.35036933,-3.524336718,1,14.5062366160245,191812.070895295,204.802049264069,1307191.54462908,55.25,288.745646049441,4744.27650295199,133.103222793088,310.327877317456,2.83576,0.007066582,"Africa",1.05145,1.12435,"MLI",14.3109066541596
"68","Malawi",2.3508916967509,1.295,7.12858815548053,68,-13.21510424,34.30698504,1,10.9233852181565,86600.3999999999,18.3649905014465,139355.514145875,17.22,215.465178529129,2257.28599775341,102.499907424227,1109.12143810126,17.6757,0.030076454,"Africa",1.2196,1.1182,"MLW",4.2854393592077
"69","Malaya",2.34945657568238,1.5,6.16687527687802,69,4.028255407,102.1784344,0,5,58459.8697152486,43.8968074853801,361543.737150388,43.66,258.664968339659,587.996085468191,36.4057527960273,2531.35050250442,25.4881,0.806114983,"Asia",1.3234,1.0428,"MLY",6.6254665862398
"70","Maluku",2.44810784313725,1.4575,6.97881926663756,70,-1.420611904,127.990452,0,5.25648519319014,5980.95640275233,0.0830833487511568,6048.84133614827,2.02,250.490376395676,411.171683193676,28.5134523331142,2384.66037735849,23.4708,0.517783719,"Asia",1.27385,1.05185,"MOL",0.288241823389939
"71","Mozambique",2.18138392857143,1.225,6.49496021467501,71,-17.26019707,35.55225318,1,10.6356597194411,85972.5890372094,18.4422067208904,131713.896786347,17.92,235.332848031401,2330.35013921843,94.8149447608494,1019.63658917721,14.2031,0.013883503,"Africa",1.30005,1.10335,"MOZ",4.29443904612586
"72","Mexico Central",1.66651333333333,0.907,6.13204520550208,72,19.13109566,-98.58581279,0,1.71907001087358,5636.35231300245,353.346418212766,1067024.63399903,98.58,173.113508114143,1812.84606840347,87.8572895061686,964.901574130567,21.1099,0.202325543,"Americas",1.1917,1.0653,"MXC",18.7975109579105
"73","Mexico Northeast",1.74559523809524,0.934,6.16215489536743,73,25.85227543,-103.0607542,0,2.02034986881096,6974.84972106915,317.389645419809,1103765.77582367,98.23,187.507777354559,4580.86302519893,80.5937933804489,527.381987407077,22.3813,0.106356352,"Americas",1.2458,1.10775,"MXE",17.8154327878895
"74","Mexico Gulf",1.77440512820513,1,6.09461490027403,74,19.37738436,-96.405429,0,3.5,7309.63762104665,333.06110275,1039691.91691048,98.44,240.550287534029,2320.31629542697,72.8889956299249,1735.51133661733,25.8423,0.164330322,"Americas",1.2532,1.14565,"MXG",18.2499617191379
"75","Mexico Northwest",1.91926666666667,0.975,6.88430265738934,75,28.4912303,-111.3789827,0,2.17370651192842,5014.48527530503,357.971556135383,1262693.3101638,99.37,216.371091931566,5189.98149136266,92.1094883290518,361.357799778674,20.7135,0.129332802,"Americas",1.397,1.095,"MXN",18.9201362610152
"76","Mexico Southwest",2.11010572687225,1,7.84659739796866,76,18.84795312,-100.7023886,0,3.40342466501721,6011.17663461712,253.216439620704,442984.582439366,98.48,211.869483912706,1674.08964422978,103.81403145266,1131.95890191635,20.8141,0.341436212,"Americas",1.287,1.16905,"MXS",15.9127759872595
"77","Mexico Southeast",1.96942477876106,1.0025,7.01499464922446,77,18.50798756,-90.55872649,0,3.5,7191.38451115513,245.778247370995,87957.8420967131,98.02,248.972770171131,1688.94247164828,65.7223510009081,1531.89728995426,16.8255,0.64407178,"Americas",1.375,1.156,"MXT",15.6773163319171
"78","Myanmar",1.85534916201117,1.1265,5.33447961930526,78,21.14042303,96.50882808,0,7.32106285001026,54451.1956375861,221.752508312448,1132915.62422038,83.76,232.974652159594,2893.9492736733,93.7208284026903,2177.43721943909,27.0695,0.541254032,"Asia",1.273,1.1397,"MYA",14.8913568324867
"79","KwaZulu-Natal",2.02793085106383,1.25,5.91955224429474,79,-28.7085677,30.72508497,1,6.94678648908834,95781.5604186219,18.9651437821612,233589.389857331,13.42,175.858946921053,3223.57857552005,60.8022221447798,864.020134827085,17.8326,0.131242318,"Africa",1.3356,1.1146,"NAT",4.35489882570895
"80","Nicobar Is.",2.83335625,1.5,9.68965790892928,80,7.507217236,93.60165739,0,2.6294154716638,446.800770713255,0,446.800770713255,0,272.357400375123,456.927844063799,46.635571696327,3003.77020340847,14.2754,0.025652842,"Asia",1.26315,1.0391,"NCB",0
"81","Nepal",1.74643624161074,1,4.71848286474154,81,28.25300785,83.93851707,0,3.87298334620742,255551.960480392,86.1357292410714,1480168.9853959,43.14,126.02343700505,5826.20951412789,103.030442475783,1657.8968080522,33.7709,0.341417927,"Asia",1.275,1.171,"NEP",9.28093364059195
"82","Nigeria",3.76387644787645,2.79,10.0865500949877,82,9.593635674,8.105324864,1,10.8505733773607,71114.4502934975,79.4184724599542,144229.57232736,55.63,265.48513406189,2083.16746785447,102.400383636373,1161.50708344038,13.0367,0.108073568,"Africa",1.27945,1.12675,"NGA",8.9117042399282
"83","Niger",3.76212195121951,2.145,11.5,83,17.42632282,9.397657535,1,14.1861241350476,77059.7277596018,273.036907568438,2758777.88255502,57.48,274.744693540598,5175.95532167127,173.873056001853,134.442175800472,2.12057,9.8532e-05,"Africa",1.2435,1.11925,"NGR",16.5238284779417
"84","Nicaragua",1.99010869565217,1.1165,6.2258060698746,84,12.83970931,-85.03469962,0,5,7161.33917104621,256.524760238095,137415.753802808,98.07,253.561282360387,673.011725701824,66.7255194197,2220.5697899491,19.8538,0.448448886,"Americas",1.341,1.171,"NIC",16.0163903623162
"85","New South Wales",1.5991724137931,1,4.60448244110924,85,-32.18030973,147.0187766,0,1.63295074796796,3235.80736169448,127.553898106061,164326.045895946,99.53,175.795278407168,5452.04576200936,21.226480809975,534.004281202058,22.8827,0.12284044,"Pacific",1.37295,0.92855,"NSW",11.2939761867139
"86","Northern Territory",1.78816091954023,1.3,4.89098064709832,86,-19.41428342,133.3652138,0,2.18672414788656,1762.39865186041,0,1640,0,253.693472209698,4530.53954791363,88.7792007243827,566.317170113189,17.4433,0.001827081,"Pacific",1.3284,1.0816,"NTA",0
"87","New Caledonia",2.87314141414141,1.78,6.11454298059309,87,-21.29461419,165.6718498,0,3.77428021159708,304.571117957602,0,304.571117957602,0,222.446179203112,2056.61032332774,46.5886290229637,1682.05562406974,22.3575,0.33668581,"Pacific",1.2805,0.8661,"NWC",0
"88","New Guinea",1.9495702247191,1.3445,5.5,88,-5.345954432,140.8323421,0,5.46825270922065,8666.7,1.7871459567705,9732.6337705448,52.4,233.052607736673,419.942123676812,26.8683085565275,3193.16233227453,22.0357,0.870742582,"Asia",1.2954,1.0322,"NWG",1.33684178449452
"89","Pakistan",1.8516835443038,0.98,5.1169015227858,89,29.35662305,68.78919169,0,5.99824685967549,96677.9725926017,188.624779251701,832309.45857582,92.61,229.350620704193,7176.29514789662,96.4306676447625,285.382628986697,33.9932,0.005876648,"Asia",1.2572,1.15285,"PAK",13.7340736583033
