"LEVEL_3_CO","area","accRealm","sp_richness_palms","meanFL_palms","medianFL_palms","max95FL_palms","meanFL_palms_filled","medianFL_palms_filled","max95FL_palms_filled","log_meanFL_palms_BBMmean","log_medianFL_palms_BBMmean","log_max95FL_palms_BBMmean","log_meanFL_palms_BBM_MCC","log_medianFL_palms_BBM_MCC","log_max95FL_palms_BBM_MCC","sp_richness_angios","meanFW_angios","medianFW_angios","max95FW_angios","meanSL_angios","medianSL_angios","max95SL_angios","curr_meanBodySize","curr_medianBodySize","curr_max95BodySize","curr_sdBodySize","sp_richness_curr","sp_richness_curr_meso","sp_richness_curr_mega","presNat_meanBodySize","presNat_medianBodySize","presNat_max95BodySize","presNat_sdBodySize","sp_richness_PresNat","sp_richness_presNat_meso","sp_richness_presNat_mega","mean_perc_BSchange","median_perc_BSchange","max95_perc_BSchange","mean_abs_BSchange","median_abs_BSchange","max95_abs_BSchange","LEVEL_NAME","LAT","LONG","REALM_LONG","CONTINENT","X_COORD","Y_COORD","ISISLAND","PalmPresAbs","CH_Mean","CH_PercCover","bio1_mean","bio4_mean","bio15_mean","bio12_mean"
"CAL","California","Americas",1,0.6,0.6,0.6,0.6,0.6,0.6,1.12605724230178,1.12605724230178,1.12605724230178,3.75605001205218,3.75605001205218,3.75605001205218,63,11.2402089574211,8.6,17.4369530786966,4.6578125,4,10.4663513939211,3338.436,112.5,11470.5723788062,1.9898684549288,50,3,1,345263.227777778,166,1090350,3.78644236065336,72,23,20,99.03,32.23,98.95,341924.791777778,53.5,1078879.42762119,"California",37.23999046,-119.5874549,"Nearctic","NORTHERN AMERICA",-11531954.2,4417285.154,0,1,31.7747,0.210031791,145.457711004944,6429.37710845291,74.5467967471087,538.268711508353
"CAY","Cayman Is.","Americas",3,0.983333333333333,1,1.1783196534743,0.983333333333333,1,1.1783196534743,0.968830219790263,0.968365051084608,0.984692472653111,1.0229762152724,1.63032594789013,2.17694070724608,64,34.1089107144107,19.585,99.0610274727715,13.8305128205128,6,48.6227338467624,25.8,25.8,34.3654258250028,0.578369473420413,2,0,0,1090.4,627.9,2687.93450344189,2.59142580400832,4,0,0,97.63,95.89,98.72,1064.6,602.1,2653.56907761689,"Cayman Is.",19.431525,-80.82909683,"Neotropics","SOUTHERN AMERICA",-7798966.286,2432859.226,1,1,NA,NA,270.036620646278,1240.27688553886,58.2539352238003,1381.54838709677
"CBD","Cambodia","Asia",39,2.63525641025641,2,7.04846199441542,2.63525641025641,2,7.04846199441542,0.895512475337353,0.899520082647615,1.1577352311569,1.59139327272232,1.57971347017198,3.66494755215952,300,19.1456625586972,11.65,55,11.6224234693316,9,30.2124922467251,90493.9044776119,720,91659.7352002298,2.78901814643238,67,10,6,123858.728378378,1650.5,623904.738375505,3.06584051727224,74,16,12,26.94,56.38,85.31,33364.8239007664,930.5,532245.003175275,"Cambodia",12.71402994,104.9212396,"IndoMalay","ASIA-TROPICAL",10123379.77,1608336.662,0,1,18.1,0.416536693,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183
"CBD",NA,NA,39,2.63525641025641,2,7.04846199441542,2.63525641025641,2,7.04846199441542,0.895512475337353,0.899520082647615,1.1577352311569,1.59139327272232,1.57971347017198,3.66494755215952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHA","Chad","Africa",3,7.41666666666667,6,11.1963958984417,7.41666666666667,6,11.1963958984417,1.0548864303365,1.03860552563857,1.10935768576875,0.449368134466768,0.567463915809104,1.75179589441367,105,39.4873263888542,20,176.236826064455,12.7091346155769,10,37.1675916055522,168290.024242424,4650,191812.070895295,2.97266999199493,33,15,5,362599.188888889,8090,1190671.72863331,3.27806562633961,36,18,8,53.59,42.52,83.89,194309.164646465,3440,998859.657738018,"Chad",15.3611457,18.66460339,"Afrotropics","AFRICA",1800414.64,1924041.121,0,1,2.82206,0.015624481,267.577533293769,4154.49110308508,173.000524973391,313.178029766123
"CHC","China South-Central","Asia",38,2.23434210526316,1.95,5.25883094332759,2.23434210526316,1.95,5.25883094332759,0.935717552716639,0.950688640269704,1.11626544104773,1.51311810475337,1.60501970903106,3.51057949511918,291,18.0625727272836,9,55.3572844052356,10.2719883041404,7.6,26.9515305687822,37165.2215686275,331.65,24603.8451570016,2.42329299987302,102,12,4,284876.381896552,1540.8,1395645.54601746,3.1643518110332,116,25,16,86.95,78.48,98.24,247711.160327924,1209.15,1371041.70086045,"China South-Central",28.51736916,104.6408898,"IndoMalay","ASIA-TEMPERATE",10092822.29,3479508.38,0,1,28.9272,0.388385862,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717
"CHC",NA,NA,38,2.23434210526316,1.95,5.25883094332759,2.23434210526316,1.95,5.25883094332759,0.935717552716639,0.950688640269704,1.11626544104773,1.51311810475337,1.60501970903106,3.51057949511918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHH","Hainan","Asia",25,1.9218,1.5,3,1.9218,1.5,3,0.929309486557784,0.936733579100044,1.12401049999689,1.58173796928071,1.68093842560827,3.5536001011796,201,19.3697852050267,9.6,55.8372765790451,10.0112195121057,7.5,30.9851219084497,8581.42962962963,280,48093.4423706989,2.24932278739508,27,3,2,8614.23571428571,978,44862.1101614122,2.25703997029077,28,3,2,0.38,71.37,-7.2,32.8060846560838,698,-3231.33220928673,"Hainan",19.20103623,109.7420098,"IndoMalay","ASIA-TEMPERATE",10588533.69,2404879.611,1,1,24.293,0.295861167,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618
"CHH",NA,NA,25,1.9218,1.5,3,1.9218,1.5,3,0.929309486557784,0.936733579100044,1.12401049999689,1.58173796928071,1.68093842560827,3.5536001011796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHS","China Southeast","Asia",34,1.90794117647059,1.65,3.1663041568704,1.90794117647059,1.65,3.1663041568704,0.931192598929737,0.956038080384741,1.12140555524522,1.5752476633145,1.68093842560827,3.48780388014601,269,18.4400916200632,9.15,58.0347656156859,9.77506410249359,7,26.5348040431282,4342.85238095238,720,12112.4416288295,2.19512268162512,63,5,1,338090.6,1759.25,1784770.34341762,3.29688793155404,79,19,13,98.72,59.07,99.32,333747.747619048,1039.25,1772657.90178879,"China Southeast",28.08959356,114.4271369,"IndoMalay","ASIA-TEMPERATE",11034741.58,3422094.406,0,1,24.4796,0.341456831,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776
"CHS",NA,NA,34,1.90794117647059,1.65,3.1663041568704,1.90794117647059,1.65,3.1663041568704,0.931192598929737,0.956038080384741,1.12140555524522,1.5752476633145,1.68093842560827,3.48780388014601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHT","Tibet","Asia",4,2.15,2.15,2.91906703057529,2.15,2.15,2.91906703057529,0.904288061880581,0.925336945811488,1.03325608552353,2.19971632221925,2.33890063594414,3.51057949511918,70,10.4499571077941,7.05,24.0948866163208,6.61742857142857,4.7,19.3531537946612,86880.6054794521,997,173517.20266258,2.98449736003618,73,15,8,256340.965882353,1668.05,1727011.61309965,3.45572930998664,85,24,17,66.11,40.23,89.95,169460.360402901,671.05,1553494.41043707,"Tibet",31.712301,88.11841654,"Palearctic","ASIA-TEMPERATE",8506565.984,3839654.186,0,1,33.7216,0.009985363,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223
"CLC","Chile Central","Americas",1,3.75,3.75,3.75,3.75,3.75,3.75,0.866027935840428,0.866027935840428,0.866027935840428,1.78216338104456,1.78216338104456,1.78216338104456,11,12.429,9.8,27.2166713980014,1.405,1.5,2.26892053899829,1854.68888888889,180,9762.2307279648,2.08438965910054,18,0,0,808161.766666667,8280,4594078.9065927,4.43697280410325,33,15,15,99.77,97.83,99.79,806307.077777778,8100,4584316.67586474,"Chile Central",-34.96795192,-71.50361245,"Neotropics","SOUTHERN AMERICA",-6897254.203,-4180033.121,0,1,20.0833,0.244491599,112.849833735986,4647.68658204187,93.4724733390048,812.843828677334
"CLM","Colombia","Americas",220,2.56763831868182,1.725,7.5,2.56763831868182,1.725,7.5,0.99913596096371,1.00371787271441,1.2057871584511,2.12241726534063,2.44012559138043,3.70543753433403,453,26.4084723518715,16,80,13.3579415669084,10,36,5183.6170212766,75.6,9669.13724184967,2.45662419956303,235,11,5,70662.0984375,109.2,105540.662099485,3.11699126074554,256,32,23,92.66,30.77,90.84,65478.4814162234,33.6,95871.5248576352,"Colombia",3.899947514,-73.07536081,"Neotropics","SOUTHERN AMERICA",-7050573.344,494583.3777,0,1,16.781,0.649436837,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341
"CLM",NA,NA,220,2.56763831868182,1.725,7.5,2.56763831868182,1.725,7.5,0.99913596096371,1.00371787271441,1.2057871584511,2.12241726534063,2.44012559138043,3.70543753433403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMN","Cameroon","Africa",32,4.24375,2.8,8.86162888694854,4.24375,2.8,8.86162888694854,0.949380353285049,0.965341454497848,1.12391746625576,1.45634555573401,1.70624466446734,3.39164017248154,330,40.6038906417886,27,117.191736498015,20.4878932582753,15.1,51.3862814484387,52416.2910714286,316.25,53199.6612715503,2.74240681500495,112,24,6,60800.4097345133,333.8,71114.4502934975,2.85753007735443,113,26,8,13.79,5.26,25.19,8384.11866308471,17.55,17914.7890219472,"Cameroon",5.68580436,12.7432535,"Afrotropics","AFRICA",1229275.222,722010.4055,0,1,20.1702,0.49465377,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264
"CMN",NA,NA,32,4.24375,2.8,8.86162888694854,4.24375,2.8,8.86162888694854,0.949380353285049,0.965341454497848,1.12391746625576,1.45634555573401,1.70624466446734,3.39164017248154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNY","Canary Is.","Africa",1,1.75,1.75,1.75,1.75,1.75,1.75,1.11768420559998,1.11768420559998,1.11768420559998,3.50298762346146,3.50298762346146,3.50298762346146,53,17.3402482270213,8.9,49.2751768216163,4.4024,3.935,9.02880451447433,191.6,191.6,243.081332392931,0.453352328652788,2,0,0,584.64,251,1383.16186722259,1.48282321626755,5,0,0,67.23,23.67,82.43,393.04,59.4,1140.08053482966,"Canary Is.",28.33813028,-15.67748558,"Palearctic","AFRICA",-1512852.293,3472869.897,1,1,NA,NA,175.122325447194,2034.30266267357,86.917600417394,245.990969728066
"COM","Comoros","Africa",6,3.125,1.425,7.56962447247576,3.125,1.425,7.56962447247576,0.908280759937456,0.859748158314081,1.10547352707653,2.01835494372923,2.08583824735342,2.98420972685048,121,31.9653765432778,14.6375,109.028888013198,12.4308870970161,9.445000001,39.5093143412728,363.2,457,573.803827013436,1.4285851298131,3,0,0,363.2,457,573.803827013436,1.4285851298131,3,0,0,0,0,0,0,0,0,"Comoros",-12.08514902,43.97955695,"Afrotropics","AFRICA",4243312.064,-1530484.442,1,1,20.6124,0.046203764,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797
"CON","Congo","Africa",23,4.01086956521739,2.75,8.97468188914295,4.01086956521739,2.75,8.97468188914295,0.935985264225729,0.966039207556331,1.12275454449163,1.35085704918559,1.32665108158126,3.29547646481707,229,44.7844521610185,35,120,20.3729109588562,16,50,59951.5162790698,546,61790.5638811547,2.72834251810578,86,21,5,67856.4197674419,606.75,71867.0516149728,2.81623539196235,86,22,6,11.65,10.01,14.02,7904.90348837209,60.75,10076.4877338181,"Congo",-0.840066027,15.22427459,"Afrotropics","AFRICA",1469000.894,-106924.5384,0,1,18.6136,0.714426131,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419
"COO","Cook Is.","Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,29.0501923078462,18,95.1871419735546,14.0124242424242,10,42.8463112811585,47.3,47.3,47.3,NA,1,0,0,47.3,47.3,47.3,NA,1,0,0,0,0,0,0,0,0,"Cook Is.",-20.68521828,-158.7920415,"Oceania","PACIFIC",-15321331.79,-2582240.337,1,1,NA,NA,241.857120114281,1400.51690266927,34.1431107748122,2232.20952380952
"COO","Cook Is.","Pacific",1,0.6,0.6,0.6,0.6,0.6,0.6,0.901845926175891,0.901845926175891,0.901845926175891,3.35115019030702,3.35115019030702,3.35115019030702,NA,NA,NA,NA,NA,NA,NA,47.3,47.3,47.3,NA,1,0,0,47.3,47.3,47.3,NA,1,0,0,0,0,0,0,0,0,"Cook Is.",-20.68521828,-158.7920415,"Oceania","PACIFIC",-15321331.79,-2582240.337,1,1,NA,NA,241.857120114281,1400.51690266927,34.1431107748122,2232.20952380952
"COS","Costa Rica","Americas",103,1.48553398058252,1.2,3.49698836536212,1.48553398058252,1.2,3.49698836536212,0.96073267135104,0.963713364028055,1.20220535941756,1.92466453190147,2.23767568050786,3.75098876428036,322,22.6533196272796,13,72.5764928809732,12.2739473683801,9,36,4911.0988372093,41.8,7086.55354990745,2.49831858924375,86,3,1,255867.584782609,49.45,109939.952585892,3.42370765325947,92,9,7,98.08,15.47,93.55,250956.485945399,7.65000000000001,102853.399035985,"Costa Rica",9.97052135,-84.18903867,"Neotropics","SOUTHERN AMERICA",-8122983.517,1265495.025,0,1,21.6611,0.443642093,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542
"COS",NA,NA,103,1.48553398058252,1.2,3.49698836536212,1.48553398058252,1.2,3.49698836536212,0.96073267135104,0.963713364028055,1.20220535941756,1.92466453190147,2.23767568050786,3.75098876428036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPP","Cape Provinces","Africa",3,4.13333333333333,3,6.8433265241661,4.13333333333333,3,6.8433265241661,0.950223471564049,0.981854943548614,1.12210330830371,0.618076393527248,0.26378904950024,1.67587717783646,131,18.9778968254286,10,62.2362224876537,7.39851851851852,4,22.653731959414,104504.823076923,128.45,124882.924091371,3.03800227492679,52,9,5,123621.059016393,132.2,202177.000425243,3.49889383821788,61,19,13,15.46,2.84,38.23,19116.2359394704,3.75,77294.0763338715,"Cape Provinces",-30.90217435,22.5340323,"Afrotropics","AFRICA",2173178.984,-3751547.193,0,1,15.4399,0.012974176,172.624942942493,4666.40270265156,55.0809518571711,347.520622995836
"CPV","Caprivi Strip","Africa",2,4.2,4.2,6.11230995044038,4.2,4.2,6.11230995044038,1.05325833986671,1.05325833986671,1.12924364793552,1.37726355929941,1.37726355929941,1.78722462881637,65,43.2940104167187,16.425,171.424595035416,10,10,18.5780339537074,187423.803448276,3300,350491.916169304,3.48672830614161,29,10,5,178252.345714286,3500,388313.189233227,3.5420721389127,35,16,10,-5.15,5.71,9.74,-9171.45773399016,200,37821.2730639231,"Caprivi Strip",-17.92036942,23.25680777,"Afrotropics","AFRICA",2244035.468,-2249977.403,0,1,NA,NA,226.70697635768,3284.20820687599,110.922008308994,588.584579230987
"CRL","Caroline Is.","Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,33.0095950156729,15,100,14.3539655172414,9.85,47.8668742769468,181.05,156,319.256567692974,0.68364687458386,6,0,0,218.042857142857,178,410.418722645179,0.740798804107653,7,0,0,16.97,12.36,22.21,36.9928571428572,22,91.1621549522043,"Caroline Is.",7.212482218,146.7096536,"Oceania","PACIFIC",14156918.38,917332.803,1,1,NA,NA,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868
"CRL","Caroline Is.","Pacific",7,3.95357142857143,2.6,8.88085964645451,3.95357142857143,2.6,8.88085964645451,0.761232071723499,0.756248121305763,0.838303880983369,2.89563789084373,3.30053771258888,3.72568252542129,NA,NA,NA,NA,NA,NA,NA,181.05,156,319.256567692974,0.68364687458386,6,0,0,218.042857142857,178,410.418722645179,0.740798804107653,7,0,0,16.97,12.36,22.21,36.9928571428572,22,91.1621549522043,"Caroline Is.",7.212482218,146.7096536,"Oceania","PACIFIC",14156918.38,917332.803,1,1,NA,NA,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868
"CTM","Chatham Is.","Pacific",1,1.3,1.3,1.3,1.3,1.3,1.3,0.741827891430446,0.741827891430446,0.741827891430446,3.30053771258888,3.30053771258888,3.30053771258888,5,7.49,6.95,13.5023354478133,1.85,1.85,2.26051576387831,47.3,47.3,47.3,NA,1,0,0,47.3,47.3,47.3,NA,1,0,0,0,0,0,0,0,0,"Chatham Is.",-43.95964026,-176.5029861,"Oceania","AUSTRALASIA",-17030146.3,-5084714.718,1,1,NA,NA,115.191871112721,2145.70962200146,19.2265309558251,945.233366434955
"CUB","Cuba","Americas",43,1.46162790697674,1.25,2.5,1.46162790697674,1.25,2.5,1.02463964659203,1.03116282634808,1.20439165233414,2.05641238821497,2.54135054681672,3.64976380884407,183,28.898611788628,13.675,99.8114961589783,11.2074631268142,7,41.9296271262947,1804.23333333333,35.8,6628.90803467998,2.73426133462171,9,0,0,15728.2666666667,55.2,87271.8697164438,3.20827451399957,15,2,2,88.53,35.14,92.4,13924.0333333333,19.4,80642.9616817638,"Cuba",21.62013286,-79.0352374,"Neotropics","SOUTHERN AMERICA",-7624461.358,2693739.889,1,1,24.0513,0.174888407,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979
"CUB",NA,NA,43,1.46162790697674,1.25,2.5,1.46162790697674,1.25,2.5,1.02463964659203,1.03116282634808,1.20439165233414,2.05641238821497,2.54135054681672,3.64976380884407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI","Djibouti","Africa",3,1.73333333333333,1.9,1.98976760621635,1.73333333333333,1.9,1.98976760621635,1.10605498795859,1.13768645994316,1.18080759895741,3.1318294535284,3.75605001205218,3.80160124199851,41,16.2852380951429,10,34.9684095207214,7.115,7,12,12412.6,2650,52951.9356695902,2.23242472472216,14,5,1,742099.88125,3975,4946418.75903601,3.47709850608138,16,8,4,98.33,33.33,98.93,729687.28125,1325,4893466.82336642,"Djibouti",11.7498128,42.5779403,"Afrotropics","AFRICA",4108159.536,1488623.804,0,1,NA,NA,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783
"DOM","Dominican Republic","Americas",23,1.49086956521739,1.3,3.00758935343027,1.49086956521739,1.3,3.00758935343027,1.04548193259173,1.02790664540849,1.21202041910689,1.72274873328848,2.38951311366229,3.63964131330044,169,28.7819232456184,12.600333335,99.3105546339011,12.5089824561053,9,45.7358592334862,396.657142857143,22,761.312147110936,1.85774483862179,7,0,0,12724.8454545455,2165,50703.2509226259,2.854099012106,22,5,2,96.88,98.98,98.5,12328.1883116883,2143,49941.9387755149,"Dominican Republic",18.89309386,-70.48543447,"Neotropics","SOUTHERN AMERICA",-6800853.492,2367679.913,1,1,19.8836,0.342853271,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449
"EAI","East Aegean Is.","Asia",1,1.5,1.5,1.5,1.5,1.5,1.5,1.16420107616552,1.16420107616552,1.16420107616552,3.70543753433403,3.70543753433403,3.70543753433403,51,10.5511044801277,8,27.5255836518528,4.14807692307692,3,10.7565375693257,37877.1875,3429.5,147344.170024015,2.92516384016713,8,3,2,1064414.12727273,60399.85,5674034.49485836,3.40368407918055,22,16,12,96.44,94.32,97.4,1026536.93977273,56970.35,5526690.32483434,"East Aegean Is.",37.83826138,26.67222629,"Palearctic","ASIA-TEMPERATE",2574834.75,4487545.212,1,1,21.2557,0.035237829,168.815319058819,5735.53619321789,87.7097487117541,660.733233018057
"ECU","Ecuador","Americas",126,2.26400259102381,1.6721813725,7,2.26400259102381,1.6721813725,7,1.01248962544963,1.01813810258973,1.18455220703794,2.31520114240946,2.59196302453486,3.75605001205218,356,27.9110692372388,15,83.2421793149991,13.0440644653491,10,36.6674278329841,4787.84011976048,60.5,9762.09538028478,2.49098800147511,167,8,4,85113.4732240437,73.95,141307.886574468,3.18965599512983,183,24,17,94.37,18.19,93.09,80325.6331042832,13.45,131545.791194183,"Ecuador",-1.452912352,-78.39320786,"Neotropics","SOUTHERN AMERICA",-7563839.236,-185152.2991,0,1,19.4683,0.625712647,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223
"ECU",NA,NA,126,2.26400259102381,1.6721813725,7,2.26400259102381,1.6721813725,7,1.01248962544963,1.01813810258973,1.18455220703794,2.31520114240946,2.59196302453486,3.75605001205218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGY","Egypt","Africa",1,4.5,4.5,4.5,4.5,4.5,4.5,1.08186621526452,1.08186621526452,1.08186621526452,-1.15336032660779,-1.15336032660779,-1.15336032660779,28,36.7616666665,15.395,120.790155352899,10.982,8.5,31.5074593417097,4989.35384615385,370,18068.371084658,2.08745260343176,13,2,0,707611.27826087,5318.2,4575080.54721874,3.69040147986899,23,13,9,99.29,93.04,99.61,702621.924414716,4948.2,4557012.17613408,"Egypt",26.29498851,29.63061336,"Palearctic","AFRICA",2860446.402,3230301.643,0,1,NA,NA,232.597199549817,6436.86379457892,246.235203817095,10.5169804397988
"EHM","East Himalaya","Asia",27,2.32037037037037,1.9,5.68063488599444,2.32037037037037,1.9,5.68063488599444,0.946002496271991,0.950688640269704,1.1414078095884,1.54222274593632,1.68093842560827,3.69025379101859,203,20.185246472672,11,59.495978464656,11.5306521738957,8.5,31.7650246829754,74812.4964285714,1520.4,99822.1643755778,2.78121613337335,84,16,8,230347.153684211,1921.25,1652542.44165727,3.28216306447977,95,26,18,67.52,20.86,93.96,155534.657255639,400.85,1552720.27728169,"East Himalaya",27.77772472,92.89621011,"IndoMalay","ASIA-TROPICAL",8962388.071,3409075.729,0,1,39.0494,0.657353103,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807
"EHM",NA,NA,27,2.32037037037037,1.9,5.68063488599444,2.32037037037037,1.9,5.68063488599444,0.946002496271991,0.950688640269704,1.1414078095884,1.54222274593632,1.68093842560827,3.69025379101859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELS","El Salvador","Americas",12,2.32666666666667,1.475,4.96343083271947,2.32666666666667,1.475,4.96343083271947,0.933128521631215,0.874168388189397,1.12677825379554,2.04787888906482,2.41481935252136,3.33090519921977,190,25.3559578572229,11.2,90.7590802774013,11.4366025640385,7,35.2439542572146,7018.05740740741,42.85,7520.95419898746,2.58143850965066,54,2,1,391607.306666667,49.45,1229358.70321977,3.76616355237275,60,8,7,98.21,13.35,99.39,384589.249259259,6.6,1221837.74902078,"El Salvador",13.73614532,-88.86560674,"Neotropics","SOUTHERN AMERICA",-8574279.162,1736003.49,0,1,23.4014,0.145759525,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208
"EQG","Equatorial Guinea","Africa",15,2.79666666666667,2.2,5.96419392262606,2.79666666666667,2.2,5.96419392262606,0.895860755496459,0.919522336990795,1.01083495391094,1.99473578746076,2.288288158226,3.42200765911242,58,42.9806060605455,30,112.189683382108,18.6589743590513,15,40.9026073025429,70045.3914285714,298.5,55921.6483506246,2.69714795350107,70,14,4,70045.3914285714,298.5,55921.6483506246,2.69714795350107,70,14,4,0,0,0,0,0,0,"Equatorial Guinea",1.567924247,10.47599925,"Afrotropics","AFRICA",1010789.527,199990.807,0,1,20.609,0.949684076,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761
"ERI","Eritrea","Africa",1,1.9,1.9,1.9,1.9,1.9,1.9,1.13768645994316,1.13768645994316,1.13768645994316,1.8327758587627,1.8327758587627,1.8327758587627,83,27.64204444444,11,117.912946543618,7.415,6,14.6969384566991,232095.59,3737.5,100647.706975862,2.64018928146842,20,9,2,568653.976190476,7160.1,4486686.35049994,3.10504979848681,21,11,4,59.19,47.8,97.76,336558.386190476,3422.6,4386038.64352408,"Eritrea",15.35884102,38.85292555,"Afrotropics","AFRICA",3749294.395,1935430.219,0,1,NA,NA,267.358032914916,2581.05110827305,99.0276247157581,291.989095850005
"ETH","Ethiopia","Africa",4,6.725,6.5,11.3950673918997,6.725,6.5,11.3950673918997,1.02092911482366,1.01883585564822,1.12135903837466,0.795220065540752,0.567463915809104,1.64297906731966,187,25.1658716475287,11.316666665,95.0587559433684,8.59084905679245,8,17.8193952861312,108605.922,551.2,90439.2215406529,3.07843928640854,50,13,5,247405.591525424,2253.55,373691.619229758,3.54070031927808,59,23,14,56.1,75.54,75.8,138799.669525424,1702.35,283252.397689106,"Ethiopia",8.626139271,39.61601894,"Afrotropics","AFRICA",3822845.317,1092749.337,0,1,15.7477,0.043358599,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298
"FIJ","Fiji","Pacific",25,2.57,1.95,6.54443913303928,2.57,1.95,6.54443913303928,0.792754561325596,0.776715544354599,0.926499867575625,3.08391630795522,3.30053771258888,3.75605001205218,NA,NA,NA,NA,NA,NA,NA,161.38,134,297.064599560242,0.818921979044467,5,0,0,161.38,134,297.064599560242,0.818921979044467,5,0,0,0,0,0,0,0,0,"Fiji",-17.46392922,160.792175,"Oceania","PACIFIC",15514595.52,-2193979.881,1,1,NA,NA,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089
"FIJ","Fiji","Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,25.1204887218647,14.275,65.3827186586727,13.4564130434783,9.85,40,161.38,134,297.064599560242,0.818921979044467,5,0,0,161.38,134,297.064599560242,0.818921979044467,5,0,0,0,0,0,0,0,0,"Fiji",-17.46392922,160.792175,"Oceania","PACIFIC",15514595.52,-2193979.881,1,1,NA,NA,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089
