"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","log_max95FL_palms_BBMmean","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","max95_abs_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"1","AGE",-32.60227282,-61.25823213,"0",3.31643080168844,1.05944508365192,2.16175696393064,24021.9531244847,423667.20374837,2760957.63727251,2736935.68414803,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354,9.04206,0.069740994,"Americas"
"2","ALA",32.79389912,-86.82906784,"0",2.04242106606891,1.11461409214265,3.22461899601166,19483.0460285502,816912.630769231,7457044.50523858,7437561.45921003,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366,19.1693,0.462899074,"Americas"
"3","AND",12.27981668,92.78133014,"0",2.5,1.20206580880586,1.98461329191714,10969.6724349857,0,10969.6724349857,0,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068,17.4901,0.019305754,"Asia"
"4","ANG",-12.33575541,17.57181621,"1",8.06740317699427,1.09135565685989,1.4784885147357,77839.95628211,5096.20270833333,108593.853417217,30753.8971351068,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561,10.0415,0.123677447,"Africa"
"5","ASS",25.48271994,92.85194347,"0",6.04642388094687,1.19006445619996,1.68093842560827,95829.4756953663,106605.053410553,1565105.95897347,1469276.48327811,227.327178352141,3857.8038177803,84.6117826804942,2675.3077190511,28.9115,0.479153934,"Asia"
"6","BAH",24.1666829,-76.5004385,"0",1.33930078910471,1.1134744288138,1.85808209762178,540.314592648854,0,540.314592648854,0,256.61868810152,2127.44721158205,53.5567493768215,1065.47525652682,16.0766,0.224166324,"Americas"
"7","BAN",23.8330072,90.27092576,"0",5.34805187862534,1.18745951144829,1.78216338104456,94277.4796746688,80368.3487684729,1458534.30649873,1364256.82682406,253.650111228762,3727.88564478602,91.0644844270871,2407.00770735857,20.1772,0.116903381,"Asia"
"8","BEN",9.647649967,2.343262705,"1",12.9747724684509,1.13405814403905,1.14950740956776,70741.1103144473,11323.2187337662,74880.4317595605,4139.32144511328,270.41670697631,1847.52888476326,90.679546990936,1079.54822054883,3.68083,0.036711446,"Africa"
"9","BIS",-4.936891376,150.6265362,"0",5.30270240807009,0.954130888691554,2.89563789084373,4019.96753350336,-0.892592592592678,4019.96753350336,0,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298,23.1695,0.541679884,"Asia"
"10","BKN",12.27793715,-1.739835211,"1",14.0287267173393,1.1360118526028,0.972363737554256,75854.2213014612,213830.505718954,1190671.72863331,1114817.50733185,283.32903146042,2484.15419893871,115.584520888626,773.936797670944,2.03509,0.01089305,"Africa"
"11","BLZ",17.21852829,-88.68278545,"0",4.28467596924609,1.15173455485395,2.18706320278971,9727.74125747406,366257.399415205,1e+06,990272.258742525,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166,20.5542,0.811592036,"Americas"
"12","BOL",-16.71510989,-64.67054847,"0",7.60799408303112,1.20278682029963,2.33890063594414,13900.2341273668,233772.046221562,1615155.803517,1601255.56938964,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683,17.5065,0.404208085,"Americas"
"13","BOR",0.867901314,114.2000407,"0",4.71849375432879,1.00776484045362,2.08583824735342,15925.8,281.960726072604,44074.2943853254,28148.4943853254,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762,17.9902,0.918963442,"Asia"
"14","BUR",-3.356297118,29.88682139,"1",10.2598483986732,1.11787027308224,0.921751259836112,72373.2055050031,3887.6439576312,95087.1904888756,22713.9849838725,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036,15.2743,0.051225817,"Africa"
"15","BZC",-15.29798685,-54.29443591,"0",6.78748186266905,1.14838534017324,1.42787603701755,7863.04663173767,213581.726278024,1175537.86478312,1167674.81815138,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064,16.0749,0.209899662,"Americas"
"16","BZE",-8.635173197,-41.72952595,"0",9,1.21109008169558,1.17481364842683,11310.5402994425,208627.931760123,1143251.84709815,1131941.30679871,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055,14.0524,0.089053627,"Americas"
"17","BZL",-19.72534419,-45.48097446,"0",8.56182225465505,1.17222523633807,0.947057498695184,15259.4671185544,213742.890538194,1277970.28287323,1262710.81575467,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487,20.0023,0.068642144,"Americas"
"18","BZN",-4.63062382,-59.25073898,"0",7.5,1.23048761672141,1.98461329191714,6770.89667047173,108530.701433546,150000,143229.103329528,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801,17.3043,0.816585191,"Americas"
