"LEVEL_3_CO","ID","LEVEL_NAME","REGION_NAM","CONTINENT","id","SpecName","falsePos"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Vulpes_vulpes","No"
"MOR",195,"Morocco","Northern Africa","AFRICA","195","Vulpes_vulpes","No"
"KRI",159,"Kriti","Southeastern Europe","EUROPE","159","Vulpes_vulpes","No"
"CHS",63,"China Southeast","China","ASIA-TEMPERATE","62","Vulpes_vulpes","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Vulpes_vulpes","No"
"LBY",169,"Libya","Northern Africa","AFRICA","169","Vulpes_vulpes","No"
"PAL",255,"Palestine","Western Asia","ASIA-TEMPERATE","255","Vulpes_vulpes","No"
"SAU",284,"Saudi Arabia","Arabian Peninsula","ASIA-TEMPERATE","284","Vulpes_vulpes","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Vulpes_vulpes","No"
"EGY",98,"Egypt","Northern Africa","AFRICA","98","Vulpes_vulpes","No"
"SIN",296,"Sinai","Western Asia","ASIA-TEMPERATE","296","Vulpes_vulpes","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Vulpes_vulpes","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Vulpes_vulpes","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Vulpes_vulpes","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Vulpes_vulpes","No"
"GST",123,"Gulf States","Arabian Peninsula","ASIA-TEMPERATE","123","Vulpes_vulpes","No"
"OMA",251,"Oman","Arabian Peninsula","ASIA-TEMPERATE","251","Vulpes_vulpes","No"
"BAN",28,"Bangladesh","Indian Subcontinent","ASIA-TROPICAL","27","Vulpes_vulpes","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Vulpes_vulpes","No"
"SUD",305,"Sudan","Northeast Tropical Africa","AFRICA","305","Vulpes_vulpes","No"
"LAO",166,"Laos","Indo-China","ASIA-TROPICAL","166","Vulpes_vulpes","No"
"YEM",363,"Yemen","Arabian Peninsula","ASIA-TEMPERATE","363","Vulpes_vulpes","No"
"CUB",86,"Cuba","Caribbean","SOUTHERN AMERICA","86","Capromys_pilorides","No"
"JAM",145,"Jamaica","Caribbean","SOUTHERN AMERICA","145","Geocapromys_brownii","No"
"DOM",93,"Dominican Republic","Caribbean","SOUTHERN AMERICA","93","Plagiodontia_aedium","No"
"HAI",127,"Haiti","Caribbean","SOUTHERN AMERICA","127","Plagiodontia_aedium","No"
"NGA",226,"Nigeria","West Tropical Africa","AFRICA","226","Allochrocebus_preussi","No"
"CMN",70,"Cameroon","West-Central Tropical Africa","AFRICA","70","Allochrocebus_preussi","No"
"GGI",116,"Gulf of Guinea Is.","West-Central Tropical Africa","AFRICA","116","Allochrocebus_preussi","No"
"TAI",314,"Taiwan","Eastern Asia","ASIA-TEMPERATE","314","Macaca_cyclopis","No"
"JAP",146,"Japan","Eastern Asia","ASIA-TEMPERATE","146","Macaca_fuscata","No"
"ALG",9,"Algeria","Northern Africa","AFRICA","8","Macaca_sylvanus","No"
"MOR",195,"Morocco","Northern Africa","AFRICA","195","Macaca_sylvanus","No"
"SPA",301,"Spain","Southwestern Europe","EUROPE","301","Macaca_sylvanus","No"
"NGA",226,"Nigeria","West Tropical Africa","AFRICA","226","Mandrillus_leucophaeus","No"
"CMN",70,"Cameroon","West-Central Tropical Africa","AFRICA","70","Mandrillus_leucophaeus","No"
"GGI",116,"Gulf of Guinea Is.","West-Central Tropical Africa","AFRICA","116","Mandrillus_leucophaeus","No"
"BOR",38,"Borneo","Malesia","ASIA-TROPICAL","37","Nasalis_larvatus","No"
"BOR",38,"Borneo","Malesia","ASIA-TROPICAL","37","Presbytis_chrysomelas","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Rhinopithecus_avunculus","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Rhinopithecus_avunculus","No"
"CHS",63,"China Southeast","China","ASIA-TEMPERATE","62","Rhinopithecus_avunculus","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Rhinopithecus_brelichi","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Rhinopithecus_roxellana","No"
"CHS",63,"China Southeast","China","ASIA-TEMPERATE","62","Rhinopithecus_roxellana","No"
"TAN",315,"Tanzania","East Tropical Africa","AFRICA","315","Rungwecebus_kipunji","No"
"MLW",190,"Malawi","South Tropical Africa","AFRICA","190","Rungwecebus_kipunji","No"
"ZAM",367,"Zambia","South Tropical Africa","AFRICA","367","Rungwecebus_kipunji","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Axis_axis","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Axis_axis","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Axis_axis","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Axis_axis","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Axis_axis","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Axis_axis","No"
"BAN",28,"Bangladesh","Indian Subcontinent","ASIA-TROPICAL","27","Axis_axis","No"
"SRL",302,"Sri Lanka","Indian Subcontinent","ASIA-TROPICAL","302","Axis_axis","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Axis_porcinus","No"
"PAK",254,"Pakistan","Indian Subcontinent","ASIA-TROPICAL","254","Axis_porcinus","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Axis_porcinus","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Axis_porcinus","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Axis_porcinus","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Axis_porcinus","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Axis_porcinus","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Axis_porcinus","No"
"BAN",28,"Bangladesh","Indian Subcontinent","ASIA-TROPICAL","27","Axis_porcinus","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Axis_porcinus","No"
"THA",322,"Thailand","Indo-China","ASIA-TROPICAL","322","Axis_porcinus","No"
"CBD",54,"Cambodia","Indo-China","ASIA-TROPICAL","53","Axis_porcinus","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Axis_porcinus","No"
"LAO",166,"Laos","Indo-China","ASIA-TROPICAL","166","Muntiacus_vuquangensis","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Muntiacus_vuquangensis","No"
"THA",322,"Thailand","Indo-China","ASIA-TROPICAL","322","Muntiacus_vuquangensis","No"
"CBD",54,"Cambodia","Indo-China","ASIA-TROPICAL","53","Muntiacus_vuquangensis","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Rucervus_eldii","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Rucervus_eldii","No"
"CHH",58,"Hainan","China","ASIA-TEMPERATE","57","Rucervus_eldii","No"
"LAO",166,"Laos","Indo-China","ASIA-TROPICAL","166","Rucervus_eldii","No"
"THA",322,"Thailand","Indo-China","ASIA-TROPICAL","322","Rucervus_eldii","No"
"CBD",54,"Cambodia","Indo-China","ASIA-TROPICAL","53","Rucervus_eldii","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Rucervus_eldii","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Allocebus_trichotis","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Cheirogaleus_medius","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Cheirogaleus_major","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_bongolavensis","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_griseorufus","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_jollyae","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_murinus","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_ravelobensis","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_rufus","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Microcebus_tavaratra","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Mirza_coquereli","No"
"MXT",211,"Mexico Southeast","Mexico","NORTHERN AMERICA","211","Handleyomys_rhabdops","No"
"GUA",124,"Guatemala","Central America","SOUTHERN AMERICA","124","Handleyomys_rhabdops","No"
"HON",131,"Honduras","Central America","SOUTHERN AMERICA","131","Handleyomys_rhabdops","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Juliomys_rimofrons","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Oligoryzomys_rupestris","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Oligoryzomys_rupestris","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Oligoryzomys_rupestris","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Wilfredomys_oenax","No"
"URU",NA,NA,"Southern South America","SOUTHERN AMERICA","339","Wilfredomys_oenax","No"
"BZC",45,"Brazil West-Central","Brazil","SOUTHERN AMERICA","44","Dasyprocta_azarae","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Dasyprocta_azarae","No"
"BOL",37,"Bolivia","Western South America","SOUTHERN AMERICA","36","Dasyprocta_azarae","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Dasyprocta_azarae","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Dasyprocta_azarae","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Dasyprocta_azarae","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Dasyprocta_azarae","No"
"URU",NA,NA,"Southern South America","SOUTHERN AMERICA","339","Dasyprocta_azarae","No"
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","2","Chacodelphys_formosa","No"
"PAR",257,"Paraguay","Southern South America","SOUTHERN AMERICA","257","Chacodelphys_formosa","No"
"BZS",49,"Brazil South","Brazil","SOUTHERN AMERICA","48","Chacodelphys_formosa","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Gracilinanus_emiliae","No"
"GUY",126,"Guyana","Northern South America","SOUTHERN AMERICA","126","Gracilinanus_emiliae","No"
"FRG",110,"French Guiana","Northern South America","SOUTHERN AMERICA","110","Gracilinanus_emiliae","No"
"SUR",308,"Surinam","Northern South America","SOUTHERN AMERICA","308","Gracilinanus_emiliae","No"
"BZN",48,"Brazil North","Brazil","SOUTHERN AMERICA","47","Gracilinanus_emiliae","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Gracilinanus_emiliae","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Gracilinanus_emiliae","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Marmosops_handleyi","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Pattonomys_occasius","No"
"ECU",97,"Ecuador","Western South America","SOUTHERN AMERICA","97","Pattonomys_occasius","No"
"PER",260,"Peru","Western South America","SOUTHERN AMERICA","260","Pattonomys_occasius","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Phyllomys_brasiliensis","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Trinomys_eliasi","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Elephas_maximus","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Elephas_maximus","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Elephas_maximus","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Elephas_maximus","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Elephas_maximus","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Elephas_maximus","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Elephas_maximus","No"
"BAN",28,"Bangladesh","Indian Subcontinent","ASIA-TROPICAL","27","Elephas_maximus","No"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Elephas_maximus","No"
"LAO",166,"Laos","Indo-China","ASIA-TROPICAL","166","Elephas_maximus","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Elephas_maximus","No"
"THA",322,"Thailand","Indo-China","ASIA-TROPICAL","322","Elephas_maximus","No"
"CBD",54,"Cambodia","Indo-China","ASIA-TROPICAL","53","Elephas_maximus","No"
"SRL",302,"Sri Lanka","Indian Subcontinent","ASIA-TROPICAL","302","Elephas_maximus","No"
"MLY",191,"Malaya","Malesia","ASIA-TROPICAL","191","Elephas_maximus","No"
"SUM",307,"Sumatera","Malesia","ASIA-TROPICAL","307","Elephas_maximus","No"
"BOR",38,"Borneo","Malesia","ASIA-TROPICAL","37","Elephas_maximus","No"
"JAW",147,"Jawa","Malesia","ASIA-TROPICAL","147","Elephas_maximus","No"
"MLI",189,"Mali","West Tropical Africa","AFRICA","189","Loxodonta_africana","No"
"BKN",33,"Burkina","West Tropical Africa","AFRICA","32","Loxodonta_africana","No"
"ERI",102,"Eritrea","Northeast Tropical Africa","AFRICA","102","Loxodonta_africana","No"
"SUD",305,"Sudan","Northeast Tropical Africa","AFRICA","305","Loxodonta_africana","No"
"ETH",103,"Ethiopia","Northeast Tropical Africa","AFRICA","103","Loxodonta_africana","No"
"CHA",56,"Chad","Northeast Tropical Africa","AFRICA","55","Loxodonta_africana","No"
"NGA",226,"Nigeria","West Tropical Africa","AFRICA","226","Loxodonta_africana","No"
"NGR",227,"Niger","West Tropical Africa","AFRICA","227","Loxodonta_africana","No"
"CMN",70,"Cameroon","West-Central Tropical Africa","AFRICA","70","Loxodonta_africana","No"
"GNB",119,"Guinea-Bissau","West Tropical Africa","AFRICA","119","Loxodonta_africana","No"
"GUI",125,"Guinea","West Tropical Africa","AFRICA","125","Loxodonta_africana","No"
"SEN",291,"Senegal","West Tropical Africa","AFRICA","291","Loxodonta_africana","No"
"BEN",29,"Benin","West Tropical Africa","AFRICA","28","Loxodonta_africana","No"
"GHA",117,"Ghana","West Tropical Africa","AFRICA","117","Loxodonta_africana","No"
"TOG",324,"Togo","West Tropical Africa","AFRICA","324","Loxodonta_africana","No"
"SIE",295,"Sierra Leone","West Tropical Africa","AFRICA","295","Loxodonta_africana","No"
"IVO",144,"Ivory Coast","West Tropical Africa","AFRICA","144","Loxodonta_africana","No"
"CAF",51,"Central African Republic","West-Central Tropical Africa","AFRICA","50","Loxodonta_africana","No"
"LBR",167,"Liberia","West Tropical Africa","AFRICA","167","Loxodonta_africana","No"
"ZAI",366,"Zaïre","West-Central Tropical Africa","AFRICA","366","Loxodonta_africana","No"
"KEN",153,"Kenya","East Tropical Africa","AFRICA","153","Loxodonta_africana","No"
"UGA",337,"Uganda","East Tropical Africa","AFRICA","337","Loxodonta_africana","No"
"CON",75,"Congo","West-Central Tropical Africa","AFRICA","75","Loxodonta_africana","No"
"EQG",101,"Equatorial Guinea","West-Central Tropical Africa","AFRICA","101","Loxodonta_africana","No"
"GAB",111,"Gabon","West-Central Tropical Africa","AFRICA","111","Loxodonta_africana","No"
"SOM",300,"Somalia","Northeast Tropical Africa","AFRICA","300","Loxodonta_africana","No"
"RWA",279,"Rwanda","West-Central Tropical Africa","AFRICA","279","Loxodonta_africana","No"
"TAN",315,"Tanzania","East Tropical Africa","AFRICA","315","Loxodonta_africana","No"
"BUR",44,"Burundi","West-Central Tropical Africa","AFRICA","43","Loxodonta_africana","No"
"CAB",50,"Cabinda","West-Central Tropical Africa","AFRICA","49","Loxodonta_africana","No"
"ANG",14,"Angola","South Tropical Africa","AFRICA","13","Loxodonta_africana","No"
"ZAM",367,"Zambia","South Tropical Africa","AFRICA","367","Loxodonta_africana","No"
"MLW",190,"Malawi","South Tropical Africa","AFRICA","190","Loxodonta_africana","No"
"MOZ",196,"Mozambique","South Tropical Africa","AFRICA","196","Loxodonta_africana","No"
"ZIM",368,"Zimbabwe","South Tropical Africa","AFRICA","368","Loxodonta_africana","No"
"NAM",213,"Namibia","Southern Africa","AFRICA","213","Loxodonta_africana","No"
"CPV",81,"Caprivi Strip","Southern Africa","AFRICA","81","Loxodonta_africana","No"
"BOT",39,"Botswana","Southern Africa","AFRICA","38","Loxodonta_africana","No"
"TVL",335,"Northern Provinces","Southern Africa","AFRICA","335","Loxodonta_africana","No"
"SWZ",313,"Swaziland","Southern Africa","AFRICA","313","Loxodonta_africana","No"
"NAT",214,"KwaZulu-Natal","Southern Africa","AFRICA","214","Loxodonta_africana","No"
"CPP",80,"Cape Provinces","Southern Africa","AFRICA","80","Loxodonta_africana","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Coendou_vestitus","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Galidia_elegans","No"
"MDG",184,"Madagascar","Western Indian Ocean","AFRICA","184","Salanoia_concolor","No"
"TAN",315,"Tanzania","East Tropical Africa","AFRICA","315","Galagoides_rondoensis","No"
"MOZ",196,"Mozambique","South Tropical Africa","AFRICA","196","Galagoides_rondoensis","No"
