"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"1","AGE",1,-32.60227282,-61.25823213,0,3.31643080168844,2.16175696393064,24021.9531244847,423667.20374837,2760957.63727251,98.18,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354,9.04206,0.069740994,"Americas",1.4189,1.0593
"2","ALA",2,32.79389912,-86.82906784,0,2.04242106606891,3.22461899601166,19483.0460285502,816912.630769231,7457044.50523858,98.95,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366,19.1693,0.462899074,"Americas",1.25165,1.11435
"3","AND",3,12.27981668,92.78133014,0,2.5,1.98461329191714,10969.6724349857,0,10969.6724349857,0,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068,17.4901,0.019305754,"Asia",1.2664,1.202
"4","ANG",4,-12.33575541,17.57181621,1,8.06740317699427,1.4784885147357,77839.95628211,5096.20270833333,108593.853417217,7.49,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561,10.0415,0.123677447,"Africa",1.2782,1.0912
"5","ASS",5,25.48271994,92.85194347,0,6.04642388094687,1.68093842560827,95829.4756953663,106605.053410553,1565105.95897347,56.4,227.327178352141,3857.8038177803,84.6117826804942,2675.3077190511,28.9115,0.479153934,"Asia",1.2732,1.18975
"6","BAH",6,24.1666829,-76.5004385,0,1.33930078910471,1.85808209762178,540.314592648854,0,540.314592648854,0,256.61868810152,2127.44721158205,53.5567493768215,1065.47525652682,16.0766,0.224166324,"Americas",1.4723,1.11335
"7","BAN",7,23.8330072,90.27092576,0,5.34805187862534,1.78216338104456,94277.4796746688,80368.3487684729,1458534.30649873,47.08,253.650111228762,3727.88564478602,91.0644844270871,2407.00770735857,20.1772,0.116903381,"Asia",1.2798,1.1874
"8","BEN",8,9.647649967,2.343262705,1,12.9747724684509,1.14950740956776,70741.1103144473,11323.2187337662,74880.4317595605,11.38,270.41670697631,1847.52888476326,90.679546990936,1079.54822054883,3.68083,0.036711446,"Africa",1.291,1.1341
"9","BIS",9,-4.936891376,150.6265362,0,5.30270240807009,2.89563789084373,4019.96753350336,-0.892592592592678,4019.96753350336,-0.11,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298,23.1695,0.541679884,"Asia",1.3151,0.9538
"10","BKN",10,12.27793715,-1.739835211,1,14.0287267173393,0.972363737554256,75854.2213014612,213830.505718954,1190671.72863331,60.27,283.32903146042,2484.15419893871,115.584520888626,773.936797670944,2.03509,0.01089305,"Africa",1.28,1.1362
"11","BLZ",11,17.21852829,-88.68278545,0,4.28467596924609,2.18706320278971,9727.74125747406,366257.399415205,1e+06,98.07,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166,20.5542,0.811592036,"Americas",1.375,1.152
"12","BOL",12,-16.71510989,-64.67054847,0,7.60799408303112,2.33890063594414,13900.2341273668,233772.046221562,1615155.803517,98.33,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683,17.5065,0.404208085,"Americas",1.33675,1.20275
"13","BOR",13,0.867901314,114.2000407,0,4.71849375432879,2.08583824735342,15925.8,281.960726072604,44074.2943853254,0.59,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762,17.9902,0.918963442,"Asia",1.30645,1.0079
"14","BUR",14,-3.356297118,29.88682139,1,10.2598483986732,0.921751259836112,72373.2055050031,3887.6439576312,95087.1904888756,4.6,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036,15.2743,0.051225817,"Africa",1.1932,1.1182
"15","BZC",15,-15.29798685,-54.29443591,0,6.78748186266905,1.42787603701755,7863.04663173767,213581.726278024,1175537.86478312,98.39,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064,16.0749,0.209899662,"Americas",1.396,1.1482
"16","BZE",16,-8.635173197,-41.72952595,0,9,1.17481364842683,11310.5402994425,208627.931760123,1143251.84709815,98.19,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055,14.0524,0.089053627,"Americas",1.3616,1.2108
"17","BZL",17,-19.72534419,-45.48097446,0,8.56182225465505,0.947057498695184,15259.4671185544,213742.890538194,1277970.28287323,98.2,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487,20.0023,0.068642144,"Americas",1.3825,1.1725
"18","BZN",18,-4.63062382,-59.25073898,0,7.5,1.98461329191714,6770.89667047173,108530.701433546,150000,97.66,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801,17.3043,0.816585191,"Americas",1.34325,1.23025
"19","BZS",19,-27.56813717,-52.26178711,0,5.5,2.79441293540744,23023.6501246001,358449.396485334,2535142.60156185,98.22,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188,23.4013,0.236725923,"Americas",1.3836,1.1206
"20","CAB",20,-5.041229577,12.46228731,1,7.97700711185106,1.73155090332642,71867.0516149728,-1560.24703977798,71741.0672172266,-1.5,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073,17.7889,0.788158274,"Africa",1.262,0.9788
"21","CAF",21,6.571453422,20.48278081,1,11.6596998943569,1.68093842560827,83889.7722346596,9067.24337025316,83889.7722346596,10.83,248.802501209612,1414.88447624558,77.3803831526867,1366.95275192841,18.2812,0.105557872,"Africa",1.2817,1.1134
