"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"106","SRL",106,7.612362427,80.70426262,0,8.63543920761704,0.921751259836112,329625.605986224,-2318.39160919542,298697.307646588,-1.62,266.779135036025,975.937489718838,63.1968610834732,1675.03927313851,14.7007,0.54279599,"Asia",1.2406,1.1028
"107","SUD",107,13.83173564,30.05016106,1,10.0907569830446,0.26378904950024,91197.7972783135,107028.136525408,373691.619229761,54.01,268.578210132555,3567.29650222322,149.223464220963,405.722378909461,3.60079,0.006277835,"Africa",1.27125,1.10825
"108","SUL",108,-2.104047614,121.2948397,0,5,1.78216338104456,34061.4413460288,2446.74752252252,62595.4910310566,29.07,238.176978493013,351.370822187696,35.1826200855067,2379.17841369714,25.8299,0.664947847,"Asia",1.268,1.059
"109","SUM",109,-0.47758812,101.6400768,0,6.07247263424868,1.4784885147357,55345.6286464324,39049.3047042735,98213.7216148499,46.56,249.649951474425,344.389770173868,29.394294062303,2722.05011221189,16.6652,0.802232367,"Asia",1.29325,1.0332
"110","SUR",110,4.12671321,-55.91158124,0,7.07408102758383,1.78216338104456,8400.79704829687,160719.681870968,595230.818522302,97.43,255.354709405784,685.662688980419,48.9087696562307,2227.48736640369,21.2492,0.914580324,"Americas",1.3198,1.239
"111","TAI",111,23.74831791,120.9593907,0,2.66982181006874,1.57971347017198,24572.644610446,0,24572.644610446,0,192.347666436121,4132.25323436788,65.5422205445987,2338.98049397801,27.7962,0.60599252,"Asia",1.27225,1.104
"112","TAN",112,-6.270199047,34.82340201,1,10.4538512927047,0.567463915809104,70498.5269356034,12747.3318445564,76840.6745800636,19.76,221.85599944799,1349.68220232587,85.6396579789859,1004.85228214944,19.3467,0.020392334,"Africa",1.2152,1.0984
"113","TCI",113,21.80869292,-71.88207917,0,1.36079856555073,1.4784885147357,35.8,0,35.8,0,264.803502142429,1502.54038286209,37.846987016499,699.5390625,11.6179,0.258167841,"Americas",1.419,1.1192
"114","THA",114,15.11989876,101.0149078,0,7,1.8327758587627,46500,32768.9818181818,192669.580894438,39.72,261.870312056109,1725.34067233026,79.9374899804478,1559.10535533763,22.7186,0.300952614,"Asia",1.30975,1.0675
"115","TOG",115,8.534910374,0.975845964,1,10.695614747796,1.32665108158126,70493.3065078794,10985.1318209316,73919.1433818093,11.42,265.532397488304,1563.47674118266,75.2919664676605,1194.76844877847,8.32626,0.006828445,"Africa",1.2462,1.1356
"116","TRT",116,10.46836429,-61.25263722,0,5,2.23767568050786,4050.97472125068,0,4050.97472125068,0,263.026985808839,555.503641196236,46.7337241728633,1935.06442388562,13.1546,0.739748435,"Americas",1.294,1.241
"117","TVL",117,-25.26571446,28.07825549,1,10.9456375416165,0.744607587822608,128365.208487347,18800.6409803922,206757.828289188,14.74,186.653649778246,4118.21232754113,78.2098432115537,594.179527591761,10.0002,0.069633357,"Africa",1.0722,1.11865
"118","UGA",118,1.280084629,32.38622999,1,10.6696764602335,1.2001198872859,71741.0672172266,18365.2251767574,115869.15976779,25.26,222.12042790636,793.405182174877,45.1686943900489,1216.282343225,9.69847,0.186152673,"Africa",1.284,1.11325
"119","URU",119,-32.79956992,-56.01217362,0,3.40838093159667,2.79441293540744,24427.2593436179,717223.546153846,4027010.19202543,99.02,175.139435028138,4483.23974518745,15.143729923218,1197.52819283959,NA,NA,"Americas",1.4416,0.9773
"120","VAN",120,-16.20215409,167.7055728,0,9.12247713288892,3.12339404057538,381.929586784862,0,381.929586784862,0,242.679874147576,1077.17828444064,34.0592380763572,2709.01735015773,39.5401,0.088628872,"Pacific",1.4435,0.98375
"121","VEN",121,7.118821943,-66.16904042,0,6.15982555280984,2.4654318302395,10606.5427920694,105844.093448511,204467.359771733,96.21,249.509431986242,686.522194703304,59.8562921086902,1935.40648225012,17.1371,0.475442043,"Americas",1.334,1.20605
"122","VIE",122,16.65160342,106.3040353,0,3.5,2.44012559138043,50889.3535842406,68565.2753818251,676451.394085476,51.9,236.88633087244,2756.00618204029,78.3989227683661,1923.58321330991,23.6497,0.557146005,"Asia",1.3062,1.0882
"123","VNA",123,NA,NA,0,3.4752023541983,0.719301348963536,98522.6431891089,683529.592592593,3854810.51738151,95.89,268.924920614786,703.873945055114,51.6706481350336,524.488902589396,NA,NA,"Americas",1.3365,1.12025
"124","WAU",124,-25.46606876,122.1782045,0,2.74620084168858,3.45237514574331,1777.16854006395,126147.213596491,157797.338380595,99.59,230.009074667085,5079.52143284063,64.4242081699754,357.24148950621,11.3343,0.005902793,"Pacific",1.3578,0.9944
"125","WHM",125,33.32159715,76.67319106,0,2.4074907185044,2.08583824735342,175820.881917544,120139.92565095,1711303.12324026,51.08,19.7208797051139,7458.29189295637,66.6648143411374,847.957978702637,36.1903,0.15525362,"Asia",1.2125,1.18
"126","WIN",126,14.09525608,-60.99587035,0,5.04975246918104,1.4784885147357,59.1418716099164,5.8875,58.9503582008703,15.25,257.676033288287,808.561639219756,40.4507033891667,2176.45778275476,10.7318,0.332205136,"Americas",1.32,1.177
"127","YEM",127,15.83691546,47.56879416,0,5.7326567532262,1.27603860386312,22773.5873893421,73378.8515151515,60477.5765883521,91.32,255.744150116863,4093.09328732671,95.4652516542767,119.418191767496,1.37013,0.000101866,"Asia",1.24525,1.174
"128","ZAI",128,-2.876225764,23.65445822,1,11.6477720303764,1.32665108158126,71114.4502934975,13388.6438460281,102897.525277232,24.54,229.284129245656,775.979618472594,52.0239648559464,1620.25235716949,16.6613,0.593442003,"Africa",1.29,1.0785
"129","ZAM",129,-13.45307543,27.79788004,1,10.6696764602335,1.6556321867492,83102.4525376083,16120.3427300151,101235.536455816,18.52,214.283017659887,2445.04233209106,109.933631735003,1015.57997509935,8.9469,0.046341718,"Africa",1.284,1.10575
"130","ZIM",130,-19.00000577,29.87175983,1,11.1831267863607,1.37726355929941,121495.106917141,19771.7042684813,197697.663199367,15.89,208.358455884197,3141.88073534867,103.467393881246,680.780190474609,8.0813,0.01414941,"Africa",1.2015,1.11865
