SpecName;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;FruitColorDescription;MainFruitColors;Conspicuousness;MDG;Africa;Asia;America;Pacific;accRealm;accAfrica;moist0_dry1
Phoenix_rupicola;rupicola;Phoeniceae;Coryphoideae;0;0;1;1;0;1;6.1;25;canopy;NA;3.1;NA;NA;1.9;NA;NA;0.8;NA;NA;small;NA;reddish-brown;brown;cryptic;0;0;1;0;0;ASIA;0;1
Phoenix_sylvestris;sylvestris;Phoeniceae;Coryphoideae;0;0;1;1;0;1;20;100;canopy;50;4;3.5;0.55;2.5;1.5;2.5;1.2;NA;NA;small;globose;orange-yellow;"orange;_yellow";conspicuous;0;0;1;0;0;ASIA;0;1
Phoenix_theophrasti;theophrasti;Phoeniceae;Coryphoideae;0;0;1;0;0;1;17;50;canopy;NA;4;3.5;0.55;1.5;NA;NA;1;NA;NA;small;ovoid;green-yellow_to_brown;"green;_brown";cryptic;0;0;1;0;0;ASIA;0;1
Pholidocarpus_ihur;ihur;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;30;40;canopy;25;1.3;NA;2.75;4;NA;NA;3.5;NA;NA;large;ovoid;dull_brown;brown;cryptic;0;0;1;0;0;ASIA;0;0
Pholidocarpus_kingianus;kingianus;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;1.15;8;NA;NA;5.5;NA;NA;large;globose;NA;NA;NA;0;0;1;0;0;ASIA;0;0
Pholidocarpus_macrocarpus;macrocarpus;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;40;40;canopy;50;1.1;1;2.75;11.5;10;13;11;10;12;large;globose;dull_or_dusty_brown;brown;cryptic;0;0;1;0;0;ASIA;0;0
Pholidocarpus_majadum;majadum;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;15;30;canopy;NA;1;NA;2.4;7.75;4.5;11;7.5;4;11;large;NA;"warty;_corky;_brown";brown;cryptic;0;0;1;0;0;ASIA;0;0
Pholidocarpus_mucronatus;mucronatus;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pholidocarpus_sumatranus;sumatranus;Trachycarpeae;Coryphoideae;0;0;1;1;0;1;15;NA;canopy;NA;1;1;2.75;7.5;NA;NA;7.5;NA;NA;large;ovoid;corky_brown;brown;cryptic;0;0;1;0;0;ASIA;0;0
Pholidostachys_amazonensis;amazonensis;Geonomateae;Arecoideae;0;0;1;1;0;0;NA;NA;NA;NA;NA;0.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Pholidostachys_dactyloides;dactyloides;Geonomateae;Arecoideae;0;0;1;1;0;0;10;12;canopy;25;3.53;2.31;1.27;1.215;0.8;1.63;0.792692308;0.58;1.15;small;NA;yellow_to_orange;"yellow;_orange";conspicuous;0;0;0;1;0;AMERICAS;0;0
Pholidostachys_kalbreyeri;kalbreyeri;Geonomateae;Arecoideae;0;0;1;1;0;0;6.6;12;canopy;23;2.8;1.6;1.25;2.23;1.15;2.92;1.11;0.66;1.46;small;elongate;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
Pholidostachys_occidentalis;occidentalis;Geonomateae;Arecoideae;0;0;1;1;0;0;11;15;canopy;20;NA;2.34;0.6;1.7;1.62;1.8;0.93;0.85;0.98;small;NA;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;0
