"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_27"	"OUMA"	16095.161270283	-32180.3225405661	-32180.2896998436	-32152.7539943269	5	1.4e+07	1e+05	-190	1.25594218007221e-09	0.23640943268387	1e-09	1e-09	396433.668025857	0	-130.971163685592	1.35353407925177
"ouwie_Afr_BM_28"	"OUMA"	47177.5153668866	-94345.0307337731	-94344.9978930506	-94317.4621875339	5	3.6e+08	2e+07	-2900000	0.0461584835174978	0.25393963308655	1e-09	1e-09	9722150.51728137	381068.16502572	6.72824121393773	0.00132453001674938
"ouwie_Afr_BM_29"	"OUMA"	45115.8383754907	-90221.6767509815	-90221.643910259	-90194.1082047423	5	7.8e+08	5.8e+08	50000	4.56064939185033e-05	0.798732461128694	1.00001607559438e-09	1.00001607559438e-09	18332.7200056662	0	-0.692409726754726	1.65702137676528e+25
"ouwie_Afr_BM_3"	"OUMA"	23296.9260865077	-46583.8521730154	-46583.8193322929	-46556.2836267762	5	5.8e+09	7.3e+07	1100	3.41064956436638	1.18722623567952	1e-09	1e-09	2.79647806431018	8.69291023067353e+53	1.77277311799975e-25	1.81890120534992e+29
"ouwie_Afr_BM_30"	"OUMA"	14737.4461467959	-29464.8922935919	-29464.8594528694	-29437.3237473527	5	160000	37000	-7.3e+07	0.00036050454469183	0.189614141117989	1e-09	1e-09	139136282.184354	0	-8.6852967720823	0.250341576935951
"ouwie_Afr_BM_31"	"OUM"	-1273.84111030019	2555.68222060039	2555.70410243846	2577.73705759174	4	950	44	0	0.0187017948208786	0.0187017948208786	0.0410483173674215	0.0410483173674215	0.368948821178041	0.19506153137507	-0.277019063810815	0.419692405416474
"ouwie_Afr_BM_31"	"OUMV"	-1273.23956994896	2556.47913989792	2556.51198062042	2584.04768613712	5	910	48	25	0.0184563189514567	0.0184563189514567	0.0412335702116624	0.0330936152260686	0.378051719192876	0.198269345670352	-0.285668662823824	0.400314712418418
"ouwie_Afr_BM_31"	"OUMVA"	-1272.4983954394	2556.9967908788	2557.04279306938	2590.07904636584	6	910	48	25	0.0177490333673642	0.0220068618708611	0.040996633822907	0.0206889794980348	0.39561165395599	0.206226877668413	-0.123906584312008	0.293288695503693
"ouwie_Afr_BM_31"	"OUMA"	14594.4343357528	-29178.8686715055	-29178.835830783	-29151.3001252663	5	710000	20000	-4600	5.55091355398881e-05	0.2159367698234	1e-09	1e-09	-293774.861822572	4673.93761333502	-1.80558460531483	0
"ouwie_Afr_BM_32"	"OUMA"	17769.7128000853	-35529.4256001705	-35529.392759448	-35501.8570539313	5	2.1e+09	39000	-2.1e+09	1.09753696814404e-09	0.308866572473511	1e-09	1e-09	3.40966723092078e-15	1.03485189385778e-11	0.307825610653504	933.188677608083
"ouwie_Afr_BM_33"	"OUMA"	29168.8428794755	-58327.685758951	-58327.6529182285	-58300.1172127118	5	1e+08	980000	9200	9.68169265955667e-09	0.211970344964149	1e-09	1e-09	-6448676.37695432	24274.4258265494	4.44776269213604	0.101084781300342
"ouwie_Afr_BM_34"	"OUMA"	40265.2393155551	-80520.4786311102	-80520.4457903877	-80492.910084871	5	8500000	11000	-7e+07	3.34250307416238e-05	0.39816080778676	1.01435229537168e-09	1.01435229537168e-09	4.55253225796167e-07	0	1.92547686611881	149161392.521147
"ouwie_Afr_BM_35"	"OUMA"	23030.4973295329	-46050.9946590658	-46050.9618183433	-46023.4261128266	5	6.1e+09	7e+06	1000	3.30450799648357	1.58629368037923	1e-09	1e-09	2.93602867600679	1.61763630997698e+43	-2.5201422256991e-44	0
"ouwie_Afr_BM_36"	"OUM"	-1352.3740296645	2712.748059329	2712.76994116708	2734.80289632036	4	930	23	0	0.0133314302675832	0.0133314302675832	0.0464533743271576	0.0464533743271576	0.715337834203216	0.337602556875459	-0.725306475326222	0.852068217799697
"ouwie_Afr_BM_36"	"OUMV"	-1352.37389174661	2714.74778349322	2714.78062421571	2742.31632973241	5	890	33	20	0.0133293401499894	0.0133293401499894	0.0464561225706635	0.0463141404052263	0.715451371456165	0.337659617718251	-0.726281780755097	0.851537543254694
"ouwie_Afr_BM_36"	"OUMVA"	-1352.28960274289	2716.57920548578	2716.62520767636	2749.66146097282	6	890	33	20	0.0130550853467771	0.0150450697010734	0.0463596614951269	0.0353881428793039	0.718439491655567	0.344020253941393	-0.499529941815538	0.690209830604081
"ouwie_Afr_BM_36"	"OUMA"	23379.7710133138	-46749.5420266276	-46749.5091859051	-46721.9734803884	5	1.4e+07	1400	-5.8e+08	3.15198813165897	1.63159254175014	1e-09	1e-09	-0.180601651884138	2.89936972682787e+31	-1.08411017949842e-19	0
"ouwie_Afr_BM_37"	"OUM"	-1357.81424903154	2723.62849806309	2723.65037990116	2745.68333505445	4	940	42	0	0.0181251934129682	0.0181251934129682	0.0469801616402671	0.0469801616402671	1.67186401732667	0.222225160761846	-0.175018046731737	0.532286914030861
"ouwie_Afr_BM_37"	"OUMV"	-1357.74978618479	2725.49957236958	2725.53241309207	2753.06811860878	5	910	46	26	0.0182180546613802	0.0182180546613802	0.046898388414809	0.05022370480733	1.67365675858134	0.220806405004253	-0.168237088898174	0.540069489225198
"ouwie_Afr_BM_37"	"OUMVA"	-1355.9213775487	2723.8427550974	2723.88875728798	2756.92501058443	6	910	46	26	0.0190946408067701	0.0142653848653168	0.0466959894323614	0.0848754899780233	1.68849216717979	0.208610891982613	-0.920522375701435	0.847693178285647
"ouwie_Afr_BM_37"	"OUMA"	24431.9290553101	-48853.8581106202	-48853.8252698977	-48826.289564381	5	1.1e+09	1700000	6300	2.47724053326258e-06	0.358058691860724	1.03699011204433e-09	1.03699011204433e-09	-2.89923657940947e-08	0	0.959759379748837	442793.141295486
"ouwie_Afr_BM_38"	"OUMA"	45418.6305882696	-90827.2611765392	-90827.2283358167	-90799.6926303	5	1.7e+09	1.4e+09	73000	4.01766589254945e-05	0.833470023551763	1.00009825615396e-09	1.00009825615396e-09	-3151846.57471571	2.88848825748448e+34	-0.280021497589844	8.15554669305091e+26
