"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"(Intercept)15","(Intercept)",TRUE,0.0265,0.585,0.398389696040416,0.348255504043784,26
"normalized((sqrt_change))11","normalized((sqrt_change))",TRUE,0,0.642,0.398389696040416,0.348255504043784,26
"normalized(sqrt(TempSeas))14","normalized(sqrt(TempSeas))",TRUE,0,-0.837,0.398389696040416,0.348255504043784,26
"normalized(sqrt(AnnualPrec))8","normalized(sqrt(AnnualPrec))",TRUE,0.0013,0.632,0.398389696040416,0.348255504043784,26
"normalized(sqrt(PrecSeas))8","normalized(sqrt(PrecSeas))",TRUE,0.0385,0.414,0.184263520917899,0.116285480994391,27
"normalized(sqrt(PrecSeas))9","normalized(sqrt(PrecSeas))",TRUE,0.012,0.537,0.210697120588489,0.14492188063753,28
"factor(accAfrica)14","factor(accAfrica)1",TRUE,0,-0.624,0.703843836324754,0.679164156018484,29
"normalized((sqrt_change))12","normalized((sqrt_change))",TRUE,0.0302,-0.194,0.703843836324754,0.679164156018484,29
"normalized(sqrt(curr_max95BodySize))10","normalized(sqrt(curr_max95BodySize))",TRUE,0.0048,0.309,0.703843836324754,0.679164156018484,29
"normalized(sqrt(AnnualPrec))9","normalized(sqrt(AnnualPrec))",TRUE,0.0298,0.288,0.703843836324754,0.679164156018484,29
"(Intercept)16","(Intercept)",TRUE,0,0.942,0.462640931031349,0.417861008617295,30
"normalized((sqrt_change))13","normalized((sqrt_change))",TRUE,0.0069,0.274,0.462640931031349,0.417861008617295,30
"normalized(sqrt(curr_max95BodySize))11","normalized(sqrt(curr_max95BodySize))",TRUE,0.0397,-0.253,0.462640931031349,0.417861008617295,30
"normalized(sqrt(TempSeas))15","normalized(sqrt(TempSeas))",TRUE,0,-0.716,0.462640931031349,0.417861008617295,30
"normalized(sqrt(AnnualPrec))10","normalized(sqrt(AnnualPrec))",TRUE,0.0324,0.32,0.462640931031349,0.417861008617295,30
"(Intercept)17","(Intercept)",TRUE,0,1.007,0.358311467893385,0.304837423551167,31
"normalized(sqrt(CH_Mean))1","normalized(sqrt(CH_Mean))",TRUE,0.0149,-0.481,0.358311467893385,0.304837423551167,31
"normalized((sqrt_change))14","normalized((sqrt_change))",TRUE,0,0.461,0.358311467893385,0.304837423551167,31
"normalized(sqrt(TempSeas))16","normalized(sqrt(TempSeas))",TRUE,0.001,-0.468,0.358311467893385,0.304837423551167,31
"normalized(sqrt(PrecSeas))10","normalized(sqrt(PrecSeas))",TRUE,0.0032,0.563,0.284568581309782,0.22494929641893,32
"normalized((sqrt_change))15","normalized((sqrt_change))",TRUE,0.0035,0.349,0.489433700651694,0.446886509039335,33
"normalized(sqrt(AnnualPrec))11","normalized(sqrt(AnnualPrec))",TRUE,0.0023,0.543,0.489433700651694,0.446886509039335,33
"factor(accAfrica)1:normalized(sqrt(CH_Mean))6","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0335,0.646,0.489433700651694,0.446886509039335,33
"normalized((sqrt_change))16","normalized((sqrt_change))",TRUE,0.0027,0.382,0.263170694528489,0.201768252405863,34
"normalized(sqrt(curr_max95BodySize))12","normalized(sqrt(curr_max95BodySize))",TRUE,0,-0.647,0.263170694528489,0.201768252405863,34
"(Intercept)18","(Intercept)",TRUE,0.0055,-0.659,0.465527543045979,0.420988171633144,35
"factor(accAfrica)15","factor(accAfrica)1",TRUE,0.0231,0.408,0.465527543045979,0.420988171633144,35
"normalized(sqrt(TempSeas))17","normalized(sqrt(TempSeas))",TRUE,0.0087,0.405,0.465527543045979,0.420988171633144,35
"normalized(sqrt(AnnualPrec))12","normalized(sqrt(AnnualPrec))",TRUE,0.0387,0.358,0.465527543045979,0.420988171633144,35
"normalized(sqrt(PrecSeas))11","normalized(sqrt(PrecSeas))",TRUE,2e-04,0.808,0.465527543045979,0.420988171633144,35
