"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"normalized(sqrt(AnnualPrec))23","normalized(sqrt(AnnualPrec))",TRUE,0,0.636,0.462984606335152,0.418233323529748,76
"factor(accAfrica)114","factor(accAfrica)1",TRUE,1e-04,-0.601,0.389081822001878,0.338171973835368,77
"normalized(sqrt(curr_max95BodySize))28","normalized(sqrt(curr_max95BodySize))",TRUE,0.0013,0.387,0.389081822001878,0.338171973835368,77
"normalized(sqrt(PrecSeas))25","normalized(sqrt(PrecSeas))",TRUE,0.0049,0.506,0.389081822001878,0.338171973835368,77
"factor(accAfrica)1:normalized(sqrt(CH_Mean))11","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0279,0.548,0.389081822001878,0.338171973835368,77
"(Intercept)42","(Intercept)",TRUE,1e-04,0.794,0.375701886831425,0.323677044067377,78
"normalized(sqrt(TempSeas))35","normalized(sqrt(TempSeas))",TRUE,0,-0.556,0.375701886831425,0.323677044067377,78
"normalized(sqrt(AnnualPrec))24","normalized(sqrt(AnnualPrec))",TRUE,0.001,0.494,0.375701886831425,0.323677044067377,78
"factor(accAfrica)1:normalized(sqrt(CH_Mean))12","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0267,-0.567,0.375701886831425,0.323677044067377,78
"(Intercept)43","(Intercept)",TRUE,0.0192,-0.459,0.545854924486078,0.508009501526585,79
"normalized((sqrt_change))42","normalized((sqrt_change))",TRUE,6e-04,-0.336,0.545854924486078,0.508009501526585,79
"normalized(sqrt(curr_max95BodySize))29","normalized(sqrt(curr_max95BodySize))",TRUE,0,0.511,0.545854924486078,0.508009501526585,79
"normalized(I(MAT^2))13","normalized(I(MAT^2))",TRUE,0.0068,0.391,0.545854924486078,0.508009501526585,79
"normalized(sqrt(TempSeas))36","normalized(sqrt(TempSeas))",TRUE,6e-04,0.446,0.545854924486078,0.508009501526585,79
"normalized(sqrt(PrecSeas))26","normalized(sqrt(PrecSeas))",TRUE,0,0.88,0.545854924486078,0.508009501526585,79
"normalized((sqrt_change))43","normalized((sqrt_change))",TRUE,0.0149,0.246,0.400985875628704,0.351068031931096,80
"normalized(I(MAT^2))14","normalized(I(MAT^2))",TRUE,0.0144,0.367,0.400985875628704,0.351068031931096,80
"normalized(sqrt(PrecSeas))27","normalized(sqrt(PrecSeas))",TRUE,2e-04,0.694,0.400985875628704,0.351068031931096,80
"(Intercept)44","(Intercept)",TRUE,0,0.848,0.527708927110358,0.488351337702888,81
"normalized(sqrt(CH_Mean))7","normalized(sqrt(CH_Mean))",TRUE,1e-04,-0.746,0.527708927110358,0.488351337702888,81
"normalized(sqrt(TempSeas))37","normalized(sqrt(TempSeas))",TRUE,0.0149,-0.314,0.527708927110358,0.488351337702888,81
"normalized(sqrt(AnnualPrec))25","normalized(sqrt(AnnualPrec))",TRUE,3e-04,0.531,0.527708927110358,0.488351337702888,81
"factor(accAfrica)1:normalized(sqrt(CH_Mean))13","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0075,0.675,0.527708927110358,0.488351337702888,81
"normalized(sqrt(curr_max95BodySize))30","normalized(sqrt(curr_max95BodySize))",TRUE,0.0028,0.443,0.178851737486924,0.110422715610834,82
"factor(accAfrica)115","factor(accAfrica)1",TRUE,0,-0.638,0.597304009363011,0.563746010143262,83
"normalized(sqrt(curr_max95BodySize))31","normalized(sqrt(curr_max95BodySize))",TRUE,0,0.589,0.597304009363011,0.563746010143262,83
"normalized(sqrt(TempSeas))38","normalized(sqrt(TempSeas))",TRUE,4e-04,-0.466,0.597304009363011,0.563746010143262,83
"normalized(sqrt(PrecSeas))28","normalized(sqrt(PrecSeas))",TRUE,0.0035,0.526,0.597304009363011,0.563746010143262,83
"(Intercept)45","(Intercept)",TRUE,0.0033,0.639,0.374383706857055,0.32224901576181,84
"factor(accAfrica)116","factor(accAfrica)1",TRUE,0.035,-0.345,0.374383706857055,0.32224901576181,84
"normalized(sqrt(TempSeas))39","normalized(sqrt(TempSeas))",TRUE,0.0034,-0.414,0.374383706857055,0.32224901576181,84
"normalized(sqrt(AnnualPrec))26","normalized(sqrt(AnnualPrec))",TRUE,0.003,0.461,0.293947583358422,0.235109881971624,85
"normalized(sqrt(PrecSeas))29","normalized(sqrt(PrecSeas))",TRUE,2e-04,0.737,0.293947583358422,0.235109881971624,85
"normalized((sqrt_change))44","normalized((sqrt_change))",TRUE,0.0236,0.305,0.29302954477862,0.234115340176838,86
"normalized(sqrt(curr_max95BodySize))32","normalized(sqrt(curr_max95BodySize))",TRUE,0.0048,0.466,0.29302954477862,0.234115340176838,86
"normalized(sqrt(PrecSeas))30","normalized(sqrt(PrecSeas))",TRUE,3e-04,0.902,0.29302954477862,0.234115340176838,86
"normalized((sqrt_change))45","normalized((sqrt_change))",TRUE,0.0088,0.285,0.335409010312805,0.280026427838872,87
"normalized(sqrt(TempSeas))40","normalized(sqrt(TempSeas))",TRUE,0.0036,-0.419,0.335409010312805,0.280026427838872,87
"normalized(sqrt(AnnualPrec))27","normalized(sqrt(AnnualPrec))",TRUE,6e-04,0.557,0.335409010312805,0.280026427838872,87
"factor(accAfrica)1:normalized(sqrt(CH_Mean))14","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0365,-0.58,0.335409010312805,0.280026427838872,87
"(Intercept)46","(Intercept)",TRUE,0.0163,-0.529,0.545935112045023,0.508096371382108,88
"factor(accAfrica)117","factor(accAfrica)1",TRUE,0.0072,0.452,0.545935112045023,0.508096371382108,88
"normalized((sqrt_change))46","normalized((sqrt_change))",TRUE,0.0374,-0.226,0.545935112045023,0.508096371382108,88
"normalized(sqrt(curr_max95BodySize))33","normalized(sqrt(curr_max95BodySize))",TRUE,0.0198,0.309,0.545935112045023,0.508096371382108,88
"normalized(sqrt(TempSeas))41","normalized(sqrt(TempSeas))",TRUE,0.0419,0.29,0.545935112045023,0.508096371382108,88
"normalized(sqrt(AnnualPrec))28","normalized(sqrt(AnnualPrec))",TRUE,0.0484,0.318,0.545935112045023,0.508096371382108,88
"normalized(sqrt(PrecSeas))31","normalized(sqrt(PrecSeas))",TRUE,0,0.868,0.545935112045023,0.508096371382108,88
"(Intercept)47","(Intercept)",TRUE,9e-04,0.72,0.47990080539263,0.436559205842016,89
"normalized((sqrt_change))47","normalized((sqrt_change))",TRUE,0,0.789,0.47990080539263,0.436559205842016,89
"normalized(sqrt(curr_max95BodySize))34","normalized(sqrt(curr_max95BodySize))",TRUE,0.0118,-0.325,0.47990080539263,0.436559205842016,89
"normalized(sqrt(TempSeas))42","normalized(sqrt(TempSeas))",TRUE,0.0149,-0.338,0.47990080539263,0.436559205842016,89
"(Intercept)48","(Intercept)",TRUE,2e-04,-0.633,0.607609621774555,0.574910423589102,90
"normalized((sqrt_change))48","normalized((sqrt_change))",TRUE,0.0082,-0.215,0.607609621774555,0.574910423589102,90
"normalized(sqrt(curr_max95BodySize))35","normalized(sqrt(curr_max95BodySize))",TRUE,3e-04,0.36,0.607609621774555,0.574910423589102,90
"normalized(I(MAT^2))15","normalized(I(MAT^2))",TRUE,0.0011,0.399,0.607609621774555,0.574910423589102,90
"normalized(sqrt(TempSeas))43","normalized(sqrt(TempSeas))",TRUE,2e-04,0.4,0.607609621774555,0.574910423589102,90
"normalized(sqrt(PrecSeas))32","normalized(sqrt(PrecSeas))",TRUE,0.0116,0.376,0.607609621774555,0.574910423589102,90
"normalized(sqrt(TempSeas))44","normalized(sqrt(TempSeas))",TRUE,0.0026,0.46,0.18851491599404,0.120891158993543,91
"normalized(sqrt(curr_max95BodySize))36","normalized(sqrt(curr_max95BodySize))",TRUE,0.0377,0.346,0.25499937749706,0.192915992288481,92
"normalized(sqrt(TempSeas))45","normalized(sqrt(TempSeas))",TRUE,0.0094,0.469,0.25499937749706,0.192915992288481,92
"normalized(sqrt(PrecSeas))33","normalized(sqrt(PrecSeas))",TRUE,5e-04,0.895,0.25499937749706,0.192915992288481,92
"normalized(sqrt(TempSeas))46","normalized(sqrt(TempSeas))",TRUE,0.0405,-0.273,0.228981200155795,0.164729633502111,93
"normalized(sqrt(AnnualPrec))29","normalized(sqrt(AnnualPrec))",TRUE,0.0023,0.463,0.228981200155795,0.164729633502111,93
"(Intercept)49","(Intercept)",TRUE,0,0.86,0.093603681091313,0.0180706545155892,94
"factor(accAfrica)118","factor(accAfrica)1",TRUE,0.0044,-0.391,0.49183614880326,0.449489161203531,95
"normalized(sqrt(TempSeas))47","normalized(sqrt(TempSeas))",TRUE,0.002,0.364,0.49183614880326,0.449489161203531,95
"normalized(sqrt(PrecSeas))34","normalized(sqrt(PrecSeas))",TRUE,0.0041,0.472,0.49183614880326,0.449489161203531,95
"factor(accAfrica)119","factor(accAfrica)1",TRUE,0.0467,-0.326,0.265268762854022,0.204041159758524,96
"normalized(I(MAT^2))16","normalized(I(MAT^2))",TRUE,0.0352,0.334,0.265268762854022,0.204041159758524,96
"normalized(sqrt(PrecSeas))35","normalized(sqrt(PrecSeas))",TRUE,0.0186,0.366,0.286076579742995,0.226582961388244,97
"(Intercept)50","(Intercept)",TRUE,2e-04,0.576,0.414558126322684,0.365771303516241,98
"normalized(sqrt(PrecSeas))36","normalized(sqrt(PrecSeas))",TRUE,0.0301,0.293,0.414558126322684,0.365771303516241,98
"factor(accAfrica)120","factor(accAfrica)1",TRUE,2e-04,-0.567,0.593288821606534,0.559396223407079,99
"normalized(sqrt(AnnualPrec))30","normalized(sqrt(AnnualPrec))",TRUE,0.0205,0.333,0.593288821606534,0.559396223407079,99
"normalized(sqrt(PrecSeas))37","normalized(sqrt(PrecSeas))",TRUE,0.0406,0.363,0.593288821606534,0.559396223407079,99
"normalized(sqrt(curr_max95BodySize))37","normalized(sqrt(curr_max95BodySize))",TRUE,0.0024,0.406,0.28151375147721,0.221639897433644,100
"factor(accAfrica)1:normalized(sqrt(CH_Mean))15","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.035,0.585,0.28151375147721,0.221639897433644,100
"normalized((sqrt_change))49","normalized((sqrt_change))",TRUE,0.0328,0.228,0.328928055780662,0.273005393762384,101
"normalized(sqrt(TempSeas))48","normalized(sqrt(TempSeas))",TRUE,0.0153,-0.341,0.328928055780662,0.273005393762384,101
"normalized(sqrt(PrecSeas))38","normalized(sqrt(PrecSeas))",TRUE,0.0021,0.609,0.328928055780662,0.273005393762384,101
