"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","max95FW_angios","log_max95FL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"51","GUI",10.43854094,-10.94182542,"1",10.3923048454133,10,1.294,72970.1956827038,519.09,72970.1956827038,0.69,257.741597330213,1868.45164397251,96.5330703091948,1748.28767730192,14.8833,0.063093167,"Africa"
"52","GUY",4.792378272,-58.97416349,"0",6.83646770156013,7.5,1.2901,7954.88961769081,148789.81,407915.935162133,97.46,248.295926342666,558.626118178049,51.3794202106922,2181.33011137983,19.6961,0.895810055,"Americas"
"53","HAI",18.93894782,-72.68381472,"0",3.67571625187518,9.99371258630402,1.4311,761.312147110936,12328.19,50703.2509226259,96.88,246.526038830316,1286.44975664774,41.3088638342373,1359.87893368399,23.2712,0.064332411,"Americas"
"54","HAW",20.27437592,-156.3821794,"0",4.75,5.540111682292,1.3888,47.3,0,47.3,0,192.340470370153,1293.87406429816,29.01544027066,1671.37575111456,NA,NA,"Pacific"
"55","HON",14.81591848,-86.62017081,"0",4.31963486151409,8.24357754779241,1.3755,7275,265352.33,192025.097099282,98.04,230.848913593501,1101.61464134825,61.8338906617466,1809.55435957418,25.696,0.603868726,"Americas"
"56","IND",21.72683329,78.38336127,"0",4.11350371403892,6.26020805218433,1.3009,172376.706790868,75675.47,708441.841208677,47.17,260.235104891146,4221.21646813485,121.495346697093,1043.45520155645,18.7864,0.040476591,"Asia"
"57","IVO",7.631725302,-5.555499924,"1",12.8308151998943,10.1738492818697,1.29,70000.3,8190.62,72246.3338092311,11.37,258.954131223115,1318.17756474348,65.9795347904534,1279.42971053867,13.5669,0.372295536,"Africa"
"58","JAM",18.15133064,-77.31975081,"0",2.65983672482157,10,1.467,513.875150081201,521.87,3119.84236545334,68.98,252.523925030855,1008.4478648966,43.2624758138657,1725.23086079905,NA,NA,"Americas"
"59","JAW",-7.288626257,110.0767173,"0",4.83556469320594,5.78002878076106,1.262,65939.3297710421,60717.06,1276172.77576851,38,253.498946243917,408.91872367847,54.4772824133506,2596.89206500209,17.2098,0.461398351,"Asia"
"60","KEN",0.529780176,37.85786442,"1",10.8206300721613,6.42456224189633,1.2174,71596.5394678466,21623.84,87467.4936303788,26.39,245.23561479766,992.675247649849,80.2867973719744,631.524143367345,14.1131,0.028665851,"Africa"
"61","LAO",18.50245057,103.7634056,"0",7.32106285001026,6.31038131832265,1.30625,32950.7229879636,64894.81,609655.478060085,59.59,226.778056196832,2567.34975491431,87.071759066669,1866.81329160816,26.0867,0.85863257,"Asia"
"62","LBR",6.448118463,-9.307846564,"1",8.83670003111144,10.5761407933174,1.291,70741.1103144473,9064.29,75365.7537734392,11.57,249.489122999319,845.851426968197,59.9833353879857,2558.73724955269,18.8533,0.972675344,"Africa"
"63","LEE",16.92097024,-62.28981026,"0",5.13757537062896,9.90610274727716,1.39645,45.1657882817615,10430.82,9514.64293354081,99.72,261.330923132609,1052.15456344476,35.8308447193353,1426.42317255097,9.92969,0.020722033,"Americas"
"64","LSI",-8.633678479,123.0810076,"0",13.1950791077289,5.97829242188584,1.2664,8345.01132633461,32589.3,22594.6041514218,93.24,252.935075807882,702.898830832238,72.7312632035494,1683.48967093311,19.5388,0.298834389,"Asia"
"65","MAU",-20.19561777,57.55522668,"1",5.91815895190149,9.8553245229307,1.2394,456.3,-176.27,430.303207822507,-62.94,234.403915335627,1818.73624242252,50.8196589078151,1798.58838174274,NA,NA,"Africa"
"66","MDG",-19.37352133,46.70599248,"0",4.88591184330391,3.768889358214,1.34185,5297.97808526158,7926.06,46199.351580301,83.62,225.047347497499,2012.11100387695,94.3765860173139,1485.68737534821,17.111,0.208859859,"Africa"
"67","MLI",17.35036933,-3.524336718,"1",14.5062366160245,8.39910353589148,1.05145,191812.070895295,204802.05,1307191.54462908,55.25,288.745646049441,4744.27650295199,133.103222793088,310.327877317456,2.83576,0.007066582,"Africa"
"68","MLW",-13.21510424,34.30698504,"1",10.9233852181565,7.12858815548053,1.2196,86600.3999999999,18364.99,139355.514145875,17.22,215.465178529129,2257.28599775341,102.499907424227,1109.12143810126,17.6757,0.030076454,"Africa"
"69","MLY",4.028255407,102.1784344,"0",5,6.16687527687802,1.3234,58459.8697152486,43896.81,361543.737150388,43.66,258.664968339659,587.996085468191,36.4057527960273,2531.35050250442,25.4881,0.806114983,"Asia"
"70","MOL",-1.420611904,127.990452,"0",5.25648519319014,6.97881926663756,1.27385,5980.95640275233,83.08,6048.84133614827,2.02,250.490376395676,411.171683193676,28.5134523331142,2384.66037735849,23.4708,0.517783719,"Asia"
"71","MOZ",-17.26019707,35.55225318,"1",10.6356597194411,6.49496021467501,1.30005,85972.5890372094,18442.21,131713.896786347,17.92,235.332848031401,2330.35013921843,94.8149447608494,1019.63658917721,14.2031,0.013883503,"Africa"
"72","MXC",19.13109566,-98.58581279,"0",1.71907001087358,6.13204520550208,1.1917,5636.35231300245,353346.42,1067024.63399903,98.58,173.113508114143,1812.84606840347,87.8572895061686,964.901574130567,21.1099,0.202325543,"Americas"
"73","MXE",25.85227543,-103.0607542,"0",2.02034986881096,6.16215489536743,1.2458,6974.84972106915,317389.65,1103765.77582367,98.23,187.507777354559,4580.86302519893,80.5937933804489,527.381987407077,22.3813,0.106356352,"Americas"
"74","MXG",19.37738436,-96.405429,"0",3.5,6.09461490027403,1.2532,7309.63762104665,333061.1,1039691.91691048,98.44,240.550287534029,2320.31629542697,72.8889956299249,1735.51133661733,25.8423,0.164330322,"Americas"
"75","MXN",28.4912303,-111.3789827,"0",2.17370651192842,6.88430265738934,1.397,5014.48527530503,357971.56,1262693.3101638,99.37,216.371091931566,5189.98149136266,92.1094883290518,361.357799778674,20.7135,0.129332802,"Americas"
"76","MXS",18.84795312,-100.7023886,"0",3.40342466501721,7.84659739796866,1.287,6011.17663461712,253216.44,442984.582439366,98.48,211.869483912706,1674.08964422978,103.81403145266,1131.95890191635,20.8141,0.341436212,"Americas"
"77","MXT",18.50798756,-90.55872649,"0",3.5,7.01499464922446,1.375,7191.38451115513,245778.25,87957.8420967131,98.02,248.972770171131,1688.94247164828,65.7223510009081,1531.89728995426,16.8255,0.64407178,"Americas"
"78","MYA",21.14042303,96.50882808,"0",7.32106285001026,5.33447961930526,1.273,54451.1956375861,221752.51,1132915.62422038,83.76,232.974652159594,2893.9492736733,93.7208284026903,2177.43721943909,27.0695,0.541254032,"Asia"
"79","NAT",-28.7085677,30.72508497,"1",6.94678648908834,5.91955224429474,1.3356,95781.5604186219,18965.14,233589.389857331,13.42,175.858946921053,3223.57857552005,60.8022221447798,864.020134827085,17.8326,0.131242318,"Africa"
"80","NCB",7.507217236,93.60165739,"0",2.6294154716638,9.68965790892928,1.26315,446.800770713255,0,446.800770713255,0,272.357400375123,456.927844063799,46.635571696327,3003.77020340847,14.2754,0.025652842,"Asia"
"81","NEP",28.25300785,83.93851707,"0",3.87298334620742,4.71848286474154,1.275,255551.960480392,86135.73,1480168.9853959,43.14,126.02343700505,5826.20951412789,103.030442475783,1657.8968080522,33.7709,0.341417927,"Asia"
"82","NGA",9.593635674,8.105324864,"1",10.8505733773607,10.0865500949877,1.27945,71114.4502934975,79418.47,144229.57232736,55.63,265.48513406189,2083.16746785447,102.400383636373,1161.50708344038,13.0367,0.108073568,"Africa"
"83","NGR",17.42632282,9.397657535,"1",14.1861241350476,11.5,1.2435,77059.7277596018,273036.91,2758777.88255502,57.48,274.744693540598,5175.95532167127,173.873056001853,134.442175800472,2.12057,9.8532e-05,"Africa"
"84","NIC",12.83970931,-85.03469962,"0",5,6.2258060698746,1.341,7161.33917104621,256524.76,137415.753802808,98.07,253.561282360387,673.011725701824,66.7255194197,2220.5697899491,19.8538,0.448448886,"Americas"
"85","NSW",-32.18030973,147.0187766,"0",1.63295074796796,4.60448244110924,1.37295,3235.80736169448,127553.9,164326.045895946,99.53,175.795278407168,5452.04576200936,21.226480809975,534.004281202058,22.8827,0.12284044,"Pacific"
"86","NTA",-19.41428342,133.3652138,"0",2.18672414788656,4.89098064709832,1.3284,1762.39865186041,-28.47,1640,-8.72,253.693472209698,4530.53954791363,88.7792007243827,566.317170113189,17.4433,0.001827081,"Pacific"
"87","NWC",-21.29461419,165.6718498,"0",3.77428021159708,6.11454298059309,1.2805,304.571117957602,0,304.571117957602,0,222.446179203112,2056.61032332774,46.5886290229637,1682.05562406974,22.3575,0.33668581,"Pacific"
"88","NWG",-5.345954432,140.8323421,"0",5.46825270922065,5.5,1.2954,8666.7,1787.15,9732.6337705448,52.4,233.052607736673,419.942123676812,26.8683085565275,3193.16233227453,22.0357,0.870742582,"Asia"
"89","PAK",29.35662305,68.78919169,"0",5.99824685967549,5.1169015227858,1.2572,96677.9725926017,188624.78,832309.45857582,92.61,229.350620704193,7176.29514789662,96.4306676447625,285.382628986697,33.9932,0.005876648,"Asia"
"90","PAN",8.50544318,-80.10906884,"0",4.95953489891069,6.83846660808608,1.29665,8983.51405872151,183612.49,174271.161241705,97.47,245.811732887662,418.425974605051,54.7313731394526,2626.43406870037,15.6068,0.617554343,"Americas"
"91","PAR",-23.23612887,-58.39095178,"0",5.17652774434069,6.93540043583625,1.4432,23159.0747016241,404704.43,2571453.16265032,98.34,236.623347919395,3324.68701067381,44.3258440956846,1192.26286691466,6.93726,0.233903033,"Americas"
"92","PER",-9.163771326,-74.37540668,"0",8,7.5,1.3304,9727.13180788254,146567.94,204467.359771733,97.28,185.715991727816,757.599140001391,58.8024752499109,1619.38585388049,18.7303,0.57637744,"Americas"
"93","PHI",11.74740203,122.8736074,"0",5,6.04749013290687,1.2843,28850.1938301473,0,28850.1938301473,0,256.402123161991,785.55423539704,51.8218333422403,2397.03574914907,24.1241,0.168692872,"Asia"
"94","PUE",18.22093074,-66.46612748,"0",1.46421257000205,9.92481139797651,1.34625,45.5766653849576,3408.79,8782.58101133281,99.1,255.450478530011,1096.44959982315,36.2901511167535,1612.83034594013,17.6349,0.481325337,"Americas"
"95","QLD",-22.57373668,144.5481795,"0",3.38158231191632,7,1.33925,5325.03035981058,91968.87,150000,98.78,234.895256805734,4521.380570397,73.9636573051293,625.035250884799,16.8357,0.029530962,"Pacific"
"96","RWA",-1.997967978,29.91720553,"1",10.5567483198076,6.6058912560603,1.1828,85302.9561888859,3561.13,131152.885968783,4.57,190.515821360984,715.76285481009,50.0812993829335,1184.9953445698,16.9865,0.149519953,"Africa"
"97","SAM",-13.79663559,-172.031904,"0",8.42901184096999,5.6,1.4677,282.186781486304,115.15,502.100861904108,39.19,248.794965051658,381.381046768915,42.4186659399069,3553.29315685722,NA,NA,"Pacific"
"98","SAU",24.0233803,44.58510578,"0",6.83999873765599,5.52738466948074,1.0546,48389.5130954071,195705.49,238646.620781179,95.27,260.290969553523,7059.66470252904,108.319510922141,86.0963531717423,NA,NA,"Asia"
"99","SCA",33.91755375,-80.90042082,"0",2.04242106606891,3.8683297642732,1.25165,17001.2131375937,774854.55,7199545.97028133,98.97,173.205576830722,6837.85112665404,21.2029480290382,1232.24811950231,20.2366,0.375116069,"Americas"
"100","SCZ",-10.99211357,166.2240525,"0",9.4232657906894,9.59920300896118,1.4903,242.694846862469,31.58,266.783942312837,18.33,262.452370880656,384.296630197867,12.2798838980625,5007.14161849711,NA,NA,"Pacific"
"101","SEN",14.36697954,-14.46817708,"1",13.5669352788846,10,1.268,81440.894312427,19795.34,183051.120207383,13.32,284.9850555849,2156.99324703465,138.025996212084,654.659119268073,4.93134,0.028197347,"Africa"
"102","SEY",-4.702082011,55.52213886,"1",2.15867994188328,10,1.1404,457,0,457,0,261.961548916129,684.235848765833,43.2705842331794,2457.99667774086,NA,NA,"Africa"
"103","SIE",8.560340924,-11.7921029,"1",8.86162888694854,10.9099589538909,1.28035,71364.4375952385,1080.54,71489.7605941803,1.43,254.384977902579,1320.78020337273,81.9630288684841,2688.35151628298,15.3288,0.552921447,"Africa"
"104","SOL",-8.147972776,158.3400507,"0",7.54502629924318,5.86748880277436,1.3145,713.298969414375,39.74,893.333121718641,10.91,256.160468810087,378.391053585047,21.5273280049412,3377.60069650091,21.9363,0.213637807,"Asia"
"105","SOM",6.063713497,45.86255927,"1",7.65664696748915,8.71837946869778,1.1362,86739.9462500459,185231.26,534236.919266008,57.25,266.043699709343,1536.02497657359,104.217218201891,289.925328203472,14.3646,4.32242e-05,"Africa"
"106","SRL",7.612362427,80.70426262,"0",8.63543920761704,5.67230112035671,1.2406,329625.605986224,-2318.39,298697.307646588,-1.62,266.779135036025,975.937489718838,63.1968610834732,1675.03927313851,14.7007,0.54279599,"Asia"
"107","SUD",13.83173564,30.05016106,"1",10.0907569830446,7.93675393294352,1.27125,91197.7972783135,107028.14,373691.619229761,54.01,268.578210132555,3567.29650222322,149.223464220963,405.722378909461,3.60079,0.006277835,"Africa"
"108","SUL",-2.104047614,121.2948397,"0",5,6.5483101711545,1.268,34061.4413460288,2446.75,62595.4910310566,29.07,238.176978493013,351.370822187696,35.1826200855067,2379.17841369714,25.8299,0.664947847,"Asia"
"109","SUM",-0.47758812,101.6400768,"0",6.07247263424868,7,1.29325,55345.6286464324,39049.3,98213.7216148499,46.56,249.649951474425,344.389770173868,29.394294062303,2722.05011221189,16.6652,0.802232367,"Asia"
"110","SUR",4.12671321,-55.91158124,"0",7.07408102758383,7.75,1.3198,8400.79704829687,160719.68,595230.818522302,97.43,255.354709405784,685.662688980419,48.9087696562307,2227.48736640369,21.2492,0.914580324,"Americas"
"111","TAI",23.74831791,120.9593907,"0",2.66982181006874,6.72664879129756,1.27225,24572.644610446,0,24572.644610446,0,192.347666436121,4132.25323436788,65.5422205445987,2338.98049397801,27.7962,0.60599252,"Asia"
"112","TAN",-6.270199047,34.82340201,"1",10.4538512927047,7,1.2152,70498.5269356034,12747.33,76840.6745800636,19.76,221.85599944799,1349.68220232587,85.6396579789859,1004.85228214944,19.3467,0.020392334,"Africa"
"113","TCI",21.80869292,-71.88207917,"0",1.36079856555073,5.08156061373791,1.419,35.8,0,35.8,0,264.803502142429,1502.54038286209,37.846987016499,699.5390625,11.6179,0.258167841,"Americas"
"114","THA",15.11989876,101.0149078,"0",7,6,1.30975,46500,32768.98,192669.580894438,39.72,261.870312056109,1725.34067233026,79.9374899804478,1559.10535533763,22.7186,0.300952614,"Asia"
"115","TOG",8.534910374,0.975845964,"1",10.695614747796,10.8064699003642,1.2462,70493.3065078794,10985.13,73919.1433818093,11.42,265.532397488304,1563.47674118266,75.2919664676605,1194.76844877847,8.32626,0.006828445,"Africa"
"116","TRT",10.46836429,-61.25263722,"0",5,9.65993771600212,1.294,4050.97472125068,0,4050.97472125068,0,263.026985808839,555.503641196236,46.7337241728633,1935.06442388562,13.1546,0.739748435,"Americas"
"117","TVL",-25.26571446,28.07825549,"1",10.9456375416165,7,1.0722,128365.208487347,18800.64,206757.828289188,14.74,186.653649778246,4118.21232754113,78.2098432115537,594.179527591761,10.0002,0.069633357,"Africa"
"118","UGA",1.280084629,32.38622999,"1",10.6696764602335,8.94236947767187,1.284,71741.0672172266,18365.23,115869.15976779,25.26,222.12042790636,793.405182174877,45.1686943900489,1216.282343225,9.69847,0.186152673,"Africa"
"119","URU",-32.79956992,-56.01217362,"0",3.40838093159667,3.49748287651018,1.4416,24427.2593436179,717223.55,4027010.19202543,99.02,175.139435028138,4483.23974518745,15.143729923218,1197.52819283959,NA,NA,"Americas"
"120","VAN",-16.20215409,167.7055728,"0",9.12247713288892,5.6614801216298,1.4435,381.929586784862,0,381.929586784862,0,242.679874147576,1077.17828444064,34.0592380763572,2709.01735015773,39.5401,0.088628872,"Pacific"
"121","VEN",7.118821943,-66.16904042,"0",6.15982555280984,8,1.334,10606.5427920694,105844.09,204467.359771733,96.21,249.509431986242,686.522194703304,59.8562921086902,1935.40648225012,17.1371,0.475442043,"Americas"
