"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	-2389.01418505546	4782.02837011092	4782.03432249187	4793.24908534754	2	1000	0	0	0	0	0.107848931010261	0	0.971820488990582	1.32404199385712	0	0	4782.03432249187	1098.70998763705	1.82178058241659e-239
1	"BMS"	-2374.75258396002	4755.50516792004	4755.51707859002	4772.33624077498	3	990	25	0	0	0	0.109751611815911	0.0310780986093314	0.94837262095556	1.31645288205516	0	0	4755.51707859002	1072.1927437352	1.04386039345219e-233
1	"OU1"	-1846.63885287706	3699.27770575412	3699.2896164241	3716.10877860906	3	1700	120	0	0.238928963843674	0	0.219684481556116	0	0.571776222000654	0.0207026652949668	0	0	3699.2896164241	15.9652815692803	0.000237422375745143
1	"OUM"	-1838.4792898122	3684.9585796244	3684.97844059759	3707.40001009765	4	1700	120	0	0.246618398077087	0.246618398077087	0.223246131001911	0.223246131001911	0.550211828224457	0.0208041210704985	0.94838009092105	0.0954210568265225	3684.97844059759	1.6541057427703	0.304196345220493
1	"OUMV"	-1836.64726429775	3683.29452859551	3683.32433485482	3711.34631668707	5	1600	140	26	0.244316637092627	0.244316637092627	0.223653375184752	0.153566026885994	0.550985454364926	0.0209943029232794	0.949388811099588	0.079733275515352	3683.32433485482	0	0.695566232403761
2	"BM1"	-2129.85735721336	4263.71471442672	4263.72066680767	4274.93542966334	2	1000	0	0	0	0	0.0775311690567971	0	0.935869232779998	1.15052959230981	0	0	4263.72066680767	901.50258828673	9.98500305173152e-197
2	"BMS"	-2112.80680436397	4231.61360872794	4231.62551939792	4248.44468158288	3	990	25	0	0	0	0.0789871741231112	0.0190945825238039	0.990642164001217	1.13838761382527	0	0	4231.62551939792	869.40744087698	9.30509711048152e-190
2	"OU1"	-1685.32461112571	3376.64922225142	3376.66113292139	3393.48029510636	3	1600	180	0	0.156893233154541	0	0.137056834378663	0	0.596042781311936	0.0233430493596555	0	0	3376.66113292139	14.4430544004504	0.000418676461662211
2	"OUM"	-1678.22372237247	3364.44744474493	3364.46730571812	3386.88887521818	4	1600	180	0	0.161942606463945	0.161942606463945	0.138975753796914	0.138975753796914	0.570436455870706	0.0234307502211685	0.962413710897159	0.0998894874930032	3364.46730571812	2.24922719718006	0.186094903308367
2	"OUMV"	-1676.09413613081	3362.18827226162	3362.21807852094	3390.24006035319	5	1500	200	25	0.157980477012493	0.157980477012493	0.138091201245072	0.0905788288467233	0.573463550467281	0.023962433324825	0.965415171695278	0.0823271345067399	3362.21807852094	0	0.572991209276002
2	"OUMVA"	-1675.95633470752	3363.91266941505	3363.95441891803	3397.57481512492	6	1500	200	25	0.159004952170983	0.160121702152192	0.138667547042977	0.0786060467987306	0.572669972977147	0.0238540293049535	0.969856311110819	0.0810036598643674	3363.95441891803	1.73634039709032	0.240495210953969
3	"BM1"	-3055.71970737091	6115.43941474182	6115.44536712277	6126.66012997844	2	1000	0	0	0	0	0.203900749155642	0	0.961371782498925	1.81165395437637	0	0	6115.44536712277	2184.83473702712	0
3	"BMS"	-3017.2754350095	6040.550870019	6040.56278068897	6057.38194287394	3	990	23	0	0	0	0.20817117394761	0.0171023941145623	1.01875001687902	1.78428090323024	0	0	6040.56278068897	2109.95215059332	0
3	"OU1"	-1971.66858963902	3949.33717927803	3949.34908994801	3966.16825213297	3	5.6e+09	1000	0	3.43829239167375	0	2.88294017238589	0	0.51120420869992	0.0145782889724359	0	0	3949.34908994801	18.7384598523599	4.29467950622087e-05
3	"OUM"	-1961.29538456123	3930.59076912246	3930.61063009565	3953.03219959571	4	5.6e+09	1000	0	3.43829199374899	3.43829199374899	2.85344766441196	2.85344766441196	0.499168141427483	0.0147410731770176	0.881690794054963	0.082416274959004	3930.61063009565	0	0.503425971044689
3	"OUMV"	-1960.30420250674	3930.60840501349	3930.6382112728	3958.66019310505	5	5.6e+09	980	32	3.43829255497821	3.43829255497821	2.87435886166298	2.20723981342619	0.499116422468997	0.014794396701512	0.882122951255528	0.0725261696893193	3930.6382112728	0.0275811771502958	0.496531082160248
4	"BM1"	-2391.80069844239	4787.60139688478	4787.60734926573	4798.82211212141	2	1000	0	0	0	0	0.0941465469730908	0	1.00557543567855	1.23682902964371	0	0	4787.60734926573	1074.79672039253	3.47229699497562e-234
4	"BMS"	-2375.54437384771	4757.08874769542	4757.1006583654	4773.91982055036	3	990	24	0	0	0	0.0958812114021263	0.0237952363744895	1.07200978720002	1.21218213383906	0	0	4757.1006583654	1044.2900294922	1.4623812969832e-227
4	"OU1"	-1861.20298366104	3728.40596732208	3728.41787799206	3745.23704017702	3	1600	130	0	0.176746625596674	0	0.173750131796909	0	0.581381539438782	0.0224416360676328	0	0	3728.41787799206	15.6072491188597	0.000347286736036167
4	"OUM"	-1854.13754958473	3716.27509916945	3716.29496014264	3738.71652964271	4	1600	120	0	0.183148770606506	0.183148770606506	0.177070355823171	0.177070355823171	0.558853854754004	0.0224556694209251	0.958073449081454	0.102472940243455	3716.29496014264	3.48433126943974	0.148986308593269
4	"OUMV"	-1851.39041130694	3712.78082261389	3712.8106288732	3740.83261070545	5	1600	140	24	0.180992049467906	0.180992049467906	0.177695168099627	0.110506990001747	0.559822759269832	0.0227488787349617	0.959495454825416	0.0817811297089538	3712.8106288732	0	0.850666404670695
5	"BM1"	-2109.34316600564	4222.68633201127	4222.69228439222	4233.9070472479	2	1000	0	0	0	0	0.0778165327053465	0	1.01220803184829	1.16658818457436	0	0	4222.69228439222	840.7676893952	2.47755226297294e-183
5	"BMS"	-2080.70502379016	4167.41004758032	4167.42195825029	4184.24112043526	3	990	24	0	0	0	0.0794780233137556	0.0107655082033445	1.07187184218738	1.15344402641377	0	0	4167.42195825029	785.49736325327	2.48783545460412e-171
5	"OU1"	-1695.60366914856	3397.20733829713	3397.2192489671	3414.03841115207	3	1500	190	0	0.145181543162228	0	0.131096213885795	0	0.630025568774384	0.0253741845286004	0	0	3397.2192489671	15.2946539700802	0.00043975921331652
5	"OUM"	-1689.41828323314	3386.83656646628	3386.85642743946	3409.27799693953	4	1500	190	0	0.149348410407386	0.149348410407386	0.132722591114111	0.132722591114111	0.602402213430465	0.025654281354879	0.972153370070799	0.100497520128734	3386.85642743946	4.93183244243983	0.0782479647499009
5	"OUMV"	-1685.94739436885	3381.8947887377	3381.92459499702	3409.94657682927	5	1500	220	24	0.145305763582479	0.145305763582479	0.13207044743788	0.0767903008202125	0.606423012966152	0.0263434425235541	0.975626986822556	0.0784520015324503	3381.92459499702	0	0.921312276036783
6	"BM1"	-3803.25230885439	7610.50461770877	7610.51057008973	7621.7253329454	2	1000	0	0	0	0	0.391098480264647	0	0.949089412311933	2.59116122790766	0	0	7610.51057008973	3547.75513200683	0
6	"BMS"	-3754.5085962766	7515.01719255319	7515.02910322317	7531.84826540813	3	990	22	0	0	0	0.399338448292871	0.0195305260160852	0.917133470748101	2.58596025059853	0	0	7515.02910322317	3452.27366514027	0
6	"OU1"	-2039.09765511331	4084.19531022662	4084.20722089659	4101.02638308155	3	5.9e+09	1000	0	3.30294800995017	0	2.95148220728631	0	0.509320452645634	0.0150494834914918	0	0	4084.20722089659	21.45178281369	1.61815879825826e-05
6	"OUM"	-2028.39608899376	4064.79217798751	4064.8120389607	4087.23360846076	4	5.9e+09	1000	0	3.3029503473427	3.3029503473427	2.92056830585064	2.92056830585064	0.496781337926907	0.0152125601777666	0.903407109889639	0.0862674368617603	4064.8120389607	2.05660087780007	0.263409469729661
6	"OUMV"	-2026.36281591179	4062.72563182358	4062.7554380829	4090.77741991514	5	5.9e+09	980	31	3.30291884092479	3.30291884092479	2.94991506506608	1.99952540926857	0.496610213553544	0.0152876377909944	0.905782417381038	0.0714812204090386	4062.7554380829	0	0.736574348682356
7	"BM1"	-2162.12806681383	4328.25613362766	4328.26208600862	4339.47684886429	2	1000	0	0	0	0	0.080409667554549	0	0.973619046665117	1.17740207998301	0	0	4328.26208600862	885.27691813666	3.79855761398266e-193
7	"BMS"	-2134.0998588947	4274.19971778941	4274.21162845938	4291.03079064435	3	990	23	0	0	0	0.0821101606846531	0.0107150060738946	0.959577919651923	1.1792793091519	0	0	4274.21162845938	831.22646058742	2.0726522723171e-181
7	"OU1"	-1725.1649720764	3456.3299441528	3456.34185482278	3473.16101700774	3	1600	180	0	0.155004834336774	0	0.141237934833903	0	0.620082462778061	0.0240662853958067	0	0	3456.34185482278	13.3566869508199	0.000821658305948816
7	"OUM"	-1719.36864690841	3446.73729381682	3446.75715479001	3469.17872429007	4	1600	180	0	0.160295870392489	0.160295870392489	0.143631188916048	0.143631188916048	0.594049920481442	0.0242300704748728	0.948431856506773	0.0994051573469285	3446.75715479001	3.77198691805006	0.0990791831108344
7	"OUMV"	-1716.47768080632	3442.95536161264	3442.98516787196	3471.0071497042	5	1500	200	23	0.155581622555576	0.155581622555576	0.142474431709982	0.0862203711661363	0.598956233209547	0.0248616949999881	0.947371509092223	0.0789862186890256	3442.98516787196	0	0.653219242100473
7	"OUMVA"	-1716.44471995304	3444.88943990607	3444.93118940905	3478.55158561595	6	1500	200	23	0.155367205340824	0.159027301386403	0.142332089846199	0.0528318658743291	0.598996622187842	0.0248909039055373	0.948470522877078	0.0760154348493971	3444.93118940905	1.94602153709002	0.246879916482744
8	"BM1"	-3014.85216820128	6033.70433640257	6033.71028878352	6044.92505163919	2	1000	0	0	0	0	0.190089539329901	0	0.966701186053562	1.91188964198583	0	0	6033.71028878352	2133.50816088859	0
8	"BMS"	-2994.27061321083	5994.54122642167	5994.55313709164	6011.37229927661	3	990	26	0	0	0	0.19402471961803	0.0413045655626	0.982688069066625	1.9104962880065	0	0	5994.55313709164	2094.35100919671	0
8	"OU1"	-1956.83775972391	3919.67551944781	3919.68743011779	3936.50659230275	3	6.2e+09	1000	0	3.2356170149216	0	2.69009104591447	0	0.510747555434151	0.0145714876938486	0	0	3919.68743011779	19.4853022228599	3.08567763147874e-05
8	"OUM"	-1946.09113346087	3900.18226692174	3900.20212789493	3922.62369739499	4	6.2e+09	1000	0	3.23561457252926	3.23561457252926	2.66129358091612	2.66129358091612	0.498343685566212	0.0147368695077507	0.87889583177944	0.0805110139304681	3900.20212789493	0	0.525448515084109
8	"OUMV"	-1945.1881079396	3900.37621587919	3900.40602213851	3928.42800397076	5	6.2e+09	980	32	3.23556055768246	3.23556055768246	2.68040004486935	2.08283912330476	0.498349476619351	0.0147897409524767	0.877476706308235	0.0712416768726778	3900.40602213851	0.203894243579725	0.474520628139576
9	"BM1"	-2094.55729822029	4193.11459644059	4193.12054882154	4204.33531167721	2	1000	0	0	0	0	0.0702633294837575	0	1.01891573564632	1.1326884575016	0	0	4193.12054882154	801.13587272577	5.91067399194121e-175
9	"BMS"	-2083.98268333478	4173.96536666956	4173.97727733954	4190.7964395245	3	990	24	0	0	0	0.0713754415596575	0.0242650870608405	1.0524729795778	1.12960387960242	0	0	4173.97727733954	781.99260124377	8.48292429587113e-171
9	"OU1"	-1698.56632226956	3403.13264453913	3403.1445552091	3419.96371739407	3	1500	210	0	0.128161842748947	0	0.116878318928778	0	0.628008742207149	0.0260300416881662	0	0	3403.1445552091	11.1598791133301	0.00205468115211716
9	"OUM"	-1692.7998513372	3393.59970267439	3393.61956364758	3416.04113314764	4	1500	210	0	0.131293609382104	0.131293609382104	0.118016370197545	0.118016370197545	0.600887928992874	0.0263754863466818	0.973397313556519	0.105046266427361	3393.61956364758	1.63488755181015	0.240475078277221
