"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	-2380.28963959207	4764.57927918414	4764.58524933339	4775.79404203542	2	1000	0	0	0	0	0.108167712094724	0	0.95152623265461	1.33039301966332	0	0	4764.58524933339	1100.32635606937	9.45329976428759e-240
1	"BMS"	-2369.18001191882	4744.36002383765	4744.37197007956	4761.18216811457	3	990	23	0	0	0	0.109804646102241	0.0347964423514116	0.986447454902478	1.32431519435268	0	0	4744.37197007956	1080.11307681554	2.31654771583277e-235
1	"OU1"	-1834.84950728178	3675.69901456355	3675.71096080546	3692.52115884047	3	1700	120	0	0.243381947237739	0	0.221536037462499	0	0.563730228605661	0.0205108154412292	0	0	3675.71096080546	11.4520675414401	0.00264016413173642
1	"OUM"	-1829.58264151552	3667.16528303103	3667.18520334976	3689.59480873359	4	1700	120	0	0.248913108793025	0.248913108793025	0.22419806182765	0.22419806182765	0.54769939548165	0.0206838961218973	0.884056881144803	0.100779789080867	3667.18520334976	2.92631008573971	0.1874889319725
1	"OUMV"	-1827.1144989489	3664.2289978978	3664.25889326402	3692.265905026	5	1600	130	23	0.247109981162591	0.247109981162591	0.225246266055948	0.141366203264485	0.548196055576544	0.0208615218092405	0.886644492302212	0.0806123633294454	3664.25889326402	0	0.809870903895764
2	"BM1"	-2122.55422386375	4249.10844772751	4249.11441787676	4260.32321057879	2	1000	0	0	0	0	0.0777601025884255	0	0.921136858577828	1.15483660731782	0	0	4249.11441787676	901.82234453392	1.32904540126846e-196
2	"BMS"	-2108.65925626917	4223.31851253833	4223.33045878024	4240.14065681525	3	990	23	0	0	0	0.0790488495928953	0.0210691724822269	0.935261891488239	1.14122387211227	0	0	4223.33045878024	876.0383854374	5.27782997900823e-191
2	"OU1"	-1675.15047089439	3356.30094178877	3356.31288803068	3373.12308606569	3	1600	180	0	0.159359541671041	0	0.137842506405418	0	0.586919266539219	0.0231088519159451	0	0	3356.31288803068	9.0208146878399	0.00983849661452168
2	"OUM"	-1671.87614483778	3351.75228967556	3351.77220999428	3374.18181537812	4	1600	180	0	0.162365261681736	0.162365261681736	0.139142612569303	0.139142612569303	0.570730653661926	0.0233951943988038	0.848431920332631	0.104803868465489	3351.77220999428	4.48013665143981	0.0952630425712464
2	"OUMV"	-1668.63108898831	3347.26217797663	3347.29207334284	3375.29908510482	5	1500	200	23	0.159478557985953	0.159478557985953	0.139077622675722	0.0804406238712363	0.572959644907538	0.0238242909571203	0.85084212894904	0.0811492889404943	3347.29207334284	0	0.894898460814232
3	"BM1"	-3044.73719876181	6093.47439752363	6093.48036767288	6104.68916037491	2	1000	0	0	0	0	0.204620199315084	0	0.935544707490322	1.82100802535608	0	0	6093.48036767288	2182.6457385576	0
3	"BMS"	-3013.80992937895	6033.61985875789	6033.6318049998	6050.44200303481	3	990	20	0	0	0	0.20813345681262	0.0199365460067856	0.925799613503579	1.75818401218622	0	0	6033.6318049998	2122.79717588452	0
3	"OU1"	-1958.12538121837	3922.25076243675	3922.26270867866	3939.07290671367	3	5.6e+09	1000	0	3.43829004721327	0	2.86121170386964	0	0.507499076011719	0.0145453899384263	0	0	3922.26270867866	11.4280795633799	0.00264756147874742
3	"OUM"	-1952.82257218117	3913.64514436234	3913.66506468107	3936.0746700649	4	5.6e+09	1000	0	3.43829004721327	3.43829004721327	2.84616604627793	2.84616604627793	0.499248682034621	0.0147260736957853	0.783101131463651	0.0857532929628092	3913.66506468107	2.83043556578968	0.194895012950863
3	"OUMV"	-1950.40236687453	3910.80473374906	3910.83462911528	3938.84164087726	5	5.6e+09	980	29	3.43828598487688	3.43828598487688	2.8757834130396	1.84936660662053	0.499159904527303	0.0148017742642096	0.783820302697456	0.0691865690783488	3910.83462911528	0	0.802457425570389
4	"BM1"	-2384.11529796468	4772.23059592936	4772.23656607861	4783.44535878064	2	1000	0	0	0	0	0.0944253975896596	0	0.991946422601214	1.24169350514666	0	0	4772.23656607861	1076.44732529444	1.63985126309414e-234
4	"BMS"	-2371.87304877401	4749.74609754802	4749.75804378994	4766.56824182494	3	990	21	0	0	0	0.0959390581839725	0.0270868496734908	1.06255075876249	1.21788697218144	0	0	4749.75804378994	1053.96880300577	1.24725011985308e-229
4	"OU1"	-1850.47825600271	3706.95651200543	3706.96845824734	3723.77865628235	3	1600	130	0	0.180182721068854	0	0.175450359268594	0	0.573000000266874	0.0222024419722915	0	0	3706.96845824734	11.1792174631701	0.00342637543684077
4	"OUM"	-1846.32913809224	3700.65827618449	3700.67819650321	3723.08780188705	4	1600	120	0	0.18388420801865	0.18388420801865	0.177338484199597	0.177338484199597	0.557415739933659	0.0223928936884212	0.883571702333718	0.11006178648555	3700.67819650321	4.88895571904004	0.0795697384676756
4	"OUMV"	-1842.87967270897	3695.75934541795	3695.78924078417	3723.79625254615	5	1600	140	22	0.18163545252971	0.18163545252971	0.177814173035974	0.0996801759328172	0.558537555782515	0.0226826740548734	0.879273318809172	0.0835439736227456	3695.78924078417	0	0.917003886095484
5	"BM1"	-2100.49701207439	4204.99402414879	4204.99999429804	4216.20878700007	2	1000	0	0	0	0	0.0780448036549405	0	0.970367292169188	1.17607841688903	0	0	4204.99999429804	840.95914399842	2.39050907433751e-183
5	"BMS"	-2076.88380688659	4159.76761377319	4159.7795600151	4176.58975805011	3	990	21	0	0	0	0.0794468607679111	0.0118435975184083	1.0454065501988	1.16362080003223	0	0	4159.7795600151	795.73870971548	1.57754928372012e-173
5	"OU1"	-1685.28514800058	3376.57029600115	3376.58224224306	3393.39244027807	3	1500	190	0	0.147543357761106	0	0.131916999391454	0	0.619331165748729	0.025123511948198	0	0	3376.58224224306	12.54139194344	0.0018497780032349
5	"OUM"	-1681.90531601746	3371.81063203491	3371.83055235364	3394.24015773747	4	1500	190	0	0.150358705628741	0.150358705628741	0.133119864350544	0.133119864350544	0.600628046805018	0.0254956801467051	0.887799437758635	0.106309848055976	3371.83055235364	7.78970205401993	0.0199037982101253
5	"OUMV"	-1677.0054774667	3364.0109549334	3364.04085029962	3392.0478620616	5	1500	210	23	0.146256407142295	0.146256407142295	0.132367130223784	0.0663865236371401	0.60488838267776	0.0261758561002514	0.889048043128404	0.0768910682739636	3364.04085029962	0	0.97824642378664
6	"BM1"	-3791.02105410988	7586.04210821977	7586.04807836902	7597.25687107104	2	1000	0	0	0	0	0.392261679801712	0	0.933963123055835	2.60011114509763	0	0	7586.04807836902	3542.25382254394	0
6	"BMS"	-3751.01748000133	7508.03496000267	7508.04690624458	7524.85710427959	3	990	19	0	0	0	0.399458867304031	0.0224509723764629	0.860373521983154	2.56097313191321	0	0	7508.04690624458	3464.2526504195	0
