"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"threshold"
1	"BM1"	-2399.98994635687	4803.97989271374	4803.98581863966	4815.20950344316	2	1000	0	0	0	0	0.107678578523072	0	0.98181045761178	1.32251925602892	0	0	4803.98581863966	1096.8005989308	4.12425660055907e-239	"75"
1	"BM1"	-2389.01418505546	4782.02837011092	4782.03432249187	4793.24908534754	2	1000	0	0	0	0	0.107848931010261	0	0.971820488990582	1.32404199385712	0	0	4782.03432249187	1098.70998763705	1.82178058241659e-239	"50"
1	"BM1"	-2380.28963959207	4764.57927918414	4764.58524933339	4775.79404203542	2	1000	0	0	0	0	0.108167712094724	0	0.95152623265461	1.33039301966332	0	0	4764.58524933339	1100.32635606937	9.45329976428759e-240	"25"
1	"BMS"	-2387.30376697031	4780.60753394063	4780.61939164814	4797.45195003476	3	990	30	0	0	0	0.109755737916685	0.0374248816778087	1.01384558555735	1.31699194118449	0	0	4780.61939164814	1073.43417193928	4.88990959843755e-234	"75"
1	"BMS"	-2374.75258396002	4755.50516792004	4755.51707859002	4772.33624077498	3	990	25	0	0	0	0.109751611815911	0.0310780986093314	0.94837262095556	1.31645288205516	0	0	4755.51707859002	1072.1927437352	1.04386039345219e-233	"50"
1	"BMS"	-2369.18001191882	4744.36002383765	4744.37197007956	4761.18216811457	3	990	23	0	0	0	0.109804646102241	0.0347964423514116	0.986447454902478	1.32431519435268	0	0	4744.37197007956	1080.11307681554	2.31654771583277e-235	"25"
1	"OU1"	-1866.01967549049	3738.03935098097	3738.05120868848	3754.88376707511	3	1700	120	0	0.229540467420191	0	0.215508998401302	0	0.584807681085415	0.021181868738722	0	0	3738.05120868848	30.8659889796199	1.20255587362371e-07	"75"
1	"OU1"	-1846.63885287706	3699.27770575412	3699.2896164241	3716.10877860906	3	1700	120	0	0.238928963843674	0	0.219684481556116	0	0.571776222000654	0.0207026652949668	0	0	3699.2896164241	15.9652815692803	0.000237422375745143	"50"
1	"OU1"	-1834.84950728178	3675.69901456355	3675.71096080546	3692.52115884047	3	1700	120	0	0.243381947237739	0	0.221536037462499	0	0.563730228605661	0.0205108154412292	0	0	3675.71096080546	11.4520675414401	0.00264016413173642	"25"
1	"OUM"	-1849.58272354696	3707.16544709393	3707.18521970886	3729.62466855277	4	1700	120	0	0.24427285087464	0.24427285087464	0.222244079501468	0.222244079501468	0.550128509645675	0.0209315638323908	1.09248258629828	0.0906078895919029	3707.18521970886	0	0.606135345962307	"75"
1	"OUM"	-1838.4792898122	3684.9585796244	3684.97844059759	3707.40001009765	4	1700	120	0	0.246618398077087	0.246618398077087	0.223246131001911	0.223246131001911	0.550211828224457	0.0208041210704985	0.94838009092105	0.0954210568265225	3684.97844059759	1.6541057427703	0.304196345220493	"50"
1	"OUM"	-1829.58264151552	3667.16528303103	3667.18520334976	3689.59480873359	4	1700	120	0	0.248913108793025	0.248913108793025	0.22419806182765	0.22419806182765	0.54769939548165	0.0206838961218973	0.884056881144803	0.100779789080867	3667.18520334976	2.92631008573971	0.1874889319725	"25"
1	"OUMV"	-1849.00886933619	3708.01773867238	3708.04741226289	3736.09176549594	5	1600	140	29	0.242122876209674	0.242122876209674	0.22186926333964	0.183125863553233	0.55083235931607	0.0210769424145643	1.09313946753079	0.0827715894735983	3708.04741226289	0.862192554029662	0.393864533782105	"75"
1	"OUMV"	-1836.64726429775	3683.29452859551	3683.32433485482	3711.34631668707	5	1600	140	26	0.244316637092627	0.244316637092627	0.223653375184752	0.153566026885994	0.550985454364926	0.0209943029232794	0.949388811099588	0.079733275515352	3683.32433485482	0	0.695566232403761	"50"
1	"OUMV"	-1827.1144989489	3664.2289978978	3664.25889326402	3692.265905026	5	1600	130	23	0.247109981162591	0.247109981162591	0.225246266055948	0.141366203264485	0.548196055576544	0.0208615218092405	0.886644492302212	0.0806123633294454	3664.25889326402	0	0.809870903895764	"25"
2	"BM1"	-2137.27579198033	4278.55158396066	4278.55750988658	4289.78119469008	2	1000	0	0	0	0	0.0772294935951262	0	0.947044321532367	1.14803691395636	0	0	4278.55750988658	894.26376848989	3.00584000690644e-195	"75"
2	"BM1"	-2129.85735721336	4263.71471442672	4263.72066680767	4274.93542966334	2	1000	0	0	0	0	0.0775311690567971	0	0.935869232779998	1.15052959230981	0	0	4263.72066680767	901.50258828673	9.98500305173152e-197	"50"
2	"BM1"	-2122.55422386375	4249.10844772751	4249.11441787676	4260.32321057879	2	1000	0	0	0	0	0.0777601025884255	0	0.921136858577828	1.15483660731782	0	0	4249.11441787676	901.82234453392	1.32904540126846e-196	"25"
2	"BMS"	-2114.72285247482	4235.44570494964	4235.45756265715	4252.29012104377	3	990	29	0	0	0	0.0790154539377379	0.0170993791901441	0.904837965327857	1.14566549532968	0	0	4235.45756265715	851.16382126046	6.87069209713201e-186	"75"
2	"BMS"	-2112.80680436397	4231.61360872794	4231.62551939792	4248.44468158288	3	990	25	0	0	0	0.0789871741231112	0.0190945825238039	0.990642164001217	1.13838761382527	0	0	4231.62551939792	869.40744087698	9.30509711048152e-190	"50"
2	"BMS"	-2108.65925626917	4223.31851253833	4223.33045878024	4240.14065681525	3	990	23	0	0	0	0.0790488495928953	0.0210691724822269	0.935261891488239	1.14122387211227	0	0	4223.33045878024	876.0383854374	5.27782997900823e-191	"25"
2	"OU1"	-1701.37495174041	3408.74990348083	3408.76176118834	3425.59431957496	3	1600	190	0	0.150159436945353	0	0.133998347314048	0	0.611845434329353	0.0240783815209854	0	0	3408.76176118834	24.46801979165	2.24756821538869e-06	"75"
2	"OU1"	-1685.32461112571	3376.64922225142	3376.66113292139	3393.48029510636	3	1600	180	0	0.156893233154541	0	0.137056834378663	0	0.596042781311936	0.0233430493596555	0	0	3376.66113292139	14.4430544004504	0.000418676461662211	"50"
2	"OU1"	-1675.15047089439	3356.30094178877	3356.31288803068	3373.12308606569	3	1600	180	0	0.159359541671041	0	0.137842506405418	0	0.586919266539219	0.0231088519159451	0	0	3356.31288803068	9.0208146878399	0.00983849661452168	"25"
2	"OUM"	-1688.65751799806	3385.31503599612	3385.33480861105	3407.77425745497	4	1600	180	0	0.159379391078389	0.159379391078389	0.137717984443679	0.137717984443679	0.571934939241254	0.0237360888349314	1.07591312512378	0.094432326437211	3385.33480861105	1.04106721435983	0.274669854740962	"75"
2	"OUM"	-1678.22372237247	3364.44744474493	3364.46730571812	3386.88887521818	4	1600	180	0	0.161942606463945	0.161942606463945	0.138975753796914	0.138975753796914	0.570436455870706	0.0234307502211685	0.962413710897159	0.0998894874930032	3364.46730571812	2.24922719718006	0.186094903308367	"50"
2	"OUM"	-1671.87614483778	3351.75228967556	3351.77220999428	3374.18181537812	4	1600	180	0	0.162365261681736	0.162365261681736	0.139142612569303	0.139142612569303	0.570730653661926	0.0233951943988038	0.848431920332631	0.104803868465489	3351.77220999428	4.48013665143981	0.0952630425712464	"25"
2	"OUMV"	-1687.13203390309	3384.26406780618	3384.29374139669	3412.33809462974	5	1500	210	28	0.15608927005432	0.15608927005432	0.136993481527998	0.0989670901204826	0.574530079306552	0.0241924924564108	1.07877638011593	0.081537413775153	3384.29374139669	0	0.462248883738456	"75"
2	"OUMV"	-1676.09413613081	3362.18827226162	3362.21807852094	3390.24006035319	5	1500	200	25	0.157980477012493	0.157980477012493	0.138091201245072	0.0905788288467233	0.573463550467281	0.023962433324825	0.965415171695278	0.0823271345067399	3362.21807852094	0	0.572991209276002	"50"
2	"OUMV"	-1668.63108898831	3347.26217797663	3347.29207334284	3375.29908510482	5	1500	200	23	0.159478557985953	0.159478557985953	0.139077622675722	0.0804406238712363	0.572959644907538	0.0238242909571203	0.85084212894904	0.0811492889404943	3347.29207334284	0	0.894898460814232	"25"
2	"OUMVA"	-1686.68973794224	3385.37947588448	3385.42103946686	3419.06830807275	6	1500	210	28	0.155914980189405	0.16020700809138	0.136704701596473	0.0537322755276112	0.575017392924884	0.0242111193224229	1.05314333005317	0.0769182659967284	3385.42103946686	1.12729807016967	0.263079013952367	"75"
2	"OUMVA"	-1675.95633470752	3363.91266941505	3363.95441891803	3397.57481512492	6	1500	200	25	0.159004952170983	0.160121702152192	0.138667547042977	0.0786060467987306	0.572669972977147	0.0238540293049535	0.969856311110819	0.0810036598643674	3363.95441891803	1.73634039709032	0.240495210953969	"50"
3	"BM1"	-3068.74871125763	6141.49742251526	6141.50334844119	6152.72703324468	2	1000	0	0	0	0	0.203018988035213	0	0.972299988414413	1.80691844747142	0	0	6141.50334844119	2179.70344775779	0	"75"
3	"BM1"	-3055.71970737091	6115.43941474182	6115.44536712277	6126.66012997844	2	1000	0	0	0	0	0.203900749155642	0	0.961371782498925	1.81165395437637	0	0	6115.44536712277	2184.83473702712	0	"50"
3	"BM1"	-3044.73719876181	6093.47439752363	6093.48036767288	6104.68916037491	2	1000	0	0	0	0	0.204620199315084	0	0.935544707490322	1.82100802535608	0	0	6093.48036767288	2182.6457385576	0	"25"
3	"BMS"	-3020.36418845257	6046.72837690514	6046.74023461265	6063.57279299928	3	990	27	0	0	0	0.208202410924199	0.015218697479633	0.939289082668961	1.78669208859982	0	0	6046.74023461265	2084.94033392925	0	"75"
3	"BMS"	-3017.2754350095	6040.550870019	6040.56278068897	6057.38194287394	3	990	23	0	0	0	0.20817117394761	0.0171023941145623	1.01875001687902	1.78428090323024	0	0	6040.56278068897	2109.95215059332	0	"50"
3	"BMS"	-3013.80992937895	6033.61985875789	6033.6318049998	6050.44200303481	3	990	20	0	0	0	0.20813345681262	0.0199365460067856	0.925799613503579	1.75818401218622	0	0	6033.6318049998	2122.79717588452	0	"25"
3	"OU1"	-1997.61304481443	4001.22608962886	4001.23794733637	4018.07050572299	3	5.6e+09	1000	0	3.43829215596035	0	2.93164217594921	0	0.517674215675199	0.0146674895958237	0	0	4001.23794733637	39.4380466529697	1.98566096048143e-09	"75"
3	"OU1"	-1971.66858963902	3949.33717927803	3949.34908994801	3966.16825213297	3	5.6e+09	1000	0	3.43829239167375	0	2.88294017238589	0	0.51120420869992	0.0145782889724359	0	0	3949.34908994801	18.7384598523599	4.29467950622087e-05	"50"
3	"OU1"	-1958.12538121837	3922.25076243675	3922.26270867866	3939.07290671367	3	5.6e+09	1000	0	3.43829004721327	0	2.86121170386964	0	0.507499076011719	0.0145453899384263	0	0	3922.26270867866	11.4280795633799	0.00264756147874742	"25"
3	"OUM"	-1976.89006403423	3961.78012806847	3961.7999006834	3984.23934952731	4	5.6e+09	1000	0	3.43829118269231	3.43829118269231	2.87264382282304	2.87264382282304	0.499261115086875	0.0147953663801839	1.00142048847139	0.0761544097273576	3961.7999006834	0	0.727391323809739	"75"
3	"OUM"	-1961.29538456123	3930.59076912246	3930.61063009565	3953.03219959571	4	5.6e+09	1000	0	3.43829199374899	3.43829199374899	2.85344766441196	2.85344766441196	0.499168141427483	0.0147410731770176	0.881690794054963	0.082416274959004	3930.61063009565	0	0.503425971044689	"50"
3	"OUM"	-1952.82257218117	3913.64514436234	3913.66506468107	3936.0746700649	4	5.6e+09	1000	0	3.43829004721327	3.43829004721327	2.84616604627793	2.84616604627793	0.499248682034621	0.0147260736957853	0.783101131463651	0.0857532929628092	3913.66506468107	2.83043556578968	0.194895012950863	"25"
3	"OUMV"	-1976.86654081223	3963.73308162447	3963.76275521497	3991.80710844802	5	5.6e+09	980	37	3.43829237623014	3.43829237623014	2.87614860405617	2.77299873449948	0.499255065681224	0.0148043560398037	1.00146342352581	0.0748247885517934	3963.76275521497	1.96285453156997	0.2726086742046	"75"
3	"OUMV"	-1960.30420250674	3930.60840501349	3930.6382112728	3958.66019310505	5	5.6e+09	980	32	3.43829255497821	3.43829255497821	2.87435886166298	2.20723981342619	0.499116422468997	0.014794396701512	0.882122951255528	0.0725261696893193	3930.6382112728	0.0275811771502958	0.496531082160248	"50"
3	"OUMV"	-1950.40236687453	3910.80473374906	3910.83462911528	3938.84164087726	5	5.6e+09	980	29	3.43828598487688	3.43828598487688	2.8757834130396	1.84936660662053	0.499159904527303	0.0148017742642096	0.783820302697456	0.0691865690783488	3910.83462911528	0	0.802457425570389	"25"
