"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_25"	"OUMA"	120309.017308779	-240608.034617558	-240608.00507546	-240579.938450477	5	7.7e+08	1.1e+07	48000	1.6477190554987e-06	0.207784335633374	1e-09	1e-09	-820271.281453975	0	87.4148804472674	0
"ouwie_Afr_BM_26"	"OUMA"	25495.8278733066	-50981.6557466132	-50981.6262045157	-50953.5595795321	5	6.2e+09	5200000	160	3.27984826807674	1.75303275076653	1e-09	1e-09	3.35468051109662	2.98632149522187e+27	1.21139371867988e-16	0
"ouwie_Afr_BM_27"	"OUMA"	17273.9119329025	-34537.8238658049	-34537.7943237075	-34509.7276987238	5	6800000	1100000	4000	0.0589348779584656	0.285726363872026	1e-09	1e-09	143921.46075263	18789.1834016268	2.652137729216	0.0508295866390345
"ouwie_Afr_BM_28"	"OUMV"	-1575.59056255585	3161.1811251117	3161.21066720919	3189.27729219284	5	13000	980	-13000	0.0119545196225331	0.0119545196225331	0.0472728188266801	0.0435205037589306	0.985518455446122	0.343227489408158	2.07182817130007	0.757576386227695
"ouwie_Afr_BM_28"	"OUMVA"	-1575.05559304105	3162.1111860821	3162.15256539244	3195.82658657946	6	13000	980	-13000	0.0115208111666587	0.0144314580972729	0.0471104041285527	0.0317926329112284	1.00300397314861	0.352731004567139	1.84646190378442	0.557996609043171
"ouwie_Afr_BM_28"	"OUMA"	25272.795240227	-50535.590480454	-50535.5609383565	-50507.4943133728	5	2.6e+14	6e+09	830	3.33204591433496	0.999884851836675	1.00339364589172e-09	1.00339364589172e-09	2.61041058204804	4.40688695309286e+55	-3.01227853122952e-25	0
"ouwie_Afr_BM_29"	"OUMA"	26415.942036444	-52821.884072888	-52821.8545307905	-52793.7879058069	5	5.8e+09	3.6e+07	1700	3.40374885045641	1.32886146559937	1e-09	1e-09	-0.78532096923611	2.81479984309689e+35	-7.69792330005415e-37	0.745637200793253
"ouwie_Afr_BM_3"	"OUMA"	19123.3169062037	-38236.6338124075	-38236.60427031	-38208.5376453263	5	1.7e+07	880000	1800	0.0183474835230392	0.378796684372721	1e-09	1e-09	1.62734042277623e-12	7.91935384498885e-05	1.11023967839206	40451991.088223
"ouwie_Afr_BM_3"	"OUMVA"	22733.6535056396	-45455.3070112792	-45455.2656319689	-45421.5916107819	6	990	50	20	3.42820017657148	2.49300640089338	1e-09	1.01815466762169e-09	-1.06442219262933	3347798418013064704	-7.17799839417452e-44	1.46183774887828e-11
"ouwie_Afr_BM_30"	"OUMA"	25933.5259576584	-51857.0519153168	-51857.0223732193	-51828.9557482356	5	3.7e+07	950	-5.4e+08	3.28295511462017	1.28239218959145	1.00070299571903e-09	1.00070299571903e-09	3.16861302883447	3.1140437019063e+37	-3.85706506074756e-21	140641776328766672
